Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2013-11-08,"",Florida Gulf Coast,REG (Non-Conf),W,79,55,"",25,48,.521,5,10,.500,20,38,.526,.573,24,31,.774,5,23,28,6,7,1,8,22,19,43,.442,6,15,.400,13,28,.464,.512,11,21,.524,3,16,19,8,3,2,16,21
2,2013-11-12,"",Western Illinois,REG (Non-Conf),W,62,47,"",22,50,.440,5,13,.385,17,37,.459,.490,13,22,.591,7,22,29,6,7,1,8,16,17,45,.378,4,19,.211,13,26,.500,.422,9,15,.600,4,24,28,7,5,2,14,18
3,2013-11-17,"",South Carolina State,REG (Non-Conf),W,83,57,"",26,56,.464,8,20,.400,18,36,.500,.536,23,32,.719,10,25,35,11,5,4,5,20,18,56,.321,6,19,.316,12,37,.324,.375,15,23,.652,12,22,34,9,1,1,13,24
4,2013-11-21,N,Massachusetts,REG (Non-Conf),L,90,96,"",28,66,.424,5,16,.313,23,50,.460,.462,29,39,.744,16,16,32,6,10,5,13,34,30,60,.500,3,11,.273,27,49,.551,.525,33,43,.767,15,23,38,10,5,4,16,27
5,2013-11-22,N,UAB,REG (Non-Conf),L,74,87,"",28,65,.431,6,20,.300,22,45,.489,.477,12,18,.667,7,15,22,7,9,1,6,24,29,54,.537,5,13,.385,24,41,.585,.583,24,33,.727,12,23,35,16,2,6,12,12
6,2013-11-24,N,Georgia,REG (Non-Conf),W,73,65,"",23,52,.442,5,12,.417,18,40,.450,.490,22,27,.815,9,20,29,10,6,7,7,25,23,54,.426,3,13,.231,20,41,.488,.454,16,30,.533,12,20,32,7,2,4,7,18
7,2013-11-30,"",Northern Illinois,REG (Non-Conf),W,63,58,"",20,50,.400,3,15,.200,17,35,.486,.430,20,33,.606,11,26,37,10,10,6,16,22,18,49,.367,3,14,.214,15,35,.429,.398,19,28,.679,10,24,34,7,9,3,15,25
8,2013-12-04,"",Miami (FL),REG (Non-Conf),W,60,49,"",18,46,.391,7,20,.350,11,26,.423,.467,17,22,.773,6,27,33,12,10,5,11,16,16,50,.320,7,25,.280,9,25,.360,.390,10,15,.667,6,26,32,11,4,3,13,20
9,2013-12-08,@,Creighton,REG (Non-Conf),L,67,82,"",22,52,.423,5,19,.263,17,33,.515,.471,18,26,.692,5,23,28,13,4,2,9,23,27,55,.491,11,29,.379,16,26,.615,.591,17,22,.773,8,26,34,21,6,1,11,20
10,2013-12-14,"",Arkansas State,REG (Non-Conf),W,79,67,"",29,60,.483,8,16,.500,21,44,.477,.550,13,18,.722,8,26,34,19,15,1,16,21,24,55,.436,7,17,.412,17,38,.447,.500,12,23,.522,10,22,32,10,7,1,21,22
11,2013-12-21,"",The Citadel,REG (Non-Conf),W,77,62,"",25,48,.521,5,17,.294,20,31,.645,.573,22,34,.647,7,21,28,12,9,3,13,16,23,54,.426,6,21,.286,17,33,.515,.481,10,14,.714,8,24,32,9,6,0,17,24
12,2013-12-28,@,Cincinnati,REG (Non-Conf),L,59,74,"",20,56,.357,9,20,.450,11,36,.306,.438,10,11,.909,9,16,25,12,4,4,11,23,23,55,.418,3,11,.273,20,44,.455,.445,25,30,.833,12,23,35,10,7,6,7,16
13,2013-12-31,@,Iowa,REG (Conf),L,57,67,"",20,67,.299,5,18,.278,15,49,.306,.336,12,18,.667,15,25,40,9,10,1,11,28,22,48,.458,1,6,.167,21,42,.500,.469,22,39,.564,8,30,38,10,6,8,15,17
14,2014-01-04,@,Ohio State,REG (Conf),L,53,84,"",21,56,.375,4,15,.267,17,41,.415,.411,7,12,.583,8,21,29,7,3,1,11,23,27,50,.540,9,19,.474,18,31,.581,.630,21,29,.724,4,28,32,14,7,5,7,15
15,2014-01-09,"",Michigan,REG (Conf),L,70,71,"",26,49,.531,7,20,.350,19,29,.655,.602,11,12,.917,8,17,25,10,5,2,13,12,31,50,.620,6,17,.353,25,33,.758,.680,3,9,.333,2,14,16,16,4,1,9,13
16,2014-01-12,@,Purdue,REG (Conf),L,64,70,"",24,58,.414,4,16,.250,20,42,.476,.448,12,18,.667,7,25,32,12,6,5,9,19,24,52,.462,5,13,.385,19,39,.487,.510,17,28,.607,6,30,36,15,4,5,11,15
17,2014-01-20,"",Ohio State,REG (Conf),W,68,62,"",23,46,.500,2,13,.154,21,33,.636,.522,20,26,.769,4,27,31,6,8,2,17,18,21,53,.396,6,21,.286,15,32,.469,.453,14,21,.667,7,19,26,9,9,4,13,25
18,2014-01-23,@,Penn State,REG (Conf),L,54,58,"",19,53,.358,10,23,.435,9,30,.300,.453,6,10,.600,8,27,35,10,3,3,12,17,20,57,.351,5,21,.238,15,36,.417,.395,13,17,.765,9,22,31,9,6,4,5,12
19,2014-01-26,"",Minnesota,REG (Conf),W,82,78,"",25,50,.500,11,22,.500,14,28,.500,.610,21,33,.636,6,25,31,19,8,3,11,20,26,53,.491,10,20,.500,16,33,.485,.585,16,25,.640,7,24,31,12,9,3,13,24
20,2014-01-30,"",Indiana,REG (Conf),W,60,55,"",19,44,.432,8,19,.421,11,25,.440,.523,14,19,.737,5,16,21,10,7,2,14,15,20,44,.455,5,15,.333,15,29,.517,.511,10,14,.714,7,20,27,11,6,0,17,18
21,2014-02-05,@,Michigan,REG (Conf),L,50,79,"",19,54,.352,5,21,.238,14,33,.424,.398,7,11,.636,7,17,24,7,7,1,11,14,26,52,.500,13,31,.419,13,21,.619,.625,14,14,1.000,6,24,30,21,5,1,13,10
22,2014-02-08,@,Northwestern,REG (Conf),W,53,49,"",19,47,.404,7,20,.350,12,27,.444,.479,8,14,.571,4,21,25,9,7,2,12,15,17,46,.370,8,22,.364,9,24,.375,.457,7,10,.700,2,24,26,13,6,2,12,13
23,2014-02-12,"",Illinois,REG (Conf),W,67,58,"",19,43,.442,5,15,.333,14,28,.500,.500,24,27,.889,4,19,23,7,6,4,10,23,18,49,.367,4,17,.235,14,32,.438,.408,18,26,.692,14,21,35,9,6,1,13,20
24,2014-02-16,@,Michigan State,REG (Conf),W,60,51,"",19,53,.358,9,30,.300,10,23,.435,.443,13,21,.619,9,25,34,10,7,2,5,18,17,50,.340,5,24,.208,12,26,.462,.390,12,14,.857,8,29,37,12,2,2,11,19
25,2014-02-20,"",Penn State,REG (Conf),W,80,67,"",19,43,.442,5,15,.333,14,28,.500,.500,37,48,.771,8,25,33,5,4,6,13,24,22,63,.349,6,18,.333,16,45,.356,.397,17,23,.739,13,20,33,8,5,4,5,27
26,2014-02-23,"",Purdue,REG (Conf),W,76,57,"",26,56,.464,6,20,.300,20,36,.556,.518,18,27,.667,4,31,35,13,10,5,9,26,16,53,.302,3,16,.188,13,37,.351,.330,22,29,.759,9,30,39,5,3,6,14,23
27,2014-02-26,@,Illinois,REG (Conf),L,49,60,"",20,45,.444,3,13,.231,17,32,.531,.478,6,7,.857,3,25,28,7,3,4,15,19,19,51,.373,9,24,.375,10,27,.370,.461,13,19,.684,11,23,34,12,11,0,9,11
28,2014-03-01,"",Northwestern,REG (Conf),W,54,47,"",19,52,.365,4,17,.235,15,35,.429,.404,12,17,.706,12,26,38,8,4,3,10,16,15,45,.333,7,27,.259,8,18,.444,.411,10,16,.625,3,22,25,7,5,4,9,20
29,2014-03-05,@,Indiana,REG (Conf),W,70,60,"",25,55,.455,6,17,.353,19,38,.500,.509,14,19,.737,8,25,33,6,6,2,9,17,22,60,.367,5,21,.238,17,39,.436,.408,11,17,.647,10,22,32,11,3,3,9,18
30,2014-03-09,"",Wisconsin,REG (Conf),W,77,68,"",26,50,.520,6,11,.545,20,39,.513,.580,19,25,.760,1,24,25,9,6,2,5,17,24,56,.429,9,20,.450,15,36,.417,.509,11,21,.524,10,23,33,14,1,6,11,18
31,2014-03-14,N,Ohio State,CTOURN,L,67,71,"",22,60,.367,6,20,.300,16,40,.400,.417,17,20,.850,8,23,31,9,7,2,9,26,25,55,.455,4,18,.222,21,37,.568,.491,17,28,.607,14,28,42,12,6,7,15,21
