Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2013-11-08,"",Bucknell,REG (Non-Conf),W,72,68,"",26,54,.481,5,15,.333,21,39,.538,.528,15,21,.714,9,29,38,11,3,6,10,10,27,63,.429,6,21,.286,21,42,.500,.476,8,9,.889,6,23,29,14,2,0,6,16
2,2013-11-11,"",Brigham Young,REG (Non-Conf),L,103,112,"",34,74,.459,9,27,.333,25,47,.532,.520,26,34,.765,14,20,34,14,5,4,16,28,38,71,.535,8,15,.533,30,56,.536,.592,28,43,.651,12,25,37,23,8,3,11,24
3,2013-11-14,"",Northwestern,REG (Non-Conf),W,71,58,"",24,47,.511,5,10,.500,19,37,.514,.564,18,26,.692,8,25,33,11,6,6,14,16,21,54,.389,10,28,.357,11,26,.423,.481,6,11,.545,9,21,30,12,4,3,16,20
4,2013-11-17,@,Denver,REG (Non-Conf),W,66,57,"",20,45,.444,3,7,.429,17,38,.447,.478,23,34,.676,6,24,30,9,9,4,11,20,18,43,.419,6,18,.333,12,25,.480,.488,15,25,.600,5,22,27,16,6,9,18,26
5,2013-11-21,"",Texas Southern,REG (Non-Conf),W,97,71,"",37,78,.474,13,26,.500,24,52,.462,.558,10,15,.667,18,27,45,21,5,8,9,20,23,65,.354,9,20,.450,14,45,.311,.423,16,17,.941,6,18,24,16,4,2,10,14
6,2013-11-25,N,Houston,REG (Non-Conf),W,86,76,"",30,60,.500,7,21,.333,23,39,.590,.558,19,28,.679,10,29,39,15,4,3,12,20,26,63,.413,6,19,.316,20,44,.455,.460,18,27,.667,14,20,34,15,8,3,10,23
7,2013-11-26,N,Pittsburgh,REG (Non-Conf),L,67,88,"",24,48,.500,5,15,.333,19,33,.576,.552,14,20,.700,5,19,24,13,3,5,14,22,25,55,.455,8,17,.471,17,38,.447,.527,30,34,.882,7,20,27,15,9,2,5,20
8,2013-12-01,"",South Dakota State,REG (Non-Conf),W,92,60,"",34,57,.596,7,14,.500,27,43,.628,.658,17,22,.773,6,30,36,15,9,6,13,17,22,65,.338,6,25,.240,16,40,.400,.385,10,13,.769,10,18,28,8,4,0,14,20
9,2013-12-14,"",UC Davis,REG (Non-Conf),W,83,56,"",31,53,.585,11,20,.550,20,33,.606,.689,10,18,.556,4,25,29,22,6,6,12,17,20,58,.345,7,20,.350,13,38,.342,.405,9,12,.750,9,20,29,12,4,0,14,17
10,2013-12-18,@,Connecticut,REG (Non-Conf),W,53,51,"",21,60,.350,6,15,.400,15,45,.333,.400,5,12,.417,8,29,37,11,4,9,7,12,19,60,.317,6,22,.273,13,38,.342,.367,7,10,.700,4,26,30,11,4,8,8,14
