Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2014-11-15,@,Providence,REG (Non-Conf),L,60,64,"",25,53,.472,7,17,.412,18,36,.500,.538,3,8,.375,7,26,33,13,6,1,18,21,24,59,.407,4,13,.308,20,46,.435,.441,12,24,.500,13,21,34,14,6,3,12,15
2,2014-11-19,"",NJIT,REG (Non-Conf),W,65,48,"",22,56,.393,5,20,.250,17,36,.472,.438,16,19,.842,8,32,40,9,10,4,16,21,15,53,.283,6,28,.214,9,25,.360,.340,12,21,.571,9,23,32,10,4,0,18,17
3,2014-11-22,"",Quinnipiac,REG (Non-Conf),L,73,76,OT,26,65,.400,8,17,.471,18,48,.375,.462,13,21,.619,13,24,37,13,4,1,10,24,24,63,.381,9,24,.375,15,39,.385,.452,19,21,.905,12,24,36,15,4,6,11,22
4,2014-11-26,@,Colgate,REG (Non-Conf),W,75,71,"",24,50,.480,9,18,.500,15,32,.469,.570,18,25,.720,11,19,30,14,3,0,9,12,28,49,.571,9,20,.450,19,29,.655,.663,6,7,.857,2,17,19,13,4,2,12,19
5,2014-11-29,@,UNLV,REG (Non-Conf),L,59,75,"",22,59,.373,5,17,.294,17,42,.405,.415,10,16,.625,7,21,28,5,3,0,11,15,27,51,.529,9,21,.429,18,30,.600,.618,12,17,.706,4,29,33,15,7,8,15,18
6,2014-12-03,"",Holy Cross,REG (Non-Conf),L,57,74,"",17,43,.395,6,18,.333,11,25,.440,.465,17,23,.739,6,17,23,9,9,0,18,18,24,44,.545,13,19,.684,11,25,.440,.693,13,19,.684,6,16,22,10,10,5,17,24
7,2014-12-06,@,Saint Francis (PA),REG (Non-Conf),L,59,69,"",19,52,.365,3,22,.136,16,30,.533,.394,18,23,.783,13,19,32,5,3,2,12,24,21,41,.512,11,20,.550,10,21,.476,.646,16,24,.667,5,19,24,11,6,2,11,23
8,2014-12-08,@,Bucknell,REG (Non-Conf),L,58,61,"",20,55,.364,6,15,.400,14,40,.350,.418,12,15,.800,8,18,26,7,8,3,13,18,22,46,.478,7,18,.389,15,28,.536,.554,10,15,.667,6,25,31,13,3,7,17,19
9,2014-12-13,@,Siena,REG (Non-Conf),W,77,68,"",20,37,.541,8,16,.500,12,21,.571,.649,29,32,.906,5,20,25,7,3,2,16,18,23,57,.404,7,25,.280,16,32,.500,.465,15,24,.625,13,12,25,14,8,3,7,24
10,2014-12-20,@,Yale,REG (Non-Conf),W,64,60,"",22,48,.458,4,13,.308,18,35,.514,.500,16,18,.889,7,16,23,10,8,1,12,19,22,46,.478,8,20,.400,14,26,.538,.565,8,12,.667,7,18,25,15,5,7,15,18
11,2014-12-22,"",Fairfield,REG (Non-Conf),W,77,66,"",28,53,.528,7,17,.412,21,36,.583,.594,14,19,.737,9,19,28,15,4,4,5,15,23,51,.451,10,22,.455,13,29,.448,.549,10,13,.769,6,14,20,11,1,1,6,17
