Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2014-11-14,"","",REG (Non-Conf),W,87,36,"",35,52,.673,8,15,.533,27,37,.730,.750,9,12,.750,3,28,31,22,10,11,8,19,12,50,.240,3,10,.300,9,40,.225,.270,9,18,.500,15,15,30,4,2,2,19,16
2,2014-11-16,"",Pacific,REG (Non-Conf),W,68,50,"",24,50,.480,5,16,.313,19,34,.559,.530,15,17,.882,11,21,32,13,4,5,13,20,16,47,.340,8,24,.333,8,23,.348,.426,10,20,.500,9,15,24,10,4,2,15,17
3,2014-11-19,@,Arizona,REG (Non-Conf),L,54,71,"",20,54,.370,5,15,.333,15,39,.385,.417,9,13,.692,7,17,24,12,4,1,15,24,19,48,.396,4,14,.286,15,34,.441,.438,29,34,.853,13,26,39,11,11,5,13,14
4,2014-11-23,@,St. Mary's (CA),REG (Non-Conf),L,69,72,"",24,55,.436,5,13,.385,19,42,.452,.482,16,21,.762,10,19,29,12,5,2,13,20,24,58,.414,4,16,.250,20,42,.476,.448,20,25,.800,15,22,37,12,7,2,13,19
5,2014-11-29,@,Loyola Marymount,REG (Non-Conf),W,80,72,"",31,58,.534,6,15,.400,25,43,.581,.586,12,20,.600,10,31,41,21,7,9,11,18,27,62,.435,8,20,.400,19,42,.452,.500,10,19,.526,7,24,31,15,5,4,9,21
6,2014-12-03,@,Fresno State,REG (Non-Conf),L,63,72,"",23,65,.354,6,20,.300,17,45,.378,.400,11,20,.550,14,23,37,11,7,6,16,24,24,56,.429,3,11,.273,21,45,.467,.455,21,32,.656,11,29,40,11,10,4,13,20
7,2014-12-06,"",Sacramento State,REG (Non-Conf),W,74,62,"",32,63,.508,4,21,.190,28,42,.667,.540,6,8,.750,13,21,34,15,6,7,11,16,21,51,.412,7,15,.467,14,36,.389,.480,13,16,.813,6,19,25,10,5,2,14,14
8,2014-12-13,"",UT Arlington,REG (Non-Conf),L,62,70,"",21,59,.356,4,24,.167,17,35,.486,.390,16,23,.696,13,20,33,13,12,4,12,17,24,49,.490,9,21,.429,15,28,.536,.582,13,17,.765,6,27,33,18,5,6,18,19
9,2014-12-16,@,Morgan State,REG (Non-Conf),L,62,63,"",23,42,.548,4,13,.308,19,29,.655,.595,12,18,.667,7,18,25,7,2,1,17,18,23,48,.479,3,10,.300,20,38,.526,.510,14,21,.667,7,10,17,10,5,0,7,19
10,2014-12-21,N,Bradley,REG (Non-Conf),W,55,47,"",18,44,.409,8,15,.533,10,29,.345,.500,11,18,.611,5,25,30,9,6,4,16,17,15,56,.268,3,13,.231,12,43,.279,.295,14,18,.778,16,23,39,5,6,4,13,23
11,2014-12-22,N,Green Bay,REG (Non-Conf),W,72,70,"",23,49,.469,10,16,.625,13,33,.394,.571,16,21,.762,6,21,27,15,7,4,15,20,24,59,.407,4,18,.222,20,41,.488,.441,18,30,.600,13,20,33,6,5,4,13,19
12,2014-12-29,@,Oregon,REG (Non-Conf),L,67,69,OT,26,62,.419,6,20,.300,20,42,.476,.468,9,12,.750,4,22,26,12,10,3,10,15,27,63,.429,6,20,.300,21,43,.488,.476,9,13,.692,11,22,33,18,5,4,18,16
13,2014-12-31,"","",REG (Non-Conf),W,82,53,"",37,56,.661,7,14,.500,30,42,.714,.723,1,3,.333,6,27,33,20,5,9,14,14,21,56,.375,8,17,.471,13,39,.333,.446,3,6,.500,4,10,14,14,6,2,9,14
14,2015-01-03,@,New Mexico State,REG (Non-Conf),L,67,70,"",26,51,.510,9,14,.643,17,37,.459,.598,6,10,.600,2,19,21,10,7,5,9,22,23,48,.479,6,10,.600,17,38,.447,.542,18,30,.600,12,24,36,7,3,2,12,9
15,2015-01-08,"",Long Beach State,REG (Conf),L,82,88,"",30,56,.536,9,21,.429,21,35,.600,.616,13,18,.722,10,16,26,19,2,3,14,15,30,55,.545,12,24,.500,18,31,.581,.655,16,19,.842,8,17,25,12,7,3,12,17
16,2015-01-10,"",UC Riverside,REG (Conf),W,69,55,"",28,51,.549,7,10,.700,21,41,.512,.618,6,12,.500,5,26,31,14,6,7,14,15,21,53,.396,6,18,.333,15,35,.429,.453,7,13,.538,6,19,25,12,10,2,13,17
17,2015-01-15,@,Cal State Fullerton,REG (Conf),W,63,58,"",23,58,.397,4,12,.333,19,46,.413,.431,13,18,.722,8,22,30,15,7,3,10,16,21,50,.420,3,11,.273,18,39,.462,.450,13,22,.591,9,30,39,11,4,1,16,14
18,2015-01-22,@,Cal State Northridge,REG (Conf),W,80,49,"",31,62,.500,8,19,.421,23,43,.535,.565,10,15,.667,10,27,37,15,7,5,7,17,16,54,.296,1,10,.100,15,44,.341,.306,16,23,.696,8,18,26,7,4,5,9,12
19,2015-01-24,@,Hawaii,REG (Conf),W,78,72,"",28,54,.519,10,15,.667,18,39,.462,.611,12,18,.667,8,28,36,16,3,5,17,15,24,73,.329,9,27,.333,15,46,.326,.390,15,18,.833,18,18,36,11,11,6,9,19
20,2015-01-29,"",Cal Poly,REG (Conf),W,67,57,"",27,58,.466,9,18,.500,18,40,.450,.543,4,5,.800,9,24,33,17,5,8,11,11,24,57,.421,3,9,.333,21,48,.438,.447,6,8,.750,3,21,24,7,5,3,9,12
21,2015-01-31,"",UC Santa Barbara,REG (Conf),W,77,55,"",27,53,.509,11,22,.500,16,31,.516,.613,12,13,.923,7,28,35,19,10,3,12,19,19,52,.365,5,20,.250,14,32,.438,.413,12,21,.571,8,20,28,11,4,3,11,15
22,2015-02-05,"",UC Davis,REG (Conf),L,56,75,"",17,56,.304,3,15,.200,14,41,.341,.330,19,27,.704,14,18,32,8,7,10,11,13,28,52,.538,7,10,.700,21,42,.500,.606,12,14,.857,3,22,25,13,7,3,14,22
23,2015-02-07,@,Long Beach State,REG (Conf),W,56,55,"",21,53,.396,4,19,.211,17,34,.500,.434,10,13,.769,11,25,36,11,4,4,12,14,20,60,.333,6,18,.333,14,42,.333,.383,9,14,.643,11,19,30,8,7,2,6,13
24,2015-02-14,@,UC Riverside,REG (Conf),L,63,70,"",21,53,.396,8,14,.571,13,39,.333,.472,13,16,.813,4,21,25,11,7,3,16,21,22,53,.415,5,11,.455,17,42,.405,.462,21,27,.778,11,28,39,11,12,2,10,13
25,2015-02-19,"",Hawaii,REG (Conf),W,75,60,"",28,60,.467,10,18,.556,18,42,.429,.550,9,10,.900,9,29,38,22,4,10,7,20,20,65,.308,6,19,.316,14,46,.304,.354,14,22,.636,17,22,39,12,5,5,7,15
26,2015-02-21,"",Cal State Northridge,REG (Conf),W,67,58,"",25,60,.417,8,22,.364,17,38,.447,.483,9,11,.818,12,22,34,12,6,0,6,15,19,44,.432,2,9,.222,17,35,.486,.455,18,22,.818,3,21,24,9,4,2,10,15
27,2015-02-26,@,Cal Poly,REG (Conf),W,63,56,"",28,48,.583,4,11,.364,24,37,.649,.625,3,8,.375,4,23,27,16,5,5,8,13,19,56,.339,6,21,.286,13,35,.371,.393,12,16,.750,14,16,30,8,7,0,7,10
28,2015-02-28,@,UC Santa Barbara,REG (Conf),L,51,54,"",22,51,.431,2,10,.200,20,41,.488,.451,5,15,.333,8,26,34,14,3,1,11,16,20,50,.400,5,15,.333,15,35,.429,.450,9,13,.692,7,22,29,14,4,4,8,18
29,2015-03-05,"",Cal State Fullerton,REG (Conf),W,68,62,"",19,44,.432,7,21,.333,12,23,.522,.511,23,32,.719,6,26,32,15,5,10,10,16,23,60,.383,6,13,.462,17,47,.362,.433,10,15,.667,9,24,33,9,5,2,10,23
30,2015-03-07,@,UC Davis,REG (Conf),L,61,80,"",22,62,.355,5,16,.313,17,46,.370,.395,12,16,.750,12,21,33,10,3,3,6,21,24,50,.480,8,16,.500,16,34,.471,.560,24,29,.828,5,26,31,13,1,2,8,17
31,2015-03-12,N,UC Riverside,CTOURN,W,63,54,"",21,50,.420,6,15,.400,15,35,.429,.480,15,24,.625,10,29,39,15,4,4,8,16,22,62,.355,2,17,.118,20,45,.444,.371,8,16,.500,13,22,35,12,5,3,6,20
32,2015-03-13,N,UC Santa Barbara,CTOURN,W,72,63,OT,25,56,.446,5,15,.333,20,41,.488,.491,17,31,.548,12,26,38,19,5,6,7,17,21,65,.323,3,19,.158,18,46,.391,.346,18,24,.750,19,25,44,11,5,2,8,24
33,2015-03-14,N,Hawaii,CTOURN,W,67,58,"",24,54,.444,5,20,.250,19,34,.559,.491,14,21,.667,7,25,32,10,4,5,9,13,23,61,.377,8,21,.381,15,40,.375,.443,4,9,.444,11,22,33,13,5,1,10,21
