Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2014-11-14,"",Grand Canyon,REG (Non-Conf),W,85,45,"",34,70,.486,3,14,.214,31,56,.554,.507,14,19,.737,22,25,47,13,8,10,13,16,15,48,.313,7,15,.467,8,33,.242,.385,8,16,.500,8,12,20,8,5,3,21,20
2,2014-11-16,"",Buffalo,REG (Non-Conf),W,71,52,"",25,61,.410,6,20,.300,19,41,.463,.459,15,23,.652,17,26,43,17,10,7,14,21,16,46,.348,4,12,.333,12,34,.353,.391,16,21,.762,4,18,22,5,5,3,17,21
3,2014-11-18,N,Kansas,REG (Non-Conf),W,72,40,"",25,58,.431,6,18,.333,19,40,.475,.483,16,26,.615,12,32,44,15,5,11,6,21,11,56,.196,3,15,.200,8,41,.195,.223,15,27,.556,17,20,37,4,5,3,10,19
4,2014-11-21,"",Boston University,REG (Non-Conf),W,89,65,"",34,59,.576,8,21,.381,26,38,.684,.644,13,23,.565,8,21,29,24,9,9,13,21,20,52,.385,9,24,.375,11,28,.393,.471,16,18,.889,6,15,21,10,5,1,22,24
5,2014-11-23,"",Montana State,REG (Non-Conf),W,86,28,"",29,67,.433,7,26,.269,22,41,.537,.485,21,29,.724,18,34,52,19,11,12,8,8,12,61,.197,2,23,.087,10,38,.263,.213,2,2,1.000,11,19,30,4,3,3,21,23
6,2014-11-25,"",UT Arlington,REG (Non-Conf),W,92,44,"",30,53,.566,8,18,.444,22,35,.629,.642,24,33,.727,15,31,46,19,6,11,18,16,17,63,.270,4,21,.190,13,42,.310,.302,6,11,.545,15,12,27,3,8,0,16,27
7,2014-11-30,"",Providence,REG (Non-Conf),W,58,38,"",24,53,.453,2,7,.286,22,46,.478,.472,8,17,.471,13,19,32,13,12,5,7,20,11,39,.282,3,12,.250,8,27,.296,.321,13,18,.722,10,17,27,5,1,3,17,13
8,2014-12-05,"",Texas,REG (Non-Conf),W,63,51,"",21,56,.375,1,12,.083,20,44,.455,.384,20,32,.625,12,19,31,12,9,4,8,26,14,47,.298,4,20,.200,10,27,.370,.340,19,29,.655,14,24,38,9,4,1,21,25
9,2014-12-07,"",Eastern Kentucky,REG (Non-Conf),W,82,49,"",33,58,.569,3,13,.231,30,45,.667,.595,13,17,.765,7,38,45,21,6,11,17,14,18,69,.261,6,30,.200,12,39,.308,.304,7,10,.700,12,13,25,8,8,1,11,17
10,2014-12-10,"",Columbia,REG (Non-Conf),W,56,46,"",22,60,.367,2,17,.118,20,43,.465,.383,10,17,.588,18,18,36,11,6,6,4,9,18,48,.375,8,25,.320,10,23,.435,.458,2,4,.500,8,16,24,6,3,2,9,18
11,2014-12-13,"",North Carolina,REG (Non-Conf),W,84,70,"",27,48,.563,7,15,.467,20,33,.606,.635,23,31,.742,10,12,22,19,12,5,14,17,27,60,.450,6,13,.462,21,47,.447,.500,10,13,.769,13,13,26,13,5,2,17,22
12,2014-12-20,N,UCLA,REG (Non-Conf),W,83,44,"",32,64,.500,12,26,.462,20,38,.526,.594,7,12,.583,11,33,44,25,8,13,12,13,19,71,.268,5,16,.313,14,55,.255,.303,1,4,.250,11,21,32,9,6,3,14,10
13,2014-12-27,@,Louisville,REG (Non-Conf),W,58,50,"",21,50,.420,6,14,.429,15,36,.417,.480,10,14,.714,16,29,45,11,6,3,18,20,15,58,.259,3,14,.214,12,44,.273,.284,17,24,.708,16,15,31,1,10,2,9,16
14,2015-01-06,"",Ole Miss,REG (Conf),W,89,86,OT,25,60,.417,11,20,.550,14,40,.350,.508,28,40,.700,13,17,30,16,6,7,10,18,29,59,.492,9,17,.529,20,42,.476,.568,19,22,.864,9,20,29,12,5,4,18,29
15,2015-01-10,@,Texas A&M,REG (Conf),W,70,64,2OT,18,64,.281,9,28,.321,9,36,.250,.352,25,35,.714,13,31,44,13,6,10,12,26,23,69,.333,2,15,.133,21,54,.389,.348,16,30,.533,12,32,44,7,3,6,12,23
16,2015-01-13,"",Missouri,REG (Conf),W,86,37,"",27,56,.482,8,18,.444,19,38,.500,.554,24,30,.800,16,27,43,13,5,8,8,10,16,59,.271,1,18,.056,15,41,.366,.280,4,8,.500,10,15,25,9,6,0,10,20
17,2015-01-17,@,Alabama,REG (Conf),W,70,48,"",23,46,.500,8,17,.471,15,29,.517,.587,16,18,.889,9,19,28,14,5,3,9,13,20,45,.444,5,18,.278,15,27,.556,.500,3,7,.429,6,13,19,4,4,4,15,19
18,2015-01-20,"",Vanderbilt,REG (Conf),W,65,57,"",20,46,.435,4,6,.667,16,40,.400,.478,21,32,.656,10,22,32,13,8,11,13,14,22,53,.415,7,18,.389,15,35,.429,.481,6,12,.500,7,18,25,11,6,3,14,19
19,2015-01-24,@,South Carolina,REG (Conf),W,58,43,"",18,39,.462,3,9,.333,15,30,.500,.500,19,27,.704,2,22,24,10,8,9,8,17,12,53,.226,3,10,.300,9,43,.209,.255,16,21,.762,14,20,34,5,3,2,11,20
20,2015-01-29,@,Missouri,REG (Conf),W,69,53,"",20,44,.455,2,7,.286,18,37,.486,.477,27,37,.730,9,21,30,8,7,1,14,23,18,43,.419,4,16,.250,14,27,.519,.465,13,20,.650,5,18,23,11,10,3,14,31
21,2015-01-31,"",Alabama,REG (Conf),W,70,55,"",24,41,.585,7,15,.467,17,26,.654,.671,15,23,.652,4,15,19,14,5,1,5,22,17,37,.459,4,16,.250,13,21,.619,.514,17,25,.680,8,12,20,4,2,1,13,19
22,2015-02-03,"",Georgia,REG (Conf),W,69,58,"",25,55,.455,7,22,.318,18,33,.545,.518,12,17,.706,5,17,22,16,5,3,7,16,19,46,.413,5,14,.357,14,32,.438,.467,15,23,.652,8,26,34,10,3,2,16,16
23,2015-02-07,@,Florida,REG (Conf),W,68,61,"",22,47,.468,3,14,.214,19,33,.576,.500,21,22,.955,8,20,28,12,4,2,15,15,24,49,.490,6,21,.286,18,28,.643,.551,7,14,.500,6,13,19,9,8,1,11,20
24,2015-02-10,@,Louisiana State,REG (Conf),W,71,69,"",31,68,.456,2,12,.167,29,56,.518,.471,7,11,.636,16,21,37,14,5,9,8,16,28,59,.475,3,10,.300,25,49,.510,.500,10,16,.625,9,22,31,13,6,5,8,12
25,2015-02-14,"",South Carolina,REG (Conf),W,77,43,"",27,54,.500,5,14,.357,22,40,.550,.546,18,24,.750,14,29,43,17,2,6,13,15,13,55,.236,3,20,.150,10,35,.286,.264,14,17,.824,8,11,19,3,3,2,9,21
26,2015-02-17,@,Tennessee,REG (Conf),W,66,48,"",22,53,.415,5,22,.227,17,31,.548,.462,17,21,.810,16,16,32,11,6,5,10,15,21,56,.375,2,17,.118,19,39,.487,.393,4,10,.400,16,14,30,6,7,3,14,20
27,2015-02-21,"",Auburn,REG (Conf),W,110,75,"",44,68,.647,6,17,.353,38,51,.745,.691,16,23,.696,12,32,44,25,7,6,15,19,25,60,.417,11,19,.579,14,41,.341,.508,14,26,.538,4,14,18,11,6,0,14,21
28,2015-02-25,@,Mississippi State,REG (Conf),W,74,56,"",28,57,.491,6,13,.462,22,44,.500,.544,12,13,.923,7,27,34,15,2,9,9,18,19,51,.373,2,11,.182,17,40,.425,.392,16,27,.593,6,22,28,6,5,2,7,15
29,2015-02-28,"",Arkansas,REG (Conf),W,84,67,"",29,60,.483,5,17,.294,24,43,.558,.525,21,28,.750,12,22,34,13,8,6,9,19,21,56,.375,5,18,.278,16,38,.421,.420,20,25,.800,8,21,29,10,4,0,12,19
30,2015-03-03,@,Georgia,REG (Conf),W,72,64,"",25,63,.397,4,15,.267,21,48,.438,.429,18,25,.720,10,25,35,8,5,4,3,18,26,55,.473,3,17,.176,23,38,.605,.500,9,18,.500,5,27,32,13,0,4,11,19
31,2015-03-07,"",Florida,REG (Conf),W,67,50,"",25,53,.472,2,6,.333,23,47,.489,.491,15,21,.714,9,21,30,9,8,8,8,9,21,49,.429,5,11,.455,16,38,.421,.480,3,7,.429,7,17,24,10,1,3,16,15
32,2015-03-13,N,Florida,CTOURN,W,64,49,"",21,56,.375,3,10,.300,18,46,.391,.402,19,23,.826,14,22,36,7,5,6,6,11,22,56,.393,2,11,.182,20,45,.444,.411,3,5,.600,8,19,27,12,3,4,12,18
33,2015-03-14,N,Auburn,CTOURN,W,91,67,"",27,48,.563,7,14,.500,20,34,.588,.635,30,35,.857,7,29,36,17,4,7,10,26,18,54,.333,6,20,.300,12,34,.353,.389,25,34,.735,5,16,21,5,2,0,7,23
34,2015-03-15,N,Arkansas,CTOURN,W,78,63,"",25,49,.510,7,12,.583,18,37,.486,.582,21,27,.778,11,17,28,16,4,6,12,17,24,54,.444,4,13,.308,20,41,.488,.481,11,17,.647,9,11,20,5,4,3,12,22
