Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2014-11-14,"",Binghamton,REG (Non-Conf),W,82,39,"",32,58,.552,8,22,.364,24,36,.667,.621,10,18,.556,6,27,33,16,14,3,7,18,13,49,.265,3,17,.176,10,32,.313,.296,10,13,.769,8,24,32,4,0,2,18,18
2,2014-11-16,"",Navy,REG (Non-Conf),W,92,53,"",32,57,.561,9,25,.360,23,32,.719,.640,19,23,.826,5,27,32,19,11,4,9,14,16,50,.320,6,20,.300,10,30,.333,.380,15,15,1.000,6,18,24,9,5,0,20,18
3,2014-11-19,"",Coppin State,REG (Non-Conf),W,104,67,"",40,61,.656,9,19,.474,31,42,.738,.730,15,20,.750,11,31,42,24,7,5,9,11,27,72,.375,9,35,.257,18,37,.486,.438,4,5,.800,13,11,24,13,4,2,7,15
4,2014-11-22,N,Massachusetts,REG (Non-Conf),W,81,68,"",31,53,.585,9,19,.474,22,34,.647,.670,10,17,.588,6,24,30,12,13,2,17,21,21,49,.429,6,17,.353,15,32,.469,.490,20,29,.690,5,18,23,11,6,2,17,16
5,2014-11-23,N,Providence,REG (Non-Conf),L,74,75,"",26,52,.500,7,21,.333,19,31,.613,.567,15,19,.789,8,17,25,11,5,1,11,17,28,50,.560,6,18,.333,22,32,.688,.620,13,14,.929,3,18,21,13,4,1,10,18
6,2014-11-26,"",Grambling State,REG (Non-Conf),W,81,54,"",28,45,.622,12,27,.444,16,18,.889,.756,13,18,.722,3,24,27,21,2,7,7,9,20,54,.370,3,10,.300,17,44,.386,.398,11,15,.733,9,18,27,5,6,0,5,15
7,2014-11-29,"",Chicago State,REG (Non-Conf),W,90,42,"",31,53,.585,14,25,.560,17,28,.607,.717,14,22,.636,6,29,35,22,9,3,10,8,17,55,.309,5,23,.217,12,32,.375,.355,3,4,.750,7,18,25,7,7,2,15,20
8,2014-12-03,"",Michigan State,REG (Non-Conf),W,79,78,OT,26,56,.464,7,23,.304,19,33,.576,.527,20,25,.800,5,17,22,7,7,3,4,14,32,65,.492,9,17,.529,23,48,.479,.562,5,9,.556,15,23,38,16,2,5,12,22
9,2014-12-06,"",Fairleigh Dickinson,REG (Non-Conf),W,75,57,"",27,54,.500,4,17,.235,23,37,.622,.537,17,25,.680,12,28,40,11,8,6,11,12,23,61,.377,8,20,.400,15,41,.366,.443,3,7,.429,11,17,28,10,6,0,11,23
10,2014-12-09,"",Mount St. Mary's,REG (Non-Conf),W,93,67,"",36,61,.590,8,14,.571,28,47,.596,.656,13,16,.813,12,28,40,16,7,2,8,8,25,68,.368,13,35,.371,12,33,.364,.463,4,9,.444,12,14,26,16,2,4,9,16
