Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2014-11-14,"",Ball State,REG (Non-Conf),W,90,72,"",29,49,.592,6,9,.667,23,40,.575,.653,26,40,.650,13,20,33,14,11,5,14,18,25,55,.455,10,22,.455,15,33,.455,.545,12,13,.923,9,6,15,10,5,4,15,30
2,2014-11-18,@,San Diego State,REG (Non-Conf),L,49,53,"",16,50,.320,6,25,.240,10,25,.400,.380,11,16,.688,14,24,38,9,5,10,18,22,16,49,.327,3,9,.333,13,40,.325,.357,18,27,.667,15,19,34,4,13,3,11,15
3,2014-11-21,"",UC Riverside,REG (Non-Conf),W,88,42,"",29,56,.518,9,17,.529,20,39,.513,.598,21,28,.750,14,31,45,21,5,7,9,13,16,55,.291,1,13,.077,15,42,.357,.300,9,9,1.000,5,16,21,7,4,3,13,23
4,2014-11-26,"",TexasâPan American,REG (Non-Conf),W,85,48,"",26,44,.591,8,13,.615,18,31,.581,.682,25,34,.735,9,25,34,16,7,7,14,22,16,45,.356,3,15,.200,13,30,.433,.389,13,23,.565,5,13,18,10,2,0,16,25
5,2014-11-28,"",North Dakota,REG (Non-Conf),W,90,53,"",30,45,.667,6,14,.429,24,31,.774,.733,24,34,.706,6,30,36,16,2,8,14,14,19,58,.328,5,16,.313,14,42,.333,.371,10,15,.667,4,13,17,8,9,1,10,29
6,2014-11-29,"",Alabama State,REG (Non-Conf),W,93,62,"",32,60,.533,10,23,.435,22,37,.595,.617,19,32,.594,10,25,35,19,8,6,8,17,19,54,.352,7,14,.500,12,40,.300,.417,17,24,.708,9,24,33,13,4,6,17,28
7,2014-12-03,"",Wichita State,REG (Non-Conf),W,69,68,OT,24,51,.471,9,21,.429,15,30,.500,.559,12,23,.522,9,27,36,14,2,5,11,12,24,63,.381,11,30,.367,13,33,.394,.468,9,13,.692,11,23,34,8,6,5,6,22
8,2014-12-10,@,Brigham Young,REG (Non-Conf),W,65,61,"",22,48,.458,2,14,.143,20,34,.588,.479,19,30,.633,7,31,38,9,5,6,15,14,24,65,.369,7,20,.350,17,45,.378,.423,6,10,.600,8,19,27,12,8,3,7,21
9,2014-12-13,N,Kansas,REG (Non-Conf),L,60,63,"",21,54,.389,4,19,.211,17,35,.486,.426,14,17,.824,11,18,29,8,9,4,12,18,18,43,.419,6,11,.545,12,32,.375,.488,21,23,.913,4,21,25,11,6,4,15,16
10,2014-12-20,N,UNLV,REG (Non-Conf),W,59,46,"",21,53,.396,5,15,.333,16,38,.421,.443,12,21,.571,3,31,34,8,12,2,10,18,17,52,.327,2,11,.182,15,41,.366,.346,10,23,.435,9,30,39,5,6,8,15,17
11,2014-12-23,"",South Dakota State,REG (Non-Conf),W,80,66,"",30,58,.517,8,23,.348,22,35,.629,.586,12,19,.632,5,30,35,21,5,4,11,16,25,63,.397,7,19,.368,18,44,.409,.452,9,12,.750,8,21,29,10,6,2,12,17
12,2014-12-30,"","",REG (Non-Conf),W,85,49,"",33,51,.647,8,16,.500,25,35,.714,.725,11,18,.611,9,26,35,22,10,3,18,8,19,49,.388,6,15,.400,13,34,.382,.449,5,6,.833,2,12,14,11,12,1,16,19
13,2015-01-02,"",Southern California,REG (Conf),W,79,55,"",29,51,.569,11,19,.579,18,32,.563,.676,10,20,.500,9,26,35,19,6,6,11,13,25,65,.385,3,13,.231,22,52,.423,.408,2,5,.400,13,16,29,11,6,3,9,18
14,2015-01-04,"",UCLA,REG (Conf),W,71,39,"",24,51,.471,7,22,.318,17,29,.586,.539,16,19,.842,9,30,39,12,8,5,10,17,15,52,.288,1,11,.091,14,41,.341,.298,8,15,.533,7,17,24,8,5,3,11,17
15,2015-01-07,"",Colorado,REG (Conf),W,74,49,"",26,61,.426,9,22,.409,17,39,.436,.500,13,18,.722,11,23,34,16,9,5,8,19,17,43,.395,3,7,.429,14,36,.389,.430,12,21,.571,3,24,27,5,4,7,18,20
16,2015-01-15,@,Arizona State,REG (Conf),W,76,59,"",22,41,.537,9,17,.529,13,24,.542,.646,23,30,.767,5,23,28,15,6,2,12,17,22,56,.393,9,24,.375,13,32,.406,.473,6,10,.600,12,15,27,13,6,1,13,25
17,2015-01-17,@,Arizona,REG (Conf),L,51,69,"",16,41,.390,9,19,.474,7,22,.318,.500,10,14,.714,3,14,17,13,4,4,11,18,26,53,.491,1,7,.143,25,46,.543,.500,16,24,.667,16,22,38,11,4,4,10,18
18,2015-01-21,"",Washington State,REG (Conf),W,86,64,"",29,60,.483,9,24,.375,20,36,.556,.558,19,22,.864,4,22,26,17,10,3,3,19,21,46,.457,8,19,.421,13,27,.481,.543,14,27,.519,5,27,32,14,1,8,17,22
19,2015-01-25,"",Washington,REG (Conf),W,77,56,"",28,52,.538,11,18,.611,17,34,.500,.644,10,15,.667,8,18,26,20,7,3,9,13,22,52,.423,6,16,.375,16,36,.444,.481,6,11,.545,10,13,23,6,5,7,11,13
20,2015-01-29,@,UCLA,REG (Conf),L,59,69,"",23,47,.489,7,22,.318,16,25,.640,.564,6,9,.667,6,20,26,12,2,6,13,16,24,52,.462,3,13,.231,21,39,.538,.490,18,24,.750,8,19,27,15,8,1,6,11
21,2015-02-01,@,Southern California,REG (Conf),W,67,39,"",25,54,.463,4,20,.200,21,34,.618,.500,13,15,.867,10,28,38,14,9,3,11,15,13,49,.265,1,12,.083,12,37,.324,.276,12,19,.632,5,19,24,4,6,3,15,16
22,2015-02-07,@,Colorado,REG (Conf),W,79,51,"",26,45,.578,13,22,.591,13,23,.565,.722,14,22,.636,2,33,35,20,6,4,9,24,14,47,.298,1,9,.111,13,38,.342,.309,22,36,.611,6,20,26,5,6,3,8,18
23,2015-02-12,"",Stanford,REG (Conf),W,75,59,"",25,51,.490,5,15,.333,20,36,.556,.539,20,24,.833,6,24,30,14,5,3,8,18,20,53,.377,6,14,.429,14,39,.359,.434,13,20,.650,6,21,27,8,3,2,12,21
24,2015-02-15,"",California,REG (Conf),W,76,61,"",24,54,.444,7,17,.412,17,37,.459,.509,21,29,.724,10,21,31,10,3,7,7,18,26,57,.456,4,14,.286,22,43,.512,.491,5,12,.417,13,15,28,9,3,3,13,26
25,2015-02-19,@,Oregon State,REG (Conf),W,47,37,"",17,40,.425,7,19,.368,10,21,.476,.513,6,9,.667,7,25,32,10,2,4,13,11,16,48,.333,2,15,.133,14,33,.424,.354,3,8,.375,7,15,22,9,5,3,4,14
26,2015-02-22,@,Oregon,REG (Conf),L,58,69,"",19,52,.365,8,29,.276,11,23,.478,.442,12,17,.706,9,20,29,10,7,5,14,17,24,54,.444,6,17,.353,18,37,.486,.500,15,18,.833,9,22,31,10,7,2,11,13
27,2015-02-26,"",Arizona State,REG (Conf),W,83,41,"",31,49,.633,8,14,.571,23,35,.657,.714,13,20,.650,6,23,29,16,8,11,9,16,14,50,.280,3,16,.188,11,34,.324,.310,10,13,.769,8,12,20,6,3,0,14,21
28,2015-02-28,"",Arizona,REG (Conf),L,57,63,"",17,55,.309,7,22,.318,10,33,.303,.373,16,21,.762,8,19,27,11,3,6,9,26,17,51,.333,2,12,.167,15,39,.385,.353,27,37,.730,14,25,39,7,3,7,8,20
29,2015-03-05,@,Washington State,REG (Conf),W,67,59,"",19,47,.404,10,22,.455,9,25,.360,.511,19,24,.792,8,24,32,13,2,4,8,16,20,49,.408,5,16,.313,15,33,.455,.459,14,20,.700,6,18,24,11,2,2,6,17
30,2015-03-07,@,Washington,REG (Conf),L,68,77,"",26,50,.520,5,19,.263,21,31,.677,.570,11,15,.733,7,16,23,12,2,5,14,18,25,49,.510,8,14,.571,17,35,.486,.592,19,24,.792,6,16,22,9,6,1,10,18
