Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2014-11-14,N,Tennessee,REG (Non-Conf),W,85,69,"",25,62,.403,11,29,.379,14,33,.424,.492,24,40,.600,21,23,44,15,10,4,18,28,24,57,.421,4,17,.235,20,40,.500,.456,17,33,.515,10,26,36,12,9,4,19,34
2,2014-11-18,"",Toledo,REG (Non-Conf),W,87,78,"",27,59,.458,9,25,.360,18,34,.529,.534,24,34,.706,12,21,33,15,16,3,13,24,24,48,.500,8,18,.444,16,30,.533,.583,22,27,.815,5,24,29,9,5,5,21,24
3,2014-11-20,"",Maryland Eastern Shore,REG (Non-Conf),W,106,66,"",39,70,.557,15,33,.455,24,37,.649,.664,13,21,.619,13,26,39,23,15,6,8,22,18,47,.383,8,21,.381,10,26,.385,.468,22,28,.786,6,22,28,11,4,2,18,16
4,2014-11-24,N,Villanova,REG (Non-Conf),L,53,77,"",22,59,.373,2,17,.118,20,42,.476,.390,7,12,.583,11,15,26,4,3,2,10,17,29,58,.500,7,18,.389,22,40,.550,.560,12,16,.750,11,24,35,20,5,5,9,16
5,2014-11-25,N,Oregon,REG (Non-Conf),W,77,63,"",28,56,.500,6,17,.353,22,39,.564,.554,15,24,.625,9,26,35,15,6,4,18,18,21,56,.375,9,27,.333,12,29,.414,.455,12,13,.923,6,21,27,14,9,4,20,19
6,2014-11-29,@,Old Dominion,REG (Non-Conf),L,67,73,"",23,59,.390,8,25,.320,15,34,.441,.458,13,22,.591,9,17,26,10,5,4,10,25,20,42,.476,9,17,.529,11,25,.440,.583,24,30,.800,3,24,27,15,5,6,12,21
7,2014-12-02,@,Illinois State,REG (Non-Conf),W,66,62,"",22,65,.338,9,24,.375,13,41,.317,.408,13,20,.650,18,13,31,11,9,5,8,21,20,40,.500,7,13,.538,13,27,.481,.588,15,23,.652,7,23,30,11,4,8,24,18
8,2014-12-06,"",Virginia,REG (Non-Conf),L,57,74,"",23,60,.383,7,24,.292,16,36,.444,.442,4,9,.444,8,12,20,15,12,3,6,12,28,41,.683,6,11,.545,22,30,.733,.756,12,16,.750,5,26,31,18,4,1,16,9
9,2014-12-13,"",Northern Iowa,REG (Non-Conf),W,93,87,2OT,33,70,.471,11,28,.393,22,42,.524,.550,16,22,.727,10,26,36,20,11,5,11,21,31,63,.492,11,24,.458,20,39,.513,.579,14,23,.609,8,29,37,13,7,1,16,20
10,2014-12-16,"",Belmont,REG (Non-Conf),W,78,51,"",30,63,.476,7,22,.318,23,41,.561,.532,11,16,.688,11,26,37,18,11,2,7,16,17,46,.370,8,29,.276,9,17,.529,.457,9,14,.643,3,24,27,13,5,2,15,14
