Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2015-11-13,"","",REG (Non-Conf),W,109,49,"",40,75,.533,10,25,.400,30,50,.600,.600,19,26,.731,17,29,46,19,14,8,8,21,15,57,.263,6,27,.222,9,30,.300,.316,13,19,.684,12,19,31,7,1,4,24,21
2,2015-11-16,@,Old Dominion,REG (Non-Conf),L,58,77,"",20,65,.308,3,16,.188,17,49,.347,.331,15,23,.652,15,16,31,6,8,5,13,30,23,43,.535,9,14,.643,14,29,.483,.640,22,37,.595,6,27,33,16,3,6,14,22
3,2015-11-18,@,Saint Joseph's,REG (Non-Conf),L,67,89,"",22,71,.310,7,23,.304,15,48,.313,.359,16,21,.762,10,27,37,10,3,1,8,21,31,66,.470,6,24,.250,25,42,.595,.515,21,27,.778,7,36,43,13,4,5,6,16
4,2015-11-21,N,North Carolina A&T,REG (Non-Conf),W,86,68,"",26,64,.406,10,24,.417,16,40,.400,.484,24,32,.750,18,17,35,15,5,3,10,18,25,56,.446,5,13,.385,20,43,.465,.491,13,20,.650,13,17,30,9,3,3,16,27
5,2015-11-22,N,Vermont,REG (Non-Conf),W,77,71,"",24,58,.414,8,23,.348,16,35,.457,.483,21,26,.808,11,18,29,13,7,2,12,23,23,55,.418,7,16,.438,16,39,.410,.482,18,22,.818,8,23,31,13,5,3,16,20
6,2015-11-28,"",Canisius,REG (Non-Conf),W,98,96,OT,34,70,.486,7,16,.438,27,54,.500,.536,23,33,.697,12,23,35,15,12,3,10,23,34,70,.486,11,29,.379,23,41,.561,.564,17,23,.739,13,27,40,18,6,3,19,26
7,2015-12-02,"",St. Bonaventure,REG (Non-Conf),L,58,60,"",19,44,.432,1,13,.077,18,31,.581,.443,19,32,.594,10,20,30,6,7,1,21,15,25,62,.403,2,21,.095,23,41,.561,.419,8,9,.889,14,14,28,12,8,3,15,22
8,2015-12-05,@,Duke,REG (Non-Conf),L,59,82,"",22,66,.333,5,23,.217,17,43,.395,.371,10,16,.625,13,26,39,8,5,6,14,27,24,59,.407,5,14,.357,19,45,.422,.449,29,36,.806,7,30,37,10,4,6,7,15
9,2015-12-07,@,Iowa State,REG (Non-Conf),L,63,84,"",23,66,.348,8,30,.267,15,36,.417,.409,9,12,.750,6,24,30,8,5,2,13,15,32,63,.508,11,25,.440,21,38,.553,.595,9,12,.750,6,34,40,21,5,5,13,16
10,2015-12-12,"",Binghamton,REG (Non-Conf),W,80,64,"",29,61,.475,7,22,.318,22,39,.564,.533,15,21,.714,8,29,37,17,10,5,9,17,23,59,.390,10,27,.370,13,32,.406,.475,8,11,.727,4,26,30,11,1,0,14,21
