Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2015-11-13,"",Maine,REG (Non-Conf),W,100,56,"",36,66,.545,5,22,.227,31,44,.705,.583,23,32,.719,13,35,48,20,8,15,8,24,19,63,.302,5,19,.263,14,44,.318,.341,13,28,.464,9,21,30,9,4,2,14,27
2,2015-11-17,"",New Hampshire,REG (Non-Conf),W,85,66,"",30,57,.526,13,27,.481,17,30,.567,.640,12,16,.750,8,31,39,18,2,7,11,17,22,61,.361,10,26,.385,12,35,.343,.443,12,18,.667,6,19,25,12,5,1,4,13
3,2015-11-21,"",Furman,REG (Non-Conf),W,83,58,"",32,69,.464,11,30,.367,21,39,.538,.543,8,8,1.000,12,26,38,20,7,1,5,17,19,55,.345,10,36,.278,9,19,.474,.436,10,13,.769,8,23,31,13,3,2,10,9
4,2015-11-25,N,Michigan,REG (Non-Conf),W,74,60,"",28,56,.500,8,20,.400,20,36,.556,.571,10,16,.625,8,31,39,15,2,2,12,19,18,56,.321,8,29,.276,10,27,.370,.393,16,20,.800,10,20,30,8,3,3,9,16
5,2015-11-26,N,Syracuse,REG (Non-Conf),L,76,79,"",26,60,.433,10,26,.385,16,34,.471,.517,14,21,.667,8,22,30,16,6,5,12,25,23,48,.479,9,20,.450,14,28,.500,.573,24,39,.615,10,28,38,13,7,3,14,19
6,2015-11-27,N,Gonzaga,REG (Non-Conf),L,70,73,"",26,62,.419,1,12,.083,25,50,.500,.427,17,20,.850,9,22,31,8,7,4,9,16,28,62,.452,10,24,.417,18,38,.474,.532,7,11,.636,8,24,32,14,5,3,10,18
7,2015-12-02,"",Sacred Heart,REG (Non-Conf),W,82,49,"",31,59,.525,4,12,.333,27,47,.574,.559,16,21,.762,11,33,44,17,6,12,15,17,19,65,.292,4,21,.190,15,44,.341,.323,7,15,.467,12,15,27,8,6,2,17,22
8,2015-12-08,N,Maryland,REG (Non-Conf),L,66,76,"",25,59,.424,7,17,.412,18,42,.429,.483,9,12,.750,5,16,21,7,8,9,8,18,25,54,.463,3,14,.214,22,40,.550,.491,23,29,.793,10,29,39,8,4,1,15,14
9,2015-12-12,"",Ohio State,REG (Non-Conf),W,75,55,"",32,53,.604,6,14,.429,26,39,.667,.660,5,9,.556,4,27,31,17,4,2,15,16,20,56,.357,5,22,.227,15,34,.441,.402,10,12,.833,7,17,24,11,9,0,13,14
10,2015-12-20,"",UMass Lowell,REG (Non-Conf),W,88,79,"",32,50,.640,9,17,.529,23,33,.697,.730,15,22,.682,5,25,30,15,7,4,16,17,29,58,.500,12,30,.400,17,28,.607,.603,9,13,.692,2,13,15,18,6,0,11,19
11,2015-12-23,"",Central Connecticut State,REG (Non-Conf),W,99,52,"",38,63,.603,6,15,.400,32,48,.667,.651,17,22,.773,11,32,43,22,7,3,13,22,17,49,.347,4,17,.235,13,32,.406,.388,14,26,.538,6,11,17,9,7,3,17,20
12,2015-12-29,@,Texas,REG (Non-Conf),W,71,66,"",27,58,.466,6,17,.353,21,41,.512,.517,11,17,.647,9,24,33,9,5,5,13,18,23,59,.390,6,23,.261,17,36,.472,.441,14,20,.700,9,21,30,8,3,7,10,19
13,2016-01-02,@,Tulane,REG (Conf),W,75,67,"",22,52,.423,11,21,.524,11,31,.355,.529,20,25,.800,5,27,32,12,7,7,13,25,23,57,.404,5,15,.333,18,42,.429,.447,16,27,.593,8,26,34,13,4,12,11,23
14,2016-01-05,"",Temple,REG (Conf),L,53,55,"",18,57,.316,4,20,.200,14,37,.378,.351,13,14,.929,8,21,29,8,2,3,9,13,21,54,.389,7,18,.389,14,36,.389,.454,6,14,.429,10,25,35,9,5,4,8,15
15,2016-01-09,"",Memphis,REG (Conf),W,81,78,"",23,54,.426,9,19,.474,14,35,.400,.509,26,33,.788,8,18,26,9,6,9,9,23,22,59,.373,8,19,.421,14,40,.350,.441,26,30,.867,8,25,33,15,4,3,13,26
16,2016-01-14,@,Tulsa,REG (Conf),L,51,60,"",17,55,.309,8,29,.276,9,26,.346,.382,9,13,.692,6,31,37,11,3,1,11,17,18,51,.353,6,25,.240,12,26,.462,.412,18,26,.692,4,31,35,10,6,2,6,10
17,2016-01-17,@,Houston,REG (Conf),W,69,57,"",25,54,.463,5,16,.313,20,38,.526,.509,14,15,.933,6,32,38,13,5,5,12,14,21,63,.333,8,25,.320,13,38,.342,.397,7,13,.538,11,22,33,11,7,3,9,14
18,2016-01-19,"",Tulane,REG (Conf),W,60,42,"",19,53,.358,3,14,.214,16,39,.410,.387,19,23,.826,9,23,32,10,6,2,8,13,14,54,.259,5,21,.238,9,33,.273,.306,9,10,.900,12,23,35,6,5,3,15,21
19,2016-01-23,"",Georgetown,REG (Non-Conf),W,68,62,"",17,47,.362,5,15,.333,12,32,.375,.415,29,36,.806,7,25,32,9,4,3,7,13,23,59,.390,9,31,.290,14,28,.500,.466,7,8,.875,6,25,31,14,3,1,12,27
20,2016-01-28,"",Cincinnati,REG (Conf),L,57,58,"",23,60,.383,6,16,.375,17,44,.386,.433,5,8,.625,8,22,30,17,7,7,10,15,21,55,.382,8,21,.381,13,34,.382,.455,8,12,.667,9,25,34,12,7,10,14,12
21,2016-01-31,@,UCF,REG (Conf),W,67,41,"",26,57,.456,7,20,.350,19,37,.514,.518,8,11,.727,11,28,39,13,12,4,14,18,12,51,.235,5,20,.250,7,31,.226,.284,12,23,.522,10,19,29,6,7,5,15,15
22,2016-02-04,@,Memphis,REG (Conf),W,77,57,"",32,71,.451,4,19,.211,28,52,.538,.479,9,11,.818,11,24,35,17,10,2,9,29,16,41,.390,4,11,.364,12,30,.400,.439,21,36,.583,4,21,25,9,4,4,19,14
23,2016-02-07,"",East Carolina,REG (Conf),W,85,67,"",35,63,.556,7,19,.368,28,44,.636,.611,8,10,.800,9,26,35,18,8,4,5,16,23,62,.371,7,22,.318,16,40,.400,.427,14,17,.824,7,18,25,11,4,3,10,12
24,2016-02-11,@,Temple,REG (Conf),L,58,63,"",20,51,.392,5,17,.294,15,34,.441,.441,13,14,.929,6,23,29,11,5,3,8,14,23,60,.383,9,22,.409,14,38,.368,.458,8,11,.727,12,21,33,11,2,3,8,8
25,2016-02-13,"",Tulsa,REG (Conf),W,75,73,"",27,51,.529,11,24,.458,16,27,.593,.637,10,11,.909,9,15,24,13,6,5,16,21,25,52,.481,9,22,.409,16,30,.533,.567,14,25,.560,13,15,28,12,8,0,15,16
