Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2015-11-17,@,Memphis,REG (Non-Conf),W,84,78,"",29,68,.426,11,26,.423,18,42,.429,.507,15,20,.750,13,32,45,17,7,6,18,23,27,78,.346,6,26,.231,21,52,.404,.385,18,31,.581,21,23,44,13,10,9,12,21
2,2015-11-20,"",McNeese State,REG (Non-Conf),W,85,56,"",31,64,.484,11,25,.440,20,39,.513,.570,12,26,.462,10,32,42,14,10,2,13,12,22,65,.338,6,25,.240,16,40,.400,.385,6,11,.545,9,23,32,8,7,3,18,25
3,2015-11-24,"",Incarnate Word,REG (Non-Conf),W,96,63,"",35,59,.593,6,16,.375,29,43,.674,.644,20,27,.741,10,37,47,18,6,8,19,18,23,68,.338,7,28,.250,16,40,.400,.390,10,11,.909,6,13,19,9,12,1,13,23
4,2015-11-29,"",Wisconsin,REG (Non-Conf),W,65,48,"",26,61,.426,4,12,.333,22,49,.449,.459,9,14,.643,11,30,41,14,4,6,5,12,16,68,.235,7,33,.212,9,35,.257,.287,9,13,.692,15,24,39,8,2,3,7,17
5,2015-12-03,"",Central Arkansas,REG (Non-Conf),W,111,68,"",36,69,.522,13,22,.591,23,47,.489,.616,26,35,.743,14,37,51,20,5,7,10,22,23,61,.377,7,18,.389,16,43,.372,.434,15,29,.517,7,18,25,12,6,4,9,23
6,2015-12-07,N,Villanova,REG (Non-Conf),W,78,55,"",28,60,.467,14,26,.538,14,34,.412,.583,8,11,.727,6,30,36,18,4,0,14,16,20,63,.317,4,32,.125,16,31,.516,.349,11,16,.688,9,23,32,8,7,3,9,14
7,2015-12-12,"",Oral Roberts,REG (Non-Conf),W,96,73,"",33,66,.500,16,27,.593,17,39,.436,.621,14,17,.824,9,24,33,20,9,7,10,12,28,64,.438,7,21,.333,21,43,.488,.492,10,14,.714,11,22,33,7,5,2,14,18
8,2015-12-19,"",Creighton,REG (Non-Conf),W,87,74,"",31,65,.477,8,20,.400,23,45,.511,.538,17,24,.708,10,33,43,14,7,11,10,13,27,74,.365,12,26,.462,15,48,.313,.446,8,10,.800,10,24,34,12,6,3,12,18
9,2015-12-22,N,Washington State,REG (Non-Conf),W,88,60,"",31,62,.500,10,23,.435,21,39,.538,.581,16,22,.727,8,32,40,15,7,2,9,16,24,69,.348,5,21,.238,19,48,.396,.384,7,8,.875,9,19,28,6,6,4,8,19
10,2015-12-23,@,Hawaii,REG (Non-Conf),W,84,81,"",26,56,.464,8,17,.471,18,39,.462,.536,24,33,.727,6,26,32,15,6,4,12,21,25,55,.455,7,20,.350,18,35,.514,.518,24,33,.727,5,23,28,13,6,6,10,25
