Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2015-11-17,"","",REG (Non-Conf),W,84,43,"",33,70,.471,6,23,.261,27,47,.574,.514,12,19,.632,17,37,54,21,3,11,12,22,11,53,.208,4,15,.267,7,38,.184,.245,17,27,.630,5,23,28,8,4,2,13,22
2,2015-11-20,"",Detroit Mercy,REG (Non-Conf),W,95,79,"",33,67,.493,9,22,.409,24,45,.533,.560,20,28,.714,14,29,43,18,5,8,10,21,28,66,.424,6,19,.316,22,47,.468,.470,17,25,.680,9,21,30,14,5,6,8,22
3,2015-11-25,"",Cornell,REG (Non-Conf),W,93,49,"",33,64,.516,10,21,.476,23,43,.535,.594,17,19,.895,12,32,44,25,5,3,8,15,18,61,.295,6,20,.300,12,41,.293,.344,7,14,.500,11,16,27,10,3,2,14,17
4,2015-11-28,"",Kent State,REG (Non-Conf),W,85,76,"",31,55,.564,10,16,.625,21,39,.538,.655,13,14,.929,4,19,23,26,2,3,10,15,29,64,.453,6,20,.300,23,44,.523,.500,12,14,.857,13,17,30,16,5,1,7,12
5,2015-12-01,"",Purdue,REG (Non-Conf),L,59,72,"",20,57,.351,4,19,.211,16,38,.421,.386,15,20,.750,12,20,32,14,5,4,10,21,24,55,.436,11,28,.393,13,27,.481,.536,13,18,.722,12,24,36,19,5,0,12,20
6,2015-12-04,N,Duquesne,REG (Non-Conf),W,96,75,"",31,56,.554,10,19,.526,21,37,.568,.643,24,28,.857,10,29,39,22,4,3,11,17,28,65,.431,7,20,.350,21,45,.467,.485,12,23,.522,12,15,27,12,8,2,8,20
7,2015-12-06,"",Central Arkansas,REG (Non-Conf),W,100,47,"",37,68,.544,9,19,.474,28,49,.571,.610,17,25,.680,12,35,47,29,6,6,10,19,19,60,.317,1,12,.083,18,48,.375,.325,8,23,.348,10,21,31,6,6,5,15,18
8,2015-12-11,"",Eastern Washington,REG (Non-Conf),W,84,51,"",28,56,.500,6,14,.429,22,42,.524,.554,22,27,.815,12,26,38,15,5,3,12,12,19,51,.373,7,23,.304,12,28,.429,.441,6,10,.600,4,14,18,8,5,1,14,18
9,2015-12-13,"",Morehead State,REG (Non-Conf),W,72,62,"",21,46,.457,1,13,.077,20,33,.606,.467,29,36,.806,8,26,34,12,5,5,14,13,24,57,.421,3,12,.250,21,45,.467,.447,11,15,.733,6,18,24,13,7,3,10,25
10,2015-12-20,N,Davidson,REG (Non-Conf),W,94,69,"",36,66,.545,9,20,.450,27,46,.587,.614,13,14,.929,12,35,47,21,6,7,13,24,24,69,.348,6,30,.200,18,39,.462,.391,15,26,.577,13,15,28,10,3,1,8,14
11,2015-12-23,"",Western Carolina,REG (Non-Conf),W,79,73,"",24,48,.500,2,13,.154,22,35,.629,.521,29,33,.879,10,28,38,19,6,9,14,14,28,67,.418,9,27,.333,19,40,.475,.485,8,12,.667,11,14,25,16,10,1,10,25
12,2015-12-30,"",Syracuse,REG (Conf),W,72,61,"",24,59,.407,6,23,.261,18,36,.500,.458,18,23,.783,18,24,42,18,3,2,9,18,20,46,.435,5,15,.333,15,31,.484,.489,16,25,.640,8,14,22,13,4,5,10,20
13,2016-01-02,"",Maryland Eastern Shore,REG (Non-Conf),W,92,58,"",32,58,.552,4,15,.267,28,43,.651,.586,24,36,.667,13,23,36,25,9,7,12,17,19,52,.365,3,14,.214,16,38,.421,.394,17,21,.810,5,17,22,12,5,2,16,24
14,2016-01-06,"",Georgia Tech,REG (Conf),W,89,84,"",29,59,.492,6,13,.462,23,46,.500,.542,25,30,.833,7,25,32,15,4,3,4,19,33,68,.485,10,20,.500,23,48,.479,.559,8,15,.533,14,24,38,14,2,4,10,22
15,2016-01-09,@,Notre Dame,REG (Conf),W,86,82,"",28,56,.500,10,19,.526,18,37,.486,.589,20,24,.833,8,20,28,17,3,2,6,17,32,59,.542,9,20,.450,23,39,.590,.619,9,14,.643,7,15,22,14,3,6,3,20
16,2016-01-14,@,Louisville,REG (Conf),L,41,59,"",14,49,.286,1,11,.091,13,38,.342,.296,12,20,.600,10,22,32,4,3,1,19,19,21,51,.412,1,11,.091,20,40,.500,.422,16,19,.842,9,25,34,11,10,6,14,17
17,2016-01-16,"",Boston College,REG (Conf),W,84,61,"",33,57,.579,10,19,.526,23,38,.605,.667,8,11,.727,9,21,30,23,7,4,17,15,23,49,.469,7,18,.389,16,31,.516,.541,8,11,.727,3,13,16,9,6,1,12,13
18,2016-01-19,"",NC State,REG (Conf),L,61,78,"",22,60,.367,5,17,.294,17,43,.395,.408,12,17,.706,9,20,29,16,10,6,14,20,28,58,.483,6,12,.500,22,46,.478,.534,16,20,.800,9,33,42,12,3,2,18,15
19,2016-01-23,@,Florida State,REG (Conf),W,74,72,"",24,61,.393,10,23,.435,14,38,.368,.475,16,24,.667,15,16,31,12,3,2,10,16,29,54,.537,6,16,.375,23,38,.605,.593,8,12,.667,7,22,29,13,3,4,16,24
20,2016-01-27,@,Clemson,REG (Conf),L,60,73,"",21,55,.382,8,19,.421,13,36,.361,.455,10,14,.714,8,22,30,13,3,2,10,24,24,51,.471,7,18,.389,17,33,.515,.539,18,26,.692,7,27,34,14,9,5,9,16
21,2016-01-31,"",Virginia Tech,REG (Conf),W,90,71,"",36,68,.529,8,25,.320,28,43,.651,.588,10,15,.667,11,19,30,30,8,4,9,17,23,51,.451,11,21,.524,12,30,.400,.559,14,20,.700,9,20,29,13,5,3,19,20
22,2016-02-06,"",Virginia,REG (Conf),L,50,64,"",18,46,.391,2,13,.154,16,33,.485,.413,12,14,.857,8,20,28,12,2,4,10,14,24,50,.480,9,16,.563,15,34,.441,.570,7,12,.583,8,20,28,17,6,5,7,17
23,2016-02-09,@,Miami (FL),REG (Conf),L,63,65,"",25,57,.439,3,13,.231,22,44,.500,.465,10,10,1.000,7,22,29,11,5,3,8,16,23,51,.451,6,20,.300,17,31,.548,.510,13,18,.722,8,19,27,12,6,3,9,11
24,2016-02-14,@,North Carolina,REG (Conf),L,64,85,"",25,67,.373,9,21,.429,16,46,.348,.440,5,13,.385,16,22,38,13,5,2,18,14,32,54,.593,8,15,.533,24,39,.615,.667,13,15,.867,1,28,29,26,10,6,11,17
25,2016-02-16,"",Wake Forest,REG (Conf),W,101,96,2OT,33,83,.398,7,23,.304,26,60,.433,.440,28,37,.757,23,31,54,20,7,3,10,23,34,67,.507,12,29,.414,22,38,.579,.597,16,32,.500,7,25,32,24,8,5,12,28
26,2016-02-20,@,Syracuse,REG (Conf),W,66,52,"",24,52,.462,8,23,.348,16,29,.552,.538,10,15,.667,13,27,40,16,5,1,14,14,19,51,.373,7,26,.269,12,25,.480,.441,7,13,.538,4,16,20,13,9,3,8,16
27,2016-02-24,"",Louisville,REG (Conf),L,60,67,"",21,50,.420,4,18,.222,17,32,.531,.460,14,21,.667,9,25,34,11,5,2,14,17,27,53,.509,7,16,.438,20,37,.541,.575,6,10,.600,4,23,27,17,6,3,11,16
28,2016-02-28,"",Duke,REG (Conf),W,76,62,"",28,56,.500,8,20,.400,20,36,.556,.571,12,15,.800,15,21,36,20,2,1,12,18,18,48,.375,11,32,.344,7,16,.438,.490,15,16,.938,5,12,17,10,4,1,13,15
29,2016-03-02,@,Virginia Tech,REG (Conf),L,61,65,"",21,54,.389,3,21,.143,18,33,.545,.417,16,23,.696,8,27,35,12,1,2,8,22,20,45,.444,6,19,.316,14,26,.538,.511,19,35,.543,6,23,29,11,2,3,8,17
30,2016-03-05,@,Georgia Tech,REG (Conf),L,59,63,"",24,61,.393,0,11,.000,24,50,.480,.393,11,13,.846,7,23,30,6,7,0,9,17,22,56,.393,5,15,.333,17,41,.415,.438,14,19,.737,11,28,39,10,4,5,12,14
31,2016-03-09,N,Syracuse,CTOURN,W,72,71,"",27,56,.482,8,20,.400,19,36,.528,.554,10,16,.625,10,18,28,14,9,2,11,15,25,53,.472,10,19,.526,15,34,.441,.566,11,15,.733,8,19,27,16,8,5,12,15
32,2016-03-10,N,North Carolina,CTOURN,L,71,88,"",24,54,.444,5,12,.417,19,42,.452,.491,18,25,.720,8,13,21,11,6,3,12,17,33,56,.589,6,14,.429,27,42,.643,.643,16,18,.889,6,20,26,18,6,7,10,16
