Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2015-11-13,"",Austin Peay,REG (Non-Conf),W,80,41,"",32,72,.444,8,19,.421,24,53,.453,.500,8,15,.533,15,32,47,17,6,8,9,19,14,64,.219,1,16,.063,13,48,.271,.227,12,19,.632,12,26,38,1,4,0,13,14
2,2015-11-16,"",Gardner-Webb,REG (Non-Conf),W,98,62,"",32,55,.582,11,23,.478,21,32,.656,.682,23,32,.719,8,24,32,19,9,5,10,19,21,50,.420,7,20,.350,14,30,.467,.490,13,18,.722,6,18,24,6,2,1,18,27
3,2015-11-19,"",Stony Brook,REG (Non-Conf),W,79,72,OT,29,65,.446,5,18,.278,24,47,.511,.485,16,23,.696,4,25,29,8,3,5,6,15,30,66,.455,4,17,.235,26,49,.531,.485,8,12,.667,9,32,41,11,2,5,13,21
4,2015-11-23,N,St. John's (NY),REG (Non-Conf),W,92,55,"",33,62,.532,12,25,.480,21,37,.568,.629,14,21,.667,12,36,48,21,3,6,9,20,18,60,.300,2,16,.125,16,44,.364,.317,17,22,.773,7,14,21,6,8,3,7,17
5,2015-11-24,N,Wake Forest,REG (Non-Conf),W,86,64,"",31,63,.492,7,17,.412,24,46,.522,.548,17,22,.773,13,29,42,14,6,4,8,25,19,58,.328,3,18,.167,16,40,.400,.353,23,32,.719,11,21,32,7,7,2,12,22
6,2015-11-25,N,Kansas,REG (Non-Conf),L,63,70,"",23,56,.411,6,27,.222,17,29,.586,.464,11,15,.733,6,23,29,11,5,8,11,21,25,55,.455,8,16,.500,17,39,.436,.527,12,22,.545,9,29,38,8,6,1,12,11
7,2015-12-02,"",Detroit Mercy,REG (Non-Conf),W,102,52,"",35,61,.574,12,26,.462,23,35,.657,.672,20,30,.667,9,40,49,18,7,11,12,14,16,70,.229,11,27,.407,5,43,.116,.307,9,12,.750,10,21,31,4,6,1,13,22
8,2015-12-06,@,Baylor,REG (Non-Conf),L,67,69,"",22,47,.468,10,21,.476,12,26,.462,.574,13,17,.765,8,21,29,17,6,6,17,17,26,65,.400,5,11,.455,21,54,.389,.438,12,20,.600,18,18,36,18,7,3,7,17
9,2015-12-09,"",Dayton,REG (Non-Conf),L,67,72,"",21,51,.412,6,17,.353,15,34,.441,.471,19,25,.760,6,24,30,6,3,6,13,21,27,60,.450,5,15,.333,22,45,.489,.492,13,22,.591,13,24,37,9,7,1,11,21
10,2015-12-19,"",Wofford,REG (Non-Conf),W,80,56,"",25,50,.500,10,17,.588,15,33,.455,.600,20,27,.741,6,34,40,14,1,5,11,15,21,61,.344,8,21,.381,13,40,.325,.410,6,9,.667,5,24,29,9,6,2,6,23
11,2015-12-22,@,Purdue,REG (Non-Conf),L,55,68,"",22,63,.349,5,16,.313,17,47,.362,.389,6,11,.545,8,22,30,12,8,1,11,27,21,58,.362,2,19,.105,19,39,.487,.379,24,31,.774,13,29,42,14,5,8,11,14
12,2015-12-30,"",Western Michigan,REG (Non-Conf),W,86,61,"",29,56,.518,11,30,.367,18,26,.692,.616,17,23,.739,6,23,29,22,7,3,8,19,20,54,.370,2,18,.111,18,36,.500,.389,19,24,.792,10,22,32,8,2,0,14,21
13,2016-01-02,"",Louisiana State,REG (Conf),L,82,90,"",25,54,.463,10,23,.435,15,31,.484,.556,22,25,.880,2,24,26,13,6,2,17,25,30,62,.484,5,16,.313,25,46,.543,.524,25,31,.806,11,28,39,14,9,3,11,20
14,2016-01-05,@,Arkansas,REG (Conf),L,85,90,OT,26,52,.500,10,20,.500,16,32,.500,.596,23,32,.719,5,35,40,20,1,2,25,25,29,71,.408,6,14,.429,23,57,.404,.451,26,35,.743,9,22,31,13,15,5,8,27
15,2016-01-09,@,South Carolina,REG (Conf),L,65,69,"",20,61,.328,5,24,.208,15,37,.405,.369,20,29,.690,10,24,34,10,5,7,11,25,24,57,.421,3,13,.231,21,44,.477,.447,18,29,.621,8,32,40,11,3,3,13,23
16,2016-01-12,"",Auburn,REG (Conf),W,75,57,"",26,47,.553,7,13,.538,19,34,.559,.628,16,25,.640,9,36,45,16,2,10,16,21,22,67,.328,4,22,.182,18,45,.400,.358,9,20,.450,14,19,33,8,4,7,10,23
17,2016-01-16,"",Alabama,REG (Conf),W,71,63,"",20,49,.408,9,16,.563,11,33,.333,.500,22,36,.611,5,23,28,14,5,1,6,18,25,52,.481,6,19,.316,19,33,.576,.538,7,20,.350,9,30,39,7,4,5,12,23
18,2016-01-20,@,Tennessee,REG (Conf),W,88,74,"",23,57,.404,13,33,.394,10,24,.417,.518,29,39,.744,10,38,48,20,3,10,11,22,25,76,.329,4,20,.200,21,56,.375,.355,20,25,.800,10,23,33,11,5,4,6,26
19,2016-01-23,@,Kentucky,REG (Conf),L,57,76,"",16,50,.320,5,15,.333,11,35,.314,.370,20,25,.800,9,22,31,8,3,3,11,10,33,60,.550,6,19,.316,27,41,.659,.600,4,6,.667,6,26,32,12,6,3,6,19
20,2016-01-26,"",Florida,REG (Conf),W,60,59,"",18,44,.409,3,9,.333,15,35,.429,.443,21,33,.636,10,29,39,9,4,9,18,15,23,70,.329,7,22,.318,16,48,.333,.379,6,10,.600,13,22,35,6,6,3,12,24
21,2016-01-30,@,Texas,REG (Non-Conf),L,58,72,"",23,53,.434,7,20,.350,16,33,.485,.500,5,10,.500,7,18,25,12,2,4,13,20,24,58,.414,4,16,.250,20,42,.476,.448,20,26,.769,15,20,35,9,10,2,6,14
22,2016-02-04,"",Texas A&M,REG (Conf),W,77,60,"",30,59,.508,13,29,.448,17,30,.567,.619,4,6,.667,8,24,32,19,2,7,12,13,21,57,.368,7,22,.318,14,35,.400,.430,11,17,.647,7,18,25,11,8,3,6,10
