Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2015-11-13,"",Morgan State,REG (Non-Conf),W,86,48,"",32,65,.492,5,18,.278,27,47,.574,.531,17,26,.654,22,27,49,16,4,3,8,17,17,50,.340,7,27,.259,10,23,.435,.410,7,11,.636,5,14,19,10,7,1,11,20
2,2015-11-16,@,George Washington,REG (Non-Conf),L,68,73,"",25,62,.403,5,20,.250,20,42,.476,.444,13,16,.813,9,20,29,11,6,2,8,24,23,51,.451,4,15,.267,19,36,.528,.490,23,28,.821,7,27,34,9,3,2,11,18
3,2015-11-19,N,Bradley,REG (Non-Conf),W,82,57,"",30,53,.566,6,15,.400,24,38,.632,.623,16,17,.941,7,26,33,19,6,2,9,20,18,46,.391,6,15,.400,12,31,.387,.457,15,24,.625,5,13,18,7,2,1,12,15
4,2015-11-20,N,Long Beach State,REG (Non-Conf),W,87,52,"",34,61,.557,13,25,.520,21,36,.583,.664,6,8,.750,8,27,35,23,4,3,7,18,15,48,.313,7,21,.333,8,27,.296,.385,15,20,.750,6,17,23,9,4,2,9,15
5,2015-11-22,N,George Mason,REG (Non-Conf),W,83,66,"",32,56,.571,6,9,.667,26,47,.553,.625,13,17,.765,6,23,29,17,4,4,6,19,23,52,.442,6,17,.353,17,35,.486,.500,14,22,.636,9,17,26,11,3,7,9,18
6,2015-11-25,"",Lehigh,REG (Non-Conf),W,80,54,"",34,65,.523,6,19,.316,28,46,.609,.569,6,10,.600,13,18,31,18,9,6,6,9,20,50,.400,8,23,.348,12,27,.444,.480,6,8,.750,9,18,27,10,3,2,17,19
7,2015-12-01,@,Ohio State,REG (Non-Conf),W,64,58,"",23,52,.442,8,16,.500,15,36,.417,.519,10,13,.769,8,20,28,11,2,1,7,13,21,42,.500,8,21,.381,13,21,.619,.595,8,12,.667,3,20,23,10,3,7,12,13
8,2015-12-05,"",William & Mary,REG (Non-Conf),W,67,52,"",26,59,.441,2,12,.167,24,47,.511,.458,13,17,.765,8,24,32,10,15,5,5,12,19,46,.413,6,18,.333,13,28,.464,.478,8,13,.615,3,25,28,8,4,2,19,16
9,2015-12-08,N,West Virginia,REG (Non-Conf),W,70,54,"",27,43,.628,3,8,.375,24,35,.686,.663,13,20,.650,6,20,26,13,6,1,18,22,20,50,.400,2,14,.143,18,36,.500,.420,12,21,.571,13,11,24,10,10,1,18,24
10,2015-12-19,"",Villanova,REG (Non-Conf),W,86,75,"",26,46,.565,8,12,.667,18,34,.529,.652,26,30,.867,10,18,28,12,4,2,12,19,26,53,.491,10,26,.385,16,27,.593,.585,13,17,.765,10,9,19,17,6,1,10,24
11,2015-12-22,"",California,REG (Non-Conf),W,63,62,OT,21,54,.389,7,12,.583,14,42,.333,.454,14,17,.824,6,18,24,14,5,1,7,14,23,52,.442,6,17,.353,17,35,.486,.500,10,13,.769,7,24,31,10,3,2,13,18
12,2015-12-30,"",Oakland,REG (Non-Conf),W,71,58,"",25,55,.455,6,16,.375,19,39,.487,.509,15,21,.714,7,20,27,16,7,2,7,14,19,51,.373,8,21,.381,11,30,.367,.451,12,17,.706,9,22,31,5,5,2,16,15
13,2016-01-02,"",Notre Dame,REG (Conf),W,77,66,"",28,49,.571,4,11,.364,24,38,.632,.612,17,24,.708,7,20,27,17,4,4,7,12,27,56,.482,7,22,.318,20,34,.588,.545,5,7,.714,8,12,20,8,6,1,7,17
14,2016-01-04,@,Virginia Tech,REG (Conf),L,68,70,"",24,49,.490,9,20,.450,15,29,.517,.582,11,14,.786,10,23,33,15,5,6,16,22,24,51,.471,9,17,.529,15,34,.441,.559,13,22,.591,4,17,21,17,9,2,8,18
15,2016-01-09,@,Georgia Tech,REG (Conf),L,64,68,"",23,57,.404,4,18,.222,19,39,.487,.439,14,22,.636,5,21,26,11,4,2,7,19,24,55,.436,8,15,.533,16,40,.400,.509,12,18,.667,10,29,39,12,3,4,9,17
16,2016-01-12,"",Miami (FL),REG (Conf),W,66,58,"",24,47,.511,2,7,.286,22,40,.550,.532,16,21,.762,8,21,29,12,1,3,9,19,21,50,.420,6,22,.273,15,28,.536,.480,10,17,.588,7,17,24,8,5,1,8,17
17,2016-01-17,@,Florida State,REG (Conf),L,62,69,"",22,56,.393,5,12,.417,17,44,.386,.438,13,15,.867,6,17,23,14,4,1,9,21,21,43,.488,6,13,.462,15,30,.500,.558,21,26,.808,3,25,28,8,5,3,15,17
18,2016-01-19,"",Clemson,REG (Conf),W,69,62,"",25,46,.543,4,7,.571,21,39,.538,.587,15,22,.682,6,26,32,14,3,2,9,11,24,53,.453,8,24,.333,16,29,.552,.528,6,6,1.000,2,18,20,9,5,1,7,18
19,2016-01-24,"",Syracuse,REG (Conf),W,73,65,"",25,44,.568,8,18,.444,17,26,.654,.659,15,21,.714,4,23,27,18,7,1,13,12,21,54,.389,13,30,.433,8,24,.333,.509,10,15,.667,7,15,22,8,7,0,11,18
