Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2016-11-11,"",Brown,REG (Non-Conf),W,84,55,"",33,57,.579,6,22,.273,27,35,.771,.632,12,20,.600,12,31,43,23,10,9,12,16,18,57,.316,10,25,.400,8,32,.250,.404,9,14,.643,9,12,21,10,3,1,14,21
2,2016-11-14,"",Albany (NY),REG (Non-Conf),W,74,51,"",28,61,.459,5,21,.238,23,40,.575,.500,13,20,.650,12,19,31,16,13,6,10,21,20,48,.417,2,14,.143,18,34,.529,.438,9,14,.643,11,21,32,8,4,1,22,19
3,2016-11-19,N,Rhode Island,REG (Non-Conf),L,71,76,"",23,53,.434,8,20,.400,15,33,.455,.509,17,23,.739,12,16,28,8,4,5,11,18,26,59,.441,8,21,.381,18,38,.474,.508,16,20,.800,12,20,32,17,5,4,10,21
4,2016-11-20,N,Penn State,REG (Non-Conf),W,71,50,"",30,60,.500,6,16,.375,24,44,.545,.550,5,10,.500,9,27,36,12,10,1,14,16,17,47,.362,5,20,.250,12,27,.444,.415,11,12,.917,2,20,22,5,4,4,18,15
5,2016-11-23,"",Samford,REG (Non-Conf),W,70,55,"",27,63,.429,4,20,.200,23,43,.535,.460,12,20,.600,18,22,40,12,9,10,10,13,19,58,.328,8,27,.296,11,31,.355,.397,9,11,.818,11,19,30,9,2,1,14,14
6,2016-11-26,"",Lipscomb,REG (Non-Conf),W,91,68,"",31,59,.525,8,17,.471,23,42,.548,.593,21,29,.724,7,24,31,20,8,8,11,14,28,66,.424,7,27,.259,21,39,.538,.477,5,6,.833,10,24,34,14,3,4,18,22
7,2016-12-01,@,Iowa State,REG (Non-Conf),W,55,54,OT,22,62,.355,3,21,.143,19,41,.463,.379,8,10,.800,15,30,45,9,4,5,12,13,22,60,.367,5,21,.238,17,39,.436,.408,5,11,.455,10,21,31,5,6,3,6,13
8,2016-12-04,"",Bowling Green,REG (Non-Conf),W,85,56,"",34,61,.557,6,15,.400,28,46,.609,.607,11,14,.786,10,26,36,18,6,7,8,14,21,57,.368,6,17,.353,15,40,.375,.421,8,12,.667,6,18,24,10,2,0,9,14
9,2016-12-10,@,Butler,REG (Non-Conf),L,65,75,"",26,65,.400,6,26,.231,20,39,.513,.446,7,13,.538,10,23,33,8,4,1,8,19,23,54,.426,8,20,.400,15,34,.441,.500,21,26,.808,5,27,32,13,1,4,6,15
10,2016-12-13,"",Texas Southern,REG (Non-Conf),W,96,58,"",40,71,.563,6,17,.353,34,54,.630,.606,10,17,.588,9,32,41,26,8,4,2,12,21,69,.304,5,23,.217,16,46,.348,.341,11,14,.786,10,19,29,13,0,3,10,12
11,2016-12-17,"",Fairleigh Dickinson,REG (Non-Conf),W,119,68,"",44,68,.647,12,25,.480,32,43,.744,.735,19,29,.655,12,29,41,29,13,4,12,19,20,63,.317,8,20,.400,12,43,.279,.381,20,22,.909,11,15,26,15,5,2,22,21
12,2016-12-22,"",Marshall,REG (Non-Conf),W,93,91,OT,38,75,.507,7,16,.438,31,59,.525,.553,10,23,.435,11,28,39,21,9,8,11,12,31,71,.437,17,30,.567,14,41,.341,.556,12,12,1.000,8,25,33,18,6,2,14,16
13,2016-12-28,@,Temple,REG (Conf),W,56,50,"",19,58,.328,5,18,.278,14,40,.350,.371,13,20,.650,13,27,40,7,8,6,15,15,16,60,.267,5,26,.192,11,34,.324,.308,13,19,.684,10,26,36,8,5,2,15,18
