Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2016-11-11,"",Austin Peay,REG (Non-Conf),W,96,68,"",37,68,.544,13,32,.406,24,36,.667,.640,9,15,.600,10,27,37,19,7,4,9,22,22,56,.393,7,22,.318,15,34,.441,.455,17,23,.739,8,25,33,10,1,1,15,16
2,2016-11-15,@,Alabama,REG (Non-Conf),W,77,72,"",24,44,.545,9,18,.500,15,26,.577,.648,20,33,.606,4,22,26,11,5,1,11,23,23,59,.390,6,23,.261,17,36,.472,.441,20,30,.667,12,19,31,11,4,3,10,25
3,2016-11-19,"",St. Mary's (CA),REG (Non-Conf),L,57,61,"",16,47,.340,6,22,.273,10,25,.400,.404,19,24,.792,8,22,30,5,6,2,12,18,20,53,.377,8,26,.308,12,27,.444,.453,13,16,.813,12,25,37,16,3,2,12,19
4,2016-11-24,N,Nebraska,REG (Non-Conf),L,78,80,"",24,63,.381,10,24,.417,14,39,.359,.460,20,28,.714,14,19,33,12,5,2,11,22,29,51,.569,6,16,.375,23,35,.657,.627,16,24,.667,6,23,29,11,5,5,14,22
5,2016-11-25,N,Portland,REG (Non-Conf),W,84,74,"",31,56,.554,10,22,.455,21,34,.618,.643,12,17,.706,4,20,24,19,7,6,16,24,22,55,.400,7,18,.389,15,37,.405,.464,23,24,.958,7,22,29,9,6,2,18,17
6,2016-11-27,N,New Mexico,REG (Non-Conf),W,64,57,"",22,54,.407,6,22,.273,16,32,.500,.463,14,21,.667,6,26,32,14,7,3,9,16,20,49,.408,7,14,.500,13,35,.371,.480,10,13,.769,3,26,29,11,3,2,16,20
7,2016-12-03,"",Winthrop,REG (Non-Conf),W,83,67,"",32,62,.516,4,14,.286,28,48,.583,.548,15,25,.600,10,31,41,13,8,4,14,16,24,58,.414,8,28,.286,16,30,.533,.483,11,14,.786,4,19,23,10,5,6,15,20
8,2016-12-06,"","",REG (Non-Conf),W,91,59,"",33,60,.550,7,18,.389,26,42,.619,.608,18,29,.621,9,22,31,17,21,11,13,14,22,55,.400,8,21,.381,14,34,.412,.473,7,14,.500,12,16,28,12,6,1,29,19
9,2016-12-10,"",East Tennessee State,REG (Non-Conf),W,75,61,"",30,60,.500,3,18,.167,27,42,.643,.525,12,18,.667,8,31,39,16,7,9,13,15,20,55,.364,7,18,.389,13,37,.351,.427,14,19,.737,3,26,29,15,6,2,16,18
10,2016-12-17,N,Northwestern,REG (Non-Conf),L,64,67,"",18,55,.327,9,25,.360,9,30,.300,.409,19,26,.731,4,24,28,11,11,4,9,24,21,51,.412,8,24,.333,13,27,.481,.490,17,26,.654,5,35,40,14,4,6,14,21
11,2016-12-21,"",Vanderbilt,REG (Non-Conf),W,68,63,"",23,59,.390,7,22,.318,16,37,.432,.449,15,19,.789,7,25,32,17,6,3,9,14,23,65,.354,9,31,.290,14,34,.412,.423,8,8,1.000,13,25,38,13,3,7,13,19
12,2016-12-23,"",VMI,REG (Non-Conf),W,92,56,"",34,56,.607,15,27,.556,19,29,.655,.741,9,13,.692,4,29,33,26,9,2,11,15,18,47,.383,8,24,.333,10,23,.435,.468,12,16,.750,1,18,19,10,4,2,16,16
13,2016-12-30,"",La Salle,REG (Conf),W,66,55,"",24,53,.453,3,22,.136,21,31,.677,.481,15,31,.484,9,22,31,17,10,2,10,13,18,50,.360,9,25,.360,9,25,.360,.450,10,14,.714,7,27,34,12,5,1,20,21
14,2017-01-03,@,St. Bonaventure,REG (Conf),W,90,74,"",29,56,.518,14,23,.609,15,33,.455,.643,18,25,.720,3,27,30,18,6,6,12,24,25,66,.379,7,22,.318,18,44,.409,.432,17,27,.630,9,22,31,12,5,6,9,19
15,2017-01-06,"",Rhode Island,REG (Conf),W,67,64,"",23,49,.469,4,12,.333,19,37,.514,.510,17,26,.654,4,22,26,13,9,2,11,18,22,50,.440,10,21,.476,12,29,.414,.540,10,14,.714,8,20,28,19,2,5,17,20
16,2017-01-11,@,Massachusetts,REG (Conf),L,55,67,"",18,57,.316,6,20,.300,12,37,.324,.368,13,22,.591,7,29,36,13,14,6,19,20,25,61,.410,6,21,.286,19,40,.475,.459,11,23,.478,6,34,40,16,8,7,17,20
17,2017-01-14,@,Duquesne,REG (Conf),W,76,57,"",25,58,.431,8,24,.333,17,34,.500,.500,18,27,.667,11,25,36,15,12,2,13,22,23,52,.442,3,21,.143,20,31,.645,.471,8,17,.471,6,24,30,11,6,1,22,21
18,2017-01-19,"",Richmond,REG (Conf),W,75,59,"",23,47,.489,8,21,.381,15,26,.577,.574,21,26,.808,4,27,31,10,9,2,14,14,23,55,.418,2,20,.100,21,35,.600,.436,11,15,.733,6,23,29,13,4,1,13,21
19,2017-01-22,"",Saint Louis,REG (Conf),W,67,46,"",20,47,.426,10,24,.417,10,23,.435,.532,17,21,.810,4,27,31,15,6,7,10,19,15,50,.300,3,19,.158,12,31,.387,.330,13,17,.765,7,23,30,8,4,2,14,20
20,2017-01-27,@,VCU,REG (Conf),L,68,73,"",26,54,.481,5,16,.313,21,38,.553,.528,11,16,.688,8,14,22,15,4,5,12,21,26,58,.448,2,15,.133,24,43,.558,.466,19,26,.731,17,22,39,13,2,3,11,22
21,2017-01-31,@,Fordham,REG (Conf),W,75,66,"",23,44,.523,6,17,.353,17,27,.630,.591,23,27,.852,7,23,30,18,5,4,15,15,25,58,.431,11,25,.440,14,33,.424,.526,5,9,.556,7,14,21,18,7,3,10,21
22,2017-02-04,"",Duquesne,REG (Conf),W,90,53,"",37,63,.587,11,24,.458,26,39,.667,.675,5,10,.500,12,28,40,30,6,7,13,11,20,55,.364,6,21,.286,14,34,.412,.418,7,8,.875,6,17,23,6,4,3,15,11
23,2017-02-07,"",Saint Joseph's,REG (Conf),W,77,70,"",26,60,.433,10,27,.370,16,33,.485,.517,15,18,.833,8,23,31,14,4,2,10,14,25,58,.431,8,26,.308,17,32,.531,.500,12,13,.923,9,22,31,14,2,3,9,14
24,2017-02-10,@,Rhode Island,REG (Conf),W,75,74,"",23,56,.411,8,18,.444,15,38,.395,.482,21,29,.724,9,20,29,11,9,5,10,26,23,51,.451,7,18,.389,16,33,.485,.520,21,32,.656,7,23,30,10,5,8,10,19
25,2017-02-14,@,Saint Louis,REG (Conf),W,85,63,"",28,49,.571,9,18,.500,19,31,.613,.663,20,25,.800,5,22,27,26,10,3,11,18,21,55,.382,8,20,.400,13,35,.371,.455,13,19,.684,10,16,26,15,7,1,14,21
26,2017-02-18,"",St. Bonaventure,REG (Conf),W,76,72,"",21,48,.438,6,14,.429,15,34,.441,.500,28,39,.718,3,23,26,14,5,4,12,19,22,52,.423,7,17,.412,15,35,.429,.490,21,27,.778,5,26,31,13,3,6,13,30
27,2017-02-21,"",George Mason,REG (Conf),W,83,70,"",28,63,.444,10,25,.400,18,38,.474,.524,17,24,.708,7,26,33,17,8,9,5,19,25,61,.410,8,23,.348,17,38,.447,.475,12,19,.632,12,30,42,13,2,1,17,19
28,2017-02-24,@,Davidson,REG (Conf),W,89,82,OT,24,50,.480,10,22,.455,14,28,.500,.580,31,45,.689,10,31,41,14,13,3,18,21,31,63,.492,9,29,.310,22,34,.647,.563,11,19,.579,5,24,29,17,7,4,16,28
29,2017-03-01,"",VCU,REG (Conf),W,79,72,"",26,48,.542,6,15,.400,20,33,.606,.604,21,28,.750,4,25,29,15,4,2,13,24,27,63,.429,2,15,.133,25,48,.521,.444,16,24,.667,15,19,34,15,6,5,11,21
30,2017-03-04,@,George Washington,REG (Conf),L,81,87,"",28,58,.483,8,20,.400,20,38,.526,.552,17,31,.548,10,20,30,18,7,2,12,24,27,57,.474,13,26,.500,14,31,.452,.588,20,28,.714,10,23,33,14,9,4,10,21
31,2017-03-10,N,Davidson,CTOURN,L,67,73,"",26,61,.426,10,23,.435,16,38,.421,.508,5,10,.500,5,24,29,16,3,1,6,13,25,55,.455,11,30,.367,14,25,.560,.555,12,13,.923,4,31,35,12,1,5,11,13
