Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2016-11-12,N,Cleveland State,REG (Non-Conf),W,79,74,OT,27,65,.415,6,25,.240,21,40,.525,.462,19,28,.679,14,22,36,10,7,3,13,23,21,49,.429,12,30,.400,9,19,.474,.551,20,29,.690,8,15,23,15,4,4,16,25
2,2016-11-16,"",Mississippi Valley State,REG (Non-Conf),W,93,63,"",33,74,.446,12,30,.400,21,44,.477,.527,15,20,.750,21,29,50,22,9,5,13,20,20,52,.385,7,12,.583,13,40,.325,.452,16,23,.696,2,16,18,12,3,4,15,20
3,2016-11-18,"","",REG (Non-Conf),W,111,55,"",38,79,.481,11,27,.407,27,52,.519,.551,24,32,.750,23,28,51,22,14,10,15,13,23,69,.333,7,30,.233,16,39,.410,.384,2,2,1.000,8,16,24,12,9,2,26,30
4,2016-11-21,N,South Dakota,REG (Non-Conf),L,77,80,"",26,68,.382,6,22,.273,20,46,.435,.426,19,25,.760,11,22,33,9,8,5,9,19,27,64,.422,8,22,.364,19,42,.452,.484,18,24,.750,13,30,43,16,2,2,16,23
5,2016-11-22,N,George Mason,REG (Non-Conf),L,75,79,"",26,59,.441,7,23,.304,19,36,.528,.500,16,22,.727,13,19,32,11,6,4,11,15,31,65,.477,7,16,.438,24,49,.490,.531,10,14,.714,14,20,34,15,8,0,13,18
6,2016-11-23,N,Wofford,REG (Non-Conf),W,66,59,"",20,57,.351,5,19,.263,15,38,.395,.395,21,29,.724,10,26,36,8,7,1,5,11,21,56,.375,13,31,.419,8,25,.320,.491,4,5,.800,4,25,29,17,5,1,12,20
7,2016-11-27,@,Northeastern,REG (Non-Conf),L,70,73,"",25,54,.463,6,18,.333,19,36,.528,.519,14,18,.778,8,20,28,11,6,2,14,26,23,47,.489,6,17,.353,17,30,.567,.553,21,32,.656,5,22,27,13,7,2,16,16
8,2016-12-02,"",Grambling State,REG (Non-Conf),W,86,57,"",34,65,.523,10,24,.417,24,41,.585,.600,8,15,.533,14,38,52,19,1,7,16,14,25,81,.309,6,23,.261,19,58,.328,.346,1,6,.167,15,15,30,12,9,2,6,17
9,2016-12-07,"",Niagara,REG (Non-Conf),W,100,72,"",39,78,.500,10,23,.435,29,55,.527,.564,12,13,.923,14,28,42,17,3,5,4,26,22,61,.361,5,12,.417,17,49,.347,.402,23,33,.697,12,22,34,8,1,3,9,19
10,2016-12-10,"",NJIT,REG (Non-Conf),W,87,71,"",32,64,.500,10,23,.435,22,41,.537,.578,13,13,1.000,13,22,35,17,5,3,21,20,26,66,.394,6,29,.207,20,37,.541,.439,13,19,.684,14,15,29,12,10,1,18,14
11,2016-12-18,"",Wright State,REG (Non-Conf),L,63,68,"",22,64,.344,6,26,.231,16,38,.421,.391,13,19,.684,14,22,36,6,6,5,12,12,25,56,.446,12,25,.480,13,31,.419,.554,6,8,.750,9,27,36,14,7,1,17,19
12,2016-12-21,@,Oregon State,REG (Non-Conf),L,50,69,"",21,76,.276,1,24,.042,20,52,.385,.283,7,18,.389,30,14,44,10,14,1,16,19,25,46,.543,8,15,.533,17,31,.548,.630,11,17,.647,9,26,35,16,8,6,24,19
13,2016-12-27,@,Texas,REG (Non-Conf),W,63,58,"",26,69,.377,3,17,.176,23,52,.442,.399,8,13,.615,20,27,47,10,8,2,21,23,21,58,.362,2,18,.111,19,40,.475,.379,14,24,.583,11,21,32,7,10,6,18,19
14,2017-01-03,"",Ball State,REG (Conf),W,100,90,"",30,72,.417,9,19,.474,21,53,.396,.479,31,31,1.000,16,21,37,12,6,1,13,22,30,63,.476,8,23,.348,22,40,.550,.540,22,26,.846,11,17,28,19,7,2,16,26
15,2017-01-06,@,Ohio,REG (Conf),L,67,85,"",26,71,.366,7,24,.292,19,47,.404,.415,8,18,.444,20,25,45,11,8,3,21,20,31,58,.534,9,28,.321,22,30,.733,.612,14,23,.609,6,26,32,20,15,3,18,19
16,2017-01-10,"",Northern Illinois,REG (Conf),L,70,74,OT,24,60,.400,10,23,.435,14,37,.378,.483,12,13,.923,10,21,31,15,7,6,23,25,25,67,.373,3,14,.214,22,53,.415,.396,21,31,.677,17,21,38,9,11,1,18,20
17,2017-01-14,@,Western Michigan,REG (Conf),L,88,92,"",33,53,.623,9,18,.500,24,35,.686,.708,13,17,.765,4,22,26,16,4,2,13,17,34,63,.540,9,19,.474,25,44,.568,.611,15,23,.652,9,12,21,20,6,2,8,12
18,2017-01-17,"",Buffalo,REG (Conf),L,69,82,"",26,64,.406,5,17,.294,21,47,.447,.445,12,24,.500,15,26,41,9,4,2,19,20,32,65,.492,8,24,.333,24,41,.585,.554,10,21,.476,10,26,36,16,8,4,12,21
19,2017-01-21,"",Toledo,REG (Conf),W,85,61,"",34,59,.576,6,17,.353,28,42,.667,.627,11,16,.688,8,24,32,14,5,7,7,23,18,49,.367,5,22,.227,13,27,.481,.418,20,27,.741,5,15,20,13,1,1,10,17
20,2017-01-24,@,Northern Illinois,REG (Conf),W,73,66,"",25,56,.446,9,21,.429,16,35,.457,.527,14,22,.636,11,26,37,12,5,6,13,20,24,52,.462,5,15,.333,19,37,.514,.510,13,21,.619,7,20,27,10,4,2,11,19
21,2017-01-28,"",Central Michigan,REG (Conf),L,98,105,OT,34,76,.447,8,36,.222,26,40,.650,.500,22,30,.733,17,23,40,17,5,1,12,22,34,70,.486,14,36,.389,20,34,.588,.586,23,28,.821,9,24,33,11,4,0,14,21
22,2017-01-31,@,Eastern Michigan,REG (Conf),W,70,64,"",20,57,.351,3,14,.214,17,43,.395,.377,27,36,.750,23,22,45,8,8,3,22,24,21,57,.368,6,15,.400,15,42,.357,.421,16,24,.667,15,15,30,14,11,7,17,30
23,2017-02-04,@,Miami (OH),REG (Conf),W,66,62,"",23,63,.365,8,25,.320,15,38,.395,.429,12,23,.522,14,22,36,11,10,7,14,20,20,53,.377,4,14,.286,16,39,.410,.415,18,22,.818,11,27,38,9,5,7,18,19
24,2017-02-07,"",Bowling Green,REG (Conf),L,83,84,OT,30,64,.469,8,21,.381,22,43,.512,.531,15,18,.833,11,31,42,13,4,7,19,22,30,69,.435,11,28,.393,19,41,.463,.514,13,21,.619,8,20,28,16,8,2,12,18
25,2017-02-11,@,Toledo,REG (Conf),L,58,78,"",24,59,.407,5,21,.238,19,38,.500,.449,5,5,1.000,10,11,21,14,7,2,12,14,30,46,.652,8,18,.444,22,28,.786,.739,10,11,.909,4,21,25,24,6,2,15,10
26,2017-02-14,"",Miami (OH),REG (Conf),W,76,72,"",26,63,.413,6,24,.250,20,39,.513,.460,18,20,.900,12,18,30,12,10,3,10,19,26,56,.464,5,16,.313,21,40,.525,.509,15,18,.833,10,26,36,13,4,3,14,20
27,2017-02-17,@,Akron,REG (Conf),W,70,67,"",25,58,.431,7,19,.368,18,39,.462,.491,13,21,.619,7,24,31,11,6,3,5,21,22,53,.415,5,22,.227,17,31,.548,.462,18,23,.783,8,24,32,13,3,0,9,18
28,2017-02-21,@,Buffalo,REG (Conf),W,77,69,"",28,62,.452,6,23,.261,22,39,.564,.500,15,22,.682,7,28,35,10,8,4,11,21,25,61,.410,5,21,.238,20,40,.500,.451,14,18,.778,7,29,36,11,7,1,14,24
29,2017-02-25,"",Ohio,REG (Conf),W,70,67,"",22,60,.367,5,27,.185,17,33,.515,.408,21,27,.778,10,34,44,11,3,3,10,12,28,70,.400,6,19,.316,22,51,.431,.443,5,7,.714,7,25,32,10,8,1,8,21
30,2017-02-28,@,Bowling Green,REG (Conf),W,74,67,"",28,60,.467,9,24,.375,19,36,.528,.542,9,12,.750,6,26,32,14,6,3,8,15,25,58,.431,5,19,.263,20,39,.513,.474,12,17,.706,8,27,35,11,3,1,11,15
31,2017-03-03,"",Akron,REG (Conf),L,56,66,"",20,60,.333,3,22,.136,17,38,.447,.358,13,20,.650,14,21,35,9,6,2,10,18,25,61,.410,8,23,.348,17,38,.447,.475,8,12,.667,15,22,37,9,6,4,12,19
32,2017-03-06,"",Central Michigan,CTOURN,W,116,106,OT,40,84,.476,16,31,.516,24,53,.453,.571,20,27,.741,18,28,46,21,5,3,5,15,36,77,.468,18,37,.486,18,40,.450,.584,16,17,.941,7,21,28,11,4,1,11,22
33,2017-03-09,N,Buffalo,CTOURN,W,68,65,"",18,51,.353,3,13,.231,15,38,.395,.382,29,41,.707,11,25,36,4,5,5,12,26,18,51,.353,5,15,.333,13,36,.361,.402,24,34,.706,11,26,37,7,1,2,13,30
34,2017-03-10,N,Ohio,CTOURN,W,68,66,"",24,58,.414,9,27,.333,15,31,.484,.491,11,17,.647,9,27,36,12,6,4,14,17,24,54,.444,6,17,.353,18,37,.486,.500,12,17,.706,3,24,27,8,4,2,12,19
35,2017-03-11,N,Akron,CTOURN,W,70,65,"",26,49,.531,4,14,.286,22,35,.629,.571,14,18,.778,5,23,28,11,5,4,6,13,26,57,.456,6,22,.273,20,35,.571,.509,7,13,.538,8,17,25,15,3,1,10,14
