Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2016-11-11,"",Evansville,REG (Non-Conf),W,78,47,"",30,63,.476,3,15,.200,27,48,.563,.500,15,27,.556,18,33,51,15,10,10,12,17,16,57,.281,4,15,.267,12,42,.286,.316,11,20,.550,10,18,28,6,7,2,12,18
2,2016-11-14,"",William & Mary,REG (Non-Conf),W,91,58,"",33,72,.458,10,28,.357,23,44,.523,.528,15,25,.600,16,32,48,21,10,11,9,23,19,61,.311,6,29,.207,13,32,.406,.361,14,27,.519,8,27,35,11,2,3,16,21
3,2016-11-17,"",Long Beach State,REG (Non-Conf),W,88,56,"",34,76,.447,7,20,.350,27,56,.482,.493,13,18,.722,21,30,51,20,9,9,10,14,18,61,.295,6,18,.333,12,43,.279,.344,14,17,.824,12,23,35,6,8,3,19,20
4,2016-11-23,N,Old Dominion,REG (Non-Conf),W,68,62,OT,19,64,.297,8,20,.400,11,44,.250,.359,22,35,.629,13,28,41,12,10,3,14,27,22,58,.379,3,16,.188,19,42,.452,.405,15,32,.469,11,33,44,12,5,6,20,28
5,2016-11-24,N,Wichita State,REG (Non-Conf),W,62,52,"",19,52,.365,7,24,.292,12,28,.429,.433,17,23,.739,10,32,42,13,4,8,14,22,18,57,.316,6,22,.273,12,35,.343,.368,10,18,.556,11,21,32,12,4,0,12,17
6,2016-11-25,N,Baylor,REG (Non-Conf),L,63,66,"",25,64,.391,5,18,.278,20,46,.435,.430,8,10,.800,14,20,34,11,4,3,7,19,26,49,.531,2,13,.154,24,36,.667,.551,12,17,.706,5,22,27,17,5,6,9,12
7,2016-11-30,"",Purdue,REG (Non-Conf),W,71,64,"",28,58,.483,4,13,.308,24,45,.533,.517,11,17,.647,8,28,36,11,6,3,12,19,19,53,.358,10,23,.435,9,30,.300,.453,16,22,.727,9,25,34,13,6,1,17,19
8,2016-12-03,@,Grand Canyon,REG (Non-Conf),W,79,70,"",29,61,.475,5,15,.333,24,46,.522,.516,16,19,.842,12,21,33,15,5,4,10,19,23,49,.469,6,12,.500,17,37,.459,.531,18,24,.750,4,17,21,7,2,3,13,20
9,2016-12-07,"",Southern Illinois,REG (Non-Conf),W,74,51,"",27,59,.458,4,17,.235,23,42,.548,.492,16,26,.615,12,29,41,13,8,9,12,14,19,54,.352,5,24,.208,14,30,.467,.398,8,11,.727,5,25,30,8,7,3,16,20
10,2016-12-10,"",Texas Southern,REG (Non-Conf),W,102,71,"",34,78,.436,11,31,.355,23,47,.489,.506,23,30,.767,27,23,50,14,10,6,9,17,26,74,.351,8,26,.308,18,48,.375,.405,11,20,.550,27,19,46,12,4,2,19,24
11,2016-12-17,"",Eastern Kentucky,REG (Non-Conf),W,87,56,"",30,62,.484,10,24,.417,20,38,.526,.565,17,21,.810,14,33,47,19,7,14,16,16,21,59,.356,6,18,.333,15,41,.366,.407,8,15,.533,7,20,27,12,8,3,16,17
12,2016-12-21,"",Kentucky,REG (Non-Conf),W,73,70,"",26,60,.433,6,14,.429,20,46,.435,.483,15,20,.750,12,28,40,10,4,5,14,23,23,58,.397,5,22,.227,18,36,.500,.440,19,29,.655,11,25,36,10,7,4,12,20
