Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2016-11-11,N,Tulane,REG (Non-Conf),W,95,75,"",34,69,.493,9,20,.450,25,49,.510,.558,18,25,.720,16,32,48,23,7,2,13,20,25,72,.347,12,30,.400,13,42,.310,.431,13,19,.684,13,20,33,12,5,4,11,21
2,2016-11-13,"",Chattanooga,REG (Non-Conf),W,97,57,"",34,70,.486,7,15,.467,27,55,.491,.536,22,32,.688,21,26,47,26,14,4,15,13,22,63,.349,7,27,.259,15,36,.417,.405,6,9,.667,12,15,27,11,7,4,26,25
3,2016-11-15,"",Long Beach State,REG (Non-Conf),W,93,67,"",32,60,.533,5,15,.333,27,45,.600,.575,24,35,.686,14,30,44,20,5,0,13,18,24,66,.364,6,26,.231,18,40,.450,.409,13,19,.684,12,21,33,13,6,1,13,28
4,2016-11-18,@,Hawaii,REG (Non-Conf),W,83,68,"",32,67,.478,8,21,.381,24,46,.522,.537,11,15,.733,17,26,43,19,5,1,16,20,26,60,.433,7,22,.318,19,38,.500,.492,9,11,.818,4,14,18,12,7,2,13,15
5,2016-11-21,N,"",REG (Non-Conf),W,104,61,"",37,64,.578,7,20,.350,30,44,.682,.633,23,34,.676,15,32,47,18,12,4,13,15,21,58,.362,10,28,.357,11,30,.367,.448,9,14,.643,3,16,19,7,6,1,17,22
6,2016-11-22,N,Oklahoma State,REG (Non-Conf),W,107,75,"",37,64,.578,8,17,.471,29,47,.617,.641,25,29,.862,15,27,42,16,8,3,16,22,26,72,.361,6,22,.273,20,50,.400,.403,17,23,.739,17,11,28,5,9,4,14,26
7,2016-11-23,N,Wisconsin,REG (Non-Conf),W,71,56,"",28,57,.491,3,12,.250,25,45,.556,.518,12,12,1.000,5,29,34,10,3,3,12,13,21,55,.382,8,22,.364,13,33,.394,.455,6,10,.600,4,21,25,12,8,5,10,12
8,2016-11-30,@,Indiana,REG (Non-Conf),L,67,76,"",24,61,.393,6,21,.286,18,40,.450,.443,13,22,.591,12,21,33,16,5,5,12,21,25,52,.481,8,21,.381,17,31,.548,.558,18,27,.667,7,29,36,12,7,6,13,22
9,2016-12-04,"",Radford,REG (Non-Conf),W,95,50,"",34,65,.523,9,20,.450,25,45,.556,.592,18,29,.621,14,36,50,21,11,4,13,11,19,62,.306,6,25,.240,13,37,.351,.355,6,10,.600,7,21,28,9,8,2,18,23
10,2016-12-07,"",Davidson,REG (Non-Conf),W,83,74,"",23,61,.377,10,24,.417,13,37,.351,.459,27,34,.794,13,25,38,18,10,3,15,19,24,59,.407,8,29,.276,16,30,.533,.475,18,21,.857,7,20,27,10,4,3,17,25
11,2016-12-11,"",Tennessee,REG (Non-Conf),W,73,71,"",29,73,.397,2,17,.118,27,56,.482,.411,13,24,.542,19,18,37,14,7,4,10,16,28,54,.519,3,13,.231,25,41,.610,.546,12,15,.800,6,22,28,11,5,6,16,22
12,2016-12-17,N,Kentucky,REG (Non-Conf),L,100,103,"",35,66,.530,9,17,.529,26,49,.531,.598,21,28,.750,7,24,31,18,4,5,9,21,40,74,.541,10,18,.556,30,56,.536,.608,13,21,.619,12,20,32,19,4,2,9,20
13,2016-12-21,"",Northern Iowa,REG (Non-Conf),W,85,42,"",34,65,.523,7,19,.368,27,46,.587,.577,10,16,.625,11,30,41,20,12,2,4,14,16,48,.333,6,24,.250,10,24,.417,.396,4,8,.500,3,17,20,6,3,2,17,15
14,2016-12-28,"",Monmouth,REG (Non-Conf),W,102,74,"",31,72,.431,7,20,.350,24,52,.462,.479,33,46,.717,19,33,52,22,4,4,17,25,23,70,.329,9,28,.321,14,42,.333,.393,19,26,.731,11,24,35,7,7,8,15,30
15,2016-12-31,@,Georgia Tech,REG (Conf),L,63,75,"",24,72,.333,5,26,.192,19,46,.413,.368,10,14,.714,19,24,43,13,10,6,20,22,22,53,.415,3,11,.273,19,42,.452,.443,28,33,.848,7,27,34,16,15,5,15,18
16,2017-01-03,@,Clemson,REG (Conf),W,89,86,OT,35,78,.449,10,24,.417,25,54,.463,.513,9,12,.750,20,27,47,17,9,4,18,19,31,68,.456,11,28,.393,20,40,.500,.537,13,19,.684,10,19,29,12,10,9,12,16
17,2017-01-08,"",NC State,REG (Conf),W,107,56,"",39,79,.494,12,27,.444,27,52,.519,.570,17,25,.680,17,33,50,21,17,1,12,13,23,63,.365,7,23,.304,16,40,.400,.421,3,11,.273,10,25,35,8,7,3,24,18
18,2017-01-11,@,Wake Forest,REG (Conf),W,93,87,"",33,64,.516,8,18,.444,25,46,.543,.578,19,24,.792,10,28,38,22,8,7,10,23,28,65,.431,11,27,.407,17,38,.447,.515,20,28,.714,10,19,29,13,5,9,11,20
19,2017-01-14,"",Florida State,REG (Conf),W,96,83,"",31,73,.425,8,18,.444,23,55,.418,.479,26,37,.703,19,32,51,12,8,0,14,22,31,67,.463,9,28,.321,22,39,.564,.530,12,26,.462,9,25,34,15,8,5,15,27
20,2017-01-16,"",Syracuse,REG (Conf),W,85,68,"",35,68,.515,7,24,.292,28,44,.636,.566,8,15,.533,16,25,41,22,6,2,9,13,26,59,.441,10,24,.417,16,35,.457,.525,6,7,.857,6,17,23,14,8,4,13,13
21,2017-01-21,@,Boston College,REG (Conf),W,90,82,"",30,64,.469,6,14,.429,24,50,.480,.516,24,29,.828,12,27,39,17,7,5,12,11,32,68,.471,12,27,.444,20,41,.488,.559,6,7,.857,8,20,28,15,4,5,15,19
22,2017-01-26,"",Virginia Tech,REG (Conf),W,91,72,"",36,73,.493,14,30,.467,22,43,.512,.589,5,9,.556,18,23,41,25,3,5,7,16,26,51,.510,9,25,.360,17,26,.654,.598,11,18,.611,2,15,17,14,4,3,10,13
