Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2017-11-10,"",Norfolk State,REG (Non-Conf),W,102,74,"",35,63,.556,8,22,.364,27,41,.659,.619,24,30,.800,7,30,37,17,8,9,16,21,21,61,.344,12,34,.353,9,27,.333,.443,20,27,.741,7,19,26,15,11,3,16,26
2,2017-11-16,N,Indiana State,REG (Non-Conf),W,83,64,"",27,64,.422,6,20,.300,21,44,.477,.469,23,31,.742,11,32,43,16,9,9,15,28,17,56,.304,6,20,.300,11,36,.306,.357,24,30,.800,7,23,30,12,7,4,21,21
3,2017-11-17,N,Temple,REG (Non-Conf),L,74,88,"",27,75,.360,8,33,.242,19,42,.452,.413,12,17,.706,18,22,40,15,5,5,9,16,30,61,.492,10,26,.385,20,35,.571,.574,18,22,.818,6,27,33,16,4,3,11,18
4,2017-11-19,N,Hofstra,REG (Non-Conf),W,89,78,"",32,54,.593,9,19,.474,23,35,.657,.676,16,21,.762,9,21,30,11,8,6,16,19,29,56,.518,11,28,.393,18,28,.643,.616,9,18,.500,8,14,22,15,6,0,13,18
5,2017-11-24,"",Winthrop,REG (Non-Conf),W,119,85,"",42,68,.618,14,25,.560,28,43,.651,.721,21,28,.750,9,30,39,22,9,2,13,24,29,67,.433,13,31,.419,16,36,.444,.530,14,23,.609,12,15,27,15,5,4,16,23
6,2017-11-29,@,Dayton,REG (Non-Conf),W,73,60,"",22,57,.386,10,25,.400,12,32,.375,.474,19,24,.792,13,25,38,12,6,5,11,22,17,47,.362,6,20,.300,11,27,.407,.426,20,27,.741,8,22,30,10,5,2,19,23
7,2017-12-03,"",George Mason,REG (Non-Conf),W,79,63,"",25,61,.410,10,30,.333,15,31,.484,.492,19,24,.792,15,30,45,15,6,7,18,14,21,60,.350,12,26,.462,9,34,.265,.450,9,10,.900,6,21,27,15,11,2,19,21
8,2017-12-06,"",Gardner-Webb,REG (Non-Conf),W,80,55,"",29,70,.414,13,32,.406,16,38,.421,.507,9,15,.600,22,27,49,19,12,10,15,13,20,56,.357,6,22,.273,14,34,.412,.411,9,14,.643,6,19,25,9,11,4,16,13
9,2017-12-09,"",UAB,REG (Non-Conf),W,85,80,"",26,60,.433,11,25,.440,15,35,.429,.525,22,28,.786,13,19,32,10,7,2,9,22,25,55,.455,7,20,.350,18,35,.514,.518,23,26,.885,8,22,30,14,4,3,9,19
10,2017-12-16,N,Middle Tennessee,REG (Non-Conf),W,76,70,"",25,51,.490,6,22,.273,19,29,.655,.549,20,26,.769,6,25,31,18,8,6,20,20,21,50,.420,11,22,.500,10,28,.357,.530,17,25,.680,7,21,28,13,15,1,23,25
11,2017-12-19,@,Murray State,REG (Non-Conf),W,81,77,"",27,64,.422,12,27,.444,15,37,.405,.516,15,17,.882,11,28,39,11,3,10,12,20,26,69,.377,9,24,.375,17,45,.378,.442,16,23,.696,18,26,44,13,6,5,11,16
12,2017-12-23,"",Connecticut,REG (Non-Conf),W,89,64,"",29,72,.403,12,34,.353,17,38,.447,.486,19,23,.826,15,27,42,18,4,7,8,17,23,67,.343,4,18,.222,19,49,.388,.373,14,18,.778,14,26,40,7,0,4,13,22
