Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2017-11-10,"",Iowa State,REG (Non-Conf),W,74,59,"",27,51,.529,10,23,.435,17,28,.607,.627,10,13,.769,7,30,37,17,8,4,17,18,24,61,.393,6,19,.316,18,42,.429,.443,5,11,.455,7,14,21,11,7,1,13,13
2,2017-11-13,"",Wagner,REG (Non-Conf),W,99,55,"",32,47,.681,12,22,.545,20,25,.800,.809,23,35,.657,7,27,34,17,8,3,15,18,18,55,.327,6,20,.300,12,35,.343,.382,13,19,.684,8,16,24,5,8,2,19,32
3,2017-11-16,@,Utah,REG (Non-Conf),L,59,77,"",18,52,.346,5,27,.185,13,25,.520,.394,18,25,.720,6,28,34,11,2,2,14,19,29,63,.460,9,28,.321,20,35,.571,.532,10,13,.769,6,25,31,14,3,5,5,20
4,2017-11-20,"","",REG (Non-Conf),W,67,62,"",23,58,.397,2,20,.100,21,38,.553,.414,19,34,.559,22,21,43,11,7,7,17,18,22,55,.400,7,20,.350,15,35,.429,.464,11,12,.917,8,20,28,7,10,2,17,33
5,2017-11-23,N,Long Beach State,REG (Non-Conf),W,95,58,"",32,62,.516,10,24,.417,22,38,.579,.597,21,25,.840,8,27,35,22,8,5,11,20,19,54,.352,4,17,.235,15,37,.405,.389,16,22,.727,8,18,26,11,4,5,19,23
6,2017-11-24,N,St. John's (NY),REG (Non-Conf),W,90,82,"",25,54,.463,14,27,.519,11,27,.407,.593,26,32,.813,14,27,41,20,7,6,14,19,27,64,.422,11,25,.440,16,39,.410,.508,17,18,.944,9,15,24,18,4,5,11,26
7,2017-11-26,N,West Virginia,REG (Non-Conf),L,79,83,"",24,56,.429,12,30,.400,12,26,.462,.536,19,26,.731,16,28,44,18,4,8,19,26,22,60,.367,8,26,.308,14,34,.412,.433,31,35,.886,11,18,29,10,13,4,7,21
8,2017-11-30,@,UCF,REG (Non-Conf),W,62,59,"",25,55,.455,8,19,.421,17,36,.472,.527,4,8,.500,11,20,31,15,2,4,8,14,23,52,.442,6,18,.333,17,34,.500,.500,7,12,.583,9,21,30,12,2,2,13,12
9,2017-12-05,"",Miami (OH),REG (Non-Conf),W,70,51,"",25,47,.532,10,23,.435,15,24,.625,.638,10,14,.714,4,33,37,17,5,6,17,12,21,65,.323,5,24,.208,16,41,.390,.362,4,8,.500,8,19,27,6,7,1,10,13
10,2017-12-09,"",Green Bay,REG (Non-Conf),W,100,77,"",38,72,.528,14,35,.400,24,37,.649,.625,10,14,.714,13,24,37,15,5,6,8,16,28,63,.444,11,27,.407,17,36,.472,.532,10,12,.833,8,18,26,12,3,2,14,18
11,2017-12-16,"",North Florida,REG (Non-Conf),W,85,51,"",35,69,.507,10,25,.400,25,44,.568,.580,5,7,.714,11,37,48,19,8,5,12,12,20,65,.308,5,28,.179,15,37,.405,.346,6,8,.750,6,22,28,6,3,3,10,11
12,2017-12-19,"",Stephen F. Austin,REG (Non-Conf),W,82,81,"",24,43,.558,11,22,.500,13,21,.619,.686,23,27,.852,7,18,25,17,10,6,21,20,31,63,.492,6,16,.375,25,47,.532,.540,13,17,.765,12,9,21,12,11,1,12,23
13,2017-12-23,N,Illinois,REG (Non-Conf),L,64,70,"",21,55,.382,5,27,.185,16,28,.571,.427,17,21,.810,12,24,36,7,5,4,21,21,23,59,.390,6,14,.429,17,45,.378,.441,18,27,.667,9,17,26,8,11,3,9,20
14,2018-01-03,@,South Carolina,REG (Conf),W,79,68,"",23,49,.469,14,24,.583,9,25,.360,.612,19,24,.792,6,20,26,15,7,8,13,26,22,57,.386,5,18,.278,17,39,.436,.430,19,26,.731,9,18,27,8,4,8,11,22
15,2018-01-06,"",Florida,REG (Conf),L,75,77,"",23,48,.479,11,19,.579,12,29,.414,.594,18,21,.857,4,25,29,9,4,3,11,20,26,59,.441,8,22,.364,18,37,.486,.508,17,25,.680,11,18,29,13,6,3,6,16
16,2018-01-10,"",Georgia,REG (Conf),W,68,56,"",24,58,.414,5,20,.250,19,38,.500,.457,15,17,.882,12,25,37,10,8,5,6,10,22,59,.373,7,21,.333,15,38,.395,.432,5,5,1.000,7,23,30,8,1,6,12,15
17,2018-01-13,@,Arkansas,REG (Conf),L,63,65,"",21,50,.420,11,29,.379,10,21,.476,.530,10,14,.714,8,20,28,13,5,1,16,22,23,50,.460,5,15,.333,18,35,.514,.510,14,25,.560,10,20,30,13,7,1,13,20
18,2018-01-17,"",Tennessee,REG (Conf),W,59,55,"",20,48,.417,4,18,.222,16,30,.533,.458,15,17,.882,6,22,28,10,4,2,11,13,21,54,.389,5,21,.238,16,33,.485,.435,8,13,.615,10,16,26,9,9,4,9,14
19,2018-01-20,@,Texas A&M,REG (Conf),L,49,60,"",15,54,.278,4,18,.222,11,36,.306,.315,15,20,.750,7,28,35,9,2,3,8,15,25,64,.391,3,17,.176,22,47,.468,.414,7,11,.636,8,35,43,15,2,5,4,18
20,2018-01-24,"",Auburn,REG (Conf),L,73,91,"",22,54,.407,11,30,.367,11,24,.458,.509,18,22,.818,11,25,36,11,4,4,20,19,27,61,.443,14,32,.438,13,29,.448,.557,23,26,.885,7,20,27,15,11,9,8,21
21,2018-01-27,@,Mississippi State,REG (Conf),L,62,74,"",26,57,.456,6,22,.273,20,35,.571,.509,4,8,.500,9,21,30,11,4,3,19,20,29,53,.547,6,16,.375,23,37,.622,.604,10,14,.714,5,20,25,17,10,7,13,11
22,2018-01-31,@,Alabama,REG (Conf),W,69,60,"",25,47,.532,9,23,.391,16,24,.667,.628,10,15,.667,4,27,31,13,3,2,17,25,17,48,.354,5,20,.250,12,28,.429,.406,21,32,.656,6,19,25,6,7,3,10,19
23,2018-02-03,"",Kentucky,REG (Conf),W,69,60,"",19,41,.463,7,23,.304,12,18,.667,.549,24,33,.727,7,26,33,13,3,8,19,20,21,67,.313,2,20,.100,19,47,.404,.328,16,23,.696,15,19,34,9,7,2,12,29
24,2018-02-06,@,Ole Miss,REG (Conf),W,75,69,"",24,53,.453,10,23,.435,14,30,.467,.547,17,20,.850,7,26,33,16,1,7,10,15,26,65,.400,5,17,.294,21,48,.438,.438,12,15,.800,8,21,29,19,8,3,4,19
25,2018-02-10,"",Mississippi State,REG (Conf),W,89,85,OT,27,56,.482,12,26,.462,15,30,.500,.589,23,28,.821,6,23,29,15,6,3,12,18,31,69,.449,11,31,.355,20,38,.526,.529,12,18,.667,12,22,34,12,8,3,11,26
26,2018-02-13,"",Texas A&M,REG (Conf),W,62,58,"",22,56,.393,6,20,.300,16,36,.444,.446,12,18,.667,4,24,28,14,10,3,9,9,24,62,.387,5,23,.217,19,39,.487,.427,5,6,.833,10,31,41,4,4,0,16,17
27,2018-02-17,@,Louisiana State,REG (Conf),L,63,64,"",22,48,.458,12,21,.571,10,27,.370,.583,7,17,.412,5,27,32,10,3,3,11,18,22,57,.386,9,27,.333,13,30,.433,.465,11,13,.846,7,22,29,11,6,3,9,15
28,2018-02-20,"",Ole Miss,REG (Conf),L,87,90,OT,27,61,.443,13,33,.394,14,28,.500,.549,20,31,.645,12,31,43,16,5,5,21,13,33,78,.423,9,24,.375,24,54,.444,.481,15,16,.938,9,23,32,18,13,3,11,24
29,2018-02-24,@,Kentucky,REG (Conf),L,66,87,"",21,58,.362,10,31,.323,11,27,.407,.448,14,22,.636,14,16,30,7,4,1,12,24,28,51,.549,10,16,.625,18,35,.514,.647,21,28,.750,9,26,35,17,5,6,9,19
30,2018-02-27,@,Vanderbilt,REG (Conf),W,74,66,"",26,45,.578,12,22,.545,14,23,.609,.711,10,14,.714,2,24,26,15,6,3,13,11,24,56,.429,13,30,.433,11,26,.423,.545,5,10,.500,8,18,26,11,7,1,12,18
