Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2017-11-10,"",Fairleigh Dickinson,REG (Non-Conf),W,90,68,"",33,66,.500,9,24,.375,24,42,.571,.568,15,23,.652,16,25,41,22,6,2,12,18,24,56,.429,10,24,.417,14,32,.438,.518,10,16,.625,6,16,22,15,6,3,15,20
2,2017-11-12,"",Monmouth,REG (Non-Conf),W,75,65,"",30,70,.429,7,25,.280,23,45,.511,.479,8,16,.500,17,20,37,16,9,1,13,22,18,43,.419,7,16,.438,11,27,.407,.500,22,26,.846,4,25,29,6,4,4,20,20
3,2017-11-15,"",Indiana,REG (Non-Conf),W,84,68,"",28,49,.571,9,17,.529,19,32,.594,.663,19,29,.655,8,21,29,15,7,4,15,19,27,55,.491,6,18,.333,21,37,.568,.545,8,12,.667,7,16,23,11,6,1,18,25
4,2017-11-18,"",NJIT,REG (Non-Conf),W,82,53,"",30,60,.500,7,21,.333,23,39,.590,.558,15,19,.789,11,27,38,19,6,7,11,14,20,54,.370,8,27,.296,12,27,.444,.444,5,10,.500,6,21,27,9,3,0,18,21
5,2017-11-23,N,Rhode Island,REG (Non-Conf),L,74,75,"",30,63,.476,5,12,.417,25,51,.490,.516,9,16,.563,11,24,35,9,6,3,14,16,25,59,.424,9,17,.529,16,42,.381,.500,16,17,.941,6,24,30,11,8,4,11,20
6,2017-11-24,N,Vanderbilt,REG (Non-Conf),W,72,59,"",27,58,.466,4,18,.222,23,40,.575,.500,14,24,.583,7,25,32,10,4,5,8,16,19,56,.339,5,24,.208,14,32,.438,.384,16,18,.889,9,28,37,7,2,2,14,24
7,2017-11-30,N,Texas Tech,REG (Non-Conf),W,89,79,"",30,59,.508,11,20,.550,19,39,.487,.602,18,26,.692,12,18,30,18,7,4,13,18,30,63,.476,6,18,.333,24,45,.533,.524,13,16,.813,10,21,31,15,6,4,14,22
8,2017-12-03,@,Louisville,REG (Non-Conf),W,79,77,"",31,68,.456,6,21,.286,25,47,.532,.500,11,19,.579,13,22,35,10,11,1,12,17,28,57,.491,7,23,.304,21,34,.618,.553,14,19,.737,9,26,35,8,7,7,16,16
9,2017-12-09,"",VCU,REG (Non-Conf),W,90,67,"",35,64,.547,5,14,.357,30,50,.600,.586,15,18,.833,9,28,37,20,6,3,12,20,25,65,.385,6,22,.273,19,43,.442,.431,11,19,.579,13,19,32,13,6,3,14,16
10,2017-12-12,"",Saint Peter's,REG (Non-Conf),W,84,61,"",31,61,.508,5,16,.313,26,45,.578,.549,17,23,.739,13,26,39,19,7,4,13,14,23,58,.397,8,29,.276,15,29,.517,.466,7,9,.778,7,16,23,10,4,5,15,19
