Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2018-11-06,"","",REG (Non-Conf),W,107,54,"",41,66,.621,11,23,.478,30,43,.698,.705,14,21,.667,13,25,38,26,13,6,11,20,18,49,.367,5,12,.417,13,37,.351,.418,13,18,.722,4,13,17,5,2,0,22,0
2,2018-11-09,"",Arkansas State,REG (Non-Conf),W,94,73,"",31,55,.564,8,14,.571,23,41,.561,.636,24,31,.774,11,27,38,17,8,0,18,27,26,59,.441,6,17,.353,20,42,.476,.492,15,24,.625,9,17,26,13,6,2,16,23
3,2018-11-15,@,Denver,REG (Non-Conf),W,67,61,"",22,49,.449,10,24,.417,12,25,.480,.551,13,16,.813,5,21,26,16,5,5,9,15,25,51,.490,9,15,.600,16,36,.444,.578,2,11,.182,9,22,31,11,1,4,15,18
4,2018-11-22,N,Elon,REG (Non-Conf),W,72,56,"",29,56,.518,11,18,.611,18,38,.474,.616,3,6,.500,8,19,27,19,4,1,6,21,18,40,.450,7,20,.350,11,20,.550,.538,13,19,.684,5,19,24,15,3,2,11,15
5,2018-11-23,@,Pacific,REG (Non-Conf),W,73,71,"",28,56,.500,5,15,.333,23,41,.561,.545,12,18,.667,6,21,27,11,4,2,9,28,20,46,.435,3,13,.231,17,33,.515,.467,28,37,.757,8,21,29,5,6,3,9,19
6,2018-11-24,N,UC Riverside,REG (Non-Conf),W,60,48,"",22,53,.415,4,10,.400,18,43,.419,.453,12,19,.632,14,18,32,11,6,1,6,15,18,46,.391,3,14,.214,15,32,.469,.424,9,15,.600,9,20,29,6,2,2,15,21
7,2018-11-27,"","",REG (Non-Conf),W,90,53,"",37,61,.607,6,20,.300,31,41,.756,.656,10,18,.556,10,18,28,21,19,3,16,15,19,42,.452,6,14,.429,13,28,.464,.524,9,16,.563,4,16,20,10,8,1,28,13
8,2018-12-01,@,Pepperdine,REG (Non-Conf),L,62,77,"",25,62,.403,4,18,.222,21,44,.477,.435,8,13,.615,8,21,29,13,9,1,11,24,22,46,.478,8,18,.444,14,28,.500,.565,25,30,.833,5,28,33,16,6,2,15,16
9,2018-12-04,"",Campbell,REG (Non-Conf),W,83,68,"",27,48,.563,7,14,.500,20,34,.588,.635,22,26,.846,3,15,18,11,14,0,10,23,22,45,.489,3,14,.214,19,31,.613,.522,21,28,.750,9,21,30,6,4,2,22,19
10,2018-12-08,"","",REG (Non-Conf),W,93,53,"",32,55,.582,11,21,.524,21,34,.618,.682,18,24,.750,10,22,32,22,10,4,17,20,19,52,.365,5,19,.263,14,33,.424,.413,10,14,.714,10,11,21,5,6,1,20,23
11,2018-12-15,@,Texas Tech,REG (Non-Conf),L,48,82,"",15,53,.283,5,21,.238,10,32,.313,.330,13,22,.591,8,17,25,9,4,3,7,25,30,54,.556,7,22,.318,23,32,.719,.620,15,21,.714,5,32,37,17,6,2,10,21
12,2018-12-21,@,Southeast Missouri State,REG (Non-Conf),W,70,68,"",23,50,.460,4,15,.267,19,35,.543,.500,20,28,.714,5,23,28,12,9,5,14,16,24,49,.490,11,24,.458,13,25,.520,.602,9,13,.692,1,25,26,14,4,3,23,27
13,2018-12-29,"","",REG (Non-Conf),W,88,40,"",35,74,.473,8,25,.320,27,49,.551,.527,10,16,.625,22,31,53,22,14,3,14,9,15,55,.273,5,23,.217,10,32,.313,.318,5,6,.833,7,18,25,4,10,3,22,16
14,2019-01-02,"",New Orleans,REG (Conf),W,68,58,"",24,53,.453,8,17,.471,16,36,.444,.528,12,16,.750,9,23,32,12,11,4,17,20,21,51,.412,0,8,.000,21,43,.488,.412,16,27,.593,9,18,27,9,8,1,19,20
15,2019-01-05,@,Sam Houston State,REG (Conf),L,68,71,"",22,50,.440,10,14,.714,12,36,.333,.540,14,16,.875,9,18,27,14,11,2,18,17,27,49,.551,8,16,.500,19,33,.576,.633,9,13,.692,6,17,23,14,10,5,18,14
16,2019-01-09,@,McNeese State,REG (Conf),W,73,72,"",26,52,.500,10,22,.455,16,30,.533,.596,11,19,.579,6,23,29,22,3,2,7,16,25,53,.472,8,15,.533,17,38,.447,.547,14,19,.737,5,24,29,20,5,4,6,15
17,2019-01-12,@,Southeastern Louisiana,REG (Conf),W,75,72,"",27,56,.482,6,13,.462,21,43,.488,.536,15,20,.750,8,17,25,10,7,3,8,26,19,50,.380,3,8,.375,16,42,.381,.410,31,33,.939,10,23,33,7,3,5,13,17
18,2019-01-16,"",Houston Baptist,REG (Conf),W,75,68,"",28,58,.483,6,20,.300,22,38,.579,.534,13,21,.619,10,17,27,18,10,2,12,18,25,50,.500,6,14,.429,19,36,.528,.560,12,17,.706,8,21,29,14,6,1,20,18
19,2019-01-19,"",Northwestern State,REG (Conf),W,78,69,"",28,61,.459,8,20,.400,20,41,.488,.525,14,20,.700,9,28,37,18,3,5,11,18,23,58,.397,6,24,.250,17,34,.500,.448,17,23,.739,10,24,34,12,10,4,11,17
20,2019-01-23,@,Stephen F. Austin,REG (Conf),L,60,61,"",23,52,.442,6,17,.353,17,35,.486,.500,8,10,.800,9,21,30,12,11,4,24,15,23,54,.426,7,19,.368,16,35,.457,.491,8,11,.727,8,21,29,10,12,1,21,14
21,2019-01-26,"",Central Arkansas,REG (Conf),W,79,56,"",28,60,.467,6,20,.300,22,40,.550,.517,17,24,.708,10,25,35,18,10,6,12,21,15,50,.300,4,20,.200,11,30,.367,.340,22,30,.733,8,23,31,7,7,3,20,16
22,2019-01-30,"",Texas A&MâCorpus Christi,REG (Conf),W,78,71,"",25,59,.424,12,24,.500,13,35,.371,.525,16,21,.762,14,18,32,17,12,3,14,22,25,46,.543,2,10,.200,23,36,.639,.565,19,24,.792,5,23,28,9,8,4,19,18
23,2019-02-06,@,Lamar,REG (Conf),W,75,64,"",25,59,.424,5,15,.333,20,44,.455,.466,20,26,.769,9,24,33,14,7,3,10,25,20,61,.328,3,17,.176,17,44,.386,.352,21,29,.724,17,27,44,9,2,4,15,22
24,2019-02-09,"",Sam Houston State,REG (Conf),L,85,90,2OT,32,58,.552,7,18,.389,25,40,.625,.612,14,20,.700,4,20,24,11,6,1,20,23,31,59,.525,6,22,.273,25,37,.676,.576,22,25,.880,8,22,30,11,10,3,19,22
25,2019-02-13,@,Nicholls State,REG (Conf),W,64,48,"",24,60,.400,4,19,.211,20,41,.488,.433,12,14,.857,6,31,37,15,7,3,7,12,16,54,.296,5,22,.227,11,32,.344,.343,11,13,.846,4,26,30,7,4,3,10,14
26,2019-02-16,@,Incarnate Word,REG (Conf),W,68,48,"",26,52,.500,7,23,.304,19,29,.655,.567,9,12,.750,7,18,25,16,9,3,12,18,17,41,.415,4,13,.308,13,28,.464,.463,10,12,.833,2,18,20,8,4,3,19,18
27,2019-02-23,"",Southeastern Louisiana,REG (Conf),L,66,75,"",21,54,.389,8,24,.333,13,30,.433,.463,16,21,.762,9,13,22,13,7,4,9,21,25,54,.463,8,21,.381,17,33,.515,.537,17,23,.739,15,25,40,15,7,1,14,18
