Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2018-11-06,"",Cal State Fullerton,REG (Non-Conf),W,102,94,2OT,33,78,.423,10,26,.385,23,52,.442,.487,26,44,.591,18,38,56,11,3,2,17,26,34,74,.459,7,24,.292,27,50,.540,.507,19,26,.731,4,30,34,7,7,3,17,36
2,2018-11-09,"",McNeese State,REG (Non-Conf),W,80,52,"",27,58,.466,5,19,.263,22,39,.564,.509,21,27,.778,12,26,38,15,9,6,11,23,15,47,.319,5,20,.250,10,27,.370,.372,17,29,.586,7,20,27,10,1,1,17,22
3,2018-11-12,"",Long Beach State,REG (Non-Conf),W,90,58,"",29,65,.446,5,16,.313,24,49,.490,.485,27,36,.750,16,42,58,17,7,7,17,23,17,62,.274,9,31,.290,8,31,.258,.347,15,24,.625,7,19,26,14,11,4,15,27
4,2018-11-19,N,Mississippi State,REG (Non-Conf),W,72,67,"",26,58,.448,7,17,.412,19,41,.463,.509,13,18,.722,11,26,37,15,5,2,12,13,25,69,.362,8,30,.267,17,39,.436,.420,9,10,.900,13,20,33,16,6,5,10,17
5,2018-11-21,N,Utah State,REG (Non-Conf),W,87,82,"",26,52,.500,7,14,.500,19,38,.500,.567,28,42,.667,6,20,26,13,8,3,16,27,25,56,.446,7,23,.304,18,33,.545,.509,25,33,.758,8,23,31,15,6,1,17,28
6,2018-11-28,"",Omaha,REG (Non-Conf),W,89,71,"",33,64,.516,8,21,.381,25,43,.581,.578,15,22,.682,13,26,39,19,9,5,13,13,28,61,.459,13,26,.500,15,35,.429,.566,2,5,.400,3,18,21,14,5,2,17,19
7,2018-12-01,"",Texas Southern,REG (Non-Conf),W,83,71,"",31,56,.554,8,25,.320,23,31,.742,.625,13,25,.520,9,33,42,18,4,5,19,19,24,67,.358,10,35,.286,14,32,.438,.433,13,22,.591,9,21,30,14,10,1,7,22
8,2018-12-07,N,Nevada,REG (Non-Conf),L,66,72,"",25,62,.403,5,20,.250,20,42,.476,.444,11,17,.647,11,23,34,13,4,2,16,25,25,55,.455,3,18,.167,22,37,.595,.482,19,24,.792,3,23,26,11,3,7,11,15
9,2018-12-15,@,Georgia,REG (Non-Conf),W,76,74,"",26,64,.406,4,16,.250,22,48,.458,.438,20,27,.741,10,22,32,8,8,0,12,22,20,47,.426,8,22,.364,12,25,.480,.511,26,32,.813,7,26,33,11,6,7,19,21
10,2018-12-17,@,Vanderbilt,REG (Non-Conf),L,65,81,"",21,65,.323,7,24,.292,14,41,.341,.377,16,20,.800,10,28,38,9,4,1,10,19,24,55,.436,12,28,.429,12,27,.444,.545,21,29,.724,4,27,31,13,3,4,10,18
11,2018-12-22,"",Kansas,REG (Non-Conf),W,80,76,"",26,63,.413,8,21,.381,18,42,.429,.476,20,32,.625,12,24,36,13,9,5,11,12,27,65,.415,7,28,.250,20,37,.541,.469,15,16,.938,10,27,37,13,6,5,16,22
12,2018-12-29,"",Princeton,REG (Non-Conf),L,66,67,"",20,62,.323,2,15,.133,18,47,.383,.339,24,32,.750,11,28,39,8,4,8,6,17,20,57,.351,10,31,.323,10,26,.385,.439,17,22,.773,9,28,37,13,2,2,11,24
13,2019-01-03,"",Utah,REG (Conf),L,86,96,"",30,65,.462,11,28,.393,19,37,.514,.546,15,25,.600,8,23,31,15,6,5,9,18,29,57,.509,16,30,.533,13,27,.481,.649,22,27,.815,6,29,35,19,7,3,12,21
14,2019-01-05,"",Colorado,REG (Conf),W,83,61,"",32,56,.571,7,21,.333,25,35,.714,.634,12,19,.632,11,26,37,24,8,1,15,19,19,58,.328,5,26,.192,14,32,.438,.371,18,22,.818,11,14,25,10,10,4,13,21
15,2019-01-09,@,California,REG (Conf),W,80,66,"",28,59,.475,8,26,.308,20,33,.606,.542,16,23,.696,7,24,31,16,6,2,7,20,20,52,.385,8,21,.381,12,31,.387,.462,18,24,.750,8,25,33,8,2,2,13,20
16,2019-01-12,@,Stanford,REG (Conf),L,71,85,"",28,68,.412,9,20,.450,19,48,.396,.478,6,17,.353,13,23,36,9,7,1,17,19,32,60,.533,9,23,.391,23,37,.622,.608,12,19,.632,8,25,33,18,9,7,14,17
17,2019-01-17,"",Oregon State,REG (Conf),W,70,67,"",25,57,.439,10,25,.400,15,32,.469,.526,10,22,.455,11,27,38,15,3,2,11,21,22,56,.393,10,29,.345,12,27,.444,.482,13,20,.650,5,23,28,17,7,2,9,19
18,2019-01-19,"",Oregon,REG (Conf),W,78,64,"",25,49,.510,11,28,.393,14,21,.667,.622,17,21,.810,6,20,26,17,6,3,15,15,21,63,.333,10,31,.323,11,32,.344,.413,12,13,.923,14,16,30,11,5,1,15,22
19,2019-01-24,@,UCLA,REG (Conf),W,84,73,"",31,69,.449,7,27,.259,24,42,.571,.500,15,21,.714,15,29,44,18,5,1,17,21,27,66,.409,9,25,.360,18,41,.439,.477,10,21,.476,11,26,37,17,7,2,15,20
20,2019-01-26,@,Southern California,REG (Conf),L,67,69,"",19,62,.306,7,21,.333,12,41,.293,.363,22,25,.880,13,34,47,10,5,1,15,17,25,60,.417,8,26,.308,17,34,.500,.483,11,18,.611,5,26,31,14,9,2,10,21
21,2019-01-31,"",Arizona,REG (Conf),W,95,88,OT,30,54,.556,9,19,.474,21,35,.600,.639,26,35,.743,10,27,37,18,5,4,13,23,27,67,.403,14,28,.500,13,39,.333,.507,20,27,.741,14,17,31,15,8,0,9,26
22,2019-02-07,"",Washington State,REG (Conf),L,70,91,"",23,68,.338,5,33,.152,18,35,.514,.375,19,33,.576,14,25,39,11,15,2,17,23,26,60,.433,12,30,.400,14,30,.467,.533,27,33,.818,9,37,46,22,11,5,18,24
23,2019-02-09,"",Washington,REG (Conf),W,75,63,"",29,47,.617,6,17,.353,23,30,.767,.681,11,19,.579,7,30,37,18,6,4,24,19,21,57,.368,10,32,.313,11,25,.440,.456,11,20,.550,6,14,20,10,12,2,17,22
24,2019-02-13,@,Colorado,REG (Conf),L,73,77,"",25,59,.424,10,23,.435,15,36,.417,.508,13,22,.591,9,21,30,11,7,2,10,20,28,57,.491,5,18,.278,23,39,.590,.535,16,21,.762,6,28,34,16,4,1,9,16
25,2019-02-16,@,Utah,REG (Conf),W,98,87,"",34,63,.540,10,22,.455,24,41,.585,.619,20,24,.833,7,23,30,13,6,3,10,26,28,52,.538,8,23,.348,20,29,.690,.615,23,36,.639,6,18,24,14,7,8,13,21
26,2019-02-20,"",Stanford,REG (Conf),W,80,62,"",27,52,.519,9,21,.429,18,31,.581,.606,17,27,.630,7,26,33,13,3,4,12,24,21,56,.375,2,21,.095,19,35,.543,.393,18,29,.621,11,21,32,10,5,2,12,26
27,2019-02-24,"",California,REG (Conf),W,69,59,"",23,55,.418,7,21,.333,16,34,.471,.482,16,21,.762,11,23,34,12,7,2,10,12,20,54,.370,9,20,.450,11,34,.324,.454,10,12,.833,9,20,29,11,6,5,14,16
28,2019-02-28,@,Oregon,REG (Conf),L,51,79,"",17,53,.321,3,24,.125,14,29,.483,.349,14,26,.538,8,15,23,7,5,4,14,16,30,61,.492,9,25,.360,21,36,.583,.566,10,16,.625,10,29,39,14,9,1,15,22
29,2019-03-03,@,Oregon State,REG (Conf),W,74,71,"",25,53,.472,8,20,.400,17,33,.515,.547,16,25,.640,6,21,27,12,7,3,7,24,22,56,.393,6,22,.273,16,34,.471,.446,21,27,.778,12,27,39,14,4,7,13,20
30,2019-03-09,@,Arizona,REG (Conf),W,72,64,"",25,51,.490,5,16,.313,20,35,.571,.539,17,25,.680,2,28,30,13,7,4,15,22,20,48,.417,5,19,.263,15,29,.517,.469,19,27,.704,3,26,29,12,4,1,16,23
31,2019-03-14,N,UCLA,CTOURN,W,83,72,"",30,61,.492,6,16,.375,24,45,.533,.541,17,26,.654,12,23,35,11,7,2,10,17,25,56,.446,10,25,.400,15,31,.484,.536,12,17,.706,6,23,29,9,3,4,13,22
32,2019-03-15,N,Oregon,CTOURN,L,75,79,OT,22,55,.400,8,18,.444,14,37,.378,.473,23,31,.742,9,26,35,13,4,7,14,20,28,67,.418,10,26,.385,18,41,.439,.493,13,24,.542,11,22,33,13,8,10,8,23
