Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2018-11-07,"","",REG (Non-Conf),W,74,58,"",30,63,.476,3,13,.231,27,50,.540,.500,11,15,.733,16,26,42,13,13,4,17,15,23,54,.426,8,28,.286,15,26,.577,.500,4,9,.444,5,17,22,13,8,3,18,13
2,2018-11-10,"",Southeast Missouri State,REG (Non-Conf),W,68,57,"",19,49,.388,8,23,.348,11,26,.423,.469,22,32,.688,8,25,33,14,9,6,12,23,18,57,.316,4,23,.174,14,34,.412,.351,17,25,.680,11,26,37,9,3,2,15,28
3,2018-11-14,"",Jacksonville State,REG (Non-Conf),W,74,65,"",26,47,.553,4,13,.308,22,34,.647,.596,18,24,.750,4,24,28,18,8,4,14,16,26,57,.456,8,19,.421,18,38,.474,.526,5,9,.556,7,17,24,22,7,2,14,23
4,2018-11-17,@,IllinoisâChicago,REG (Non-Conf),L,70,71,"",24,56,.429,7,19,.368,17,37,.459,.491,15,22,.682,7,20,27,13,6,1,11,21,24,52,.462,9,24,.375,15,28,.536,.548,14,22,.636,7,23,30,18,3,9,15,24
5,2018-11-20,N,SMU,REG (Non-Conf),W,75,62,"",26,51,.510,5,18,.278,21,33,.636,.559,18,26,.692,9,21,30,9,5,5,12,15,19,52,.365,7,24,.292,12,28,.429,.433,17,22,.773,10,17,27,6,4,1,14,23
6,2018-11-21,N,Penn State,REG (Non-Conf),W,59,56,"",21,49,.429,8,24,.333,13,25,.520,.510,9,17,.529,5,20,25,13,5,3,12,18,17,59,.288,4,27,.148,13,32,.406,.322,18,22,.818,19,24,43,6,7,3,12,19
7,2018-11-24,"",Chicago State,REG (Non-Conf),W,86,70,"",30,59,.508,9,22,.409,21,37,.568,.585,17,18,.944,10,21,31,22,9,4,9,23,19,48,.396,7,12,.583,12,36,.333,.469,25,30,.833,6,19,25,15,6,3,12,19
8,2018-11-28,@,IUPUI,REG (Non-Conf),L,73,85,"",26,58,.448,8,23,.348,18,35,.514,.517,13,19,.684,6,20,26,12,6,1,10,28,25,49,.510,6,17,.353,19,32,.594,.571,29,39,.744,6,24,30,15,4,4,11,21
9,2018-12-01,"",New Mexico,REG (Non-Conf),L,75,85,"",25,58,.431,7,20,.350,18,38,.474,.491,18,29,.621,10,22,32,11,6,3,13,21,26,60,.433,12,32,.375,14,28,.500,.533,21,24,.875,11,27,38,15,8,0,17,24
10,2018-12-04,@,Little Rock,REG (Non-Conf),W,68,62,"",22,55,.400,9,25,.360,13,30,.433,.482,15,24,.625,13,15,28,13,5,5,15,20,24,47,.511,4,14,.286,20,33,.606,.553,10,22,.455,9,24,33,14,6,3,20,24
11,2018-12-15,"",Eastern Illinois,REG (Non-Conf),L,66,73,"",24,55,.436,5,17,.294,19,38,.500,.482,13,20,.650,13,28,41,13,4,4,13,15,24,57,.421,13,24,.542,11,33,.333,.535,12,15,.800,7,20,27,15,5,1,8,20
