Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2018-11-06,N,Kentucky,REG (Non-Conf),W,118,84,"",43,79,.544,12,26,.462,31,53,.585,.620,20,29,.690,13,25,38,22,10,3,4,26,26,59,.441,4,17,.235,22,42,.524,.475,28,38,.737,9,24,33,17,1,5,15,25
2,2018-11-11,"",Army,REG (Non-Conf),W,94,72,"",35,72,.486,15,36,.417,20,36,.556,.590,9,13,.692,12,35,47,24,8,9,11,11,28,78,.359,12,31,.387,16,47,.340,.436,4,7,.571,8,27,35,22,4,1,10,17
3,2018-11-14,"",Eastern Michigan,REG (Non-Conf),W,84,46,"",36,77,.468,5,24,.208,31,53,.585,.500,7,16,.438,21,31,52,23,14,11,11,8,21,68,.309,3,18,.167,18,50,.360,.331,1,3,.333,14,21,35,9,10,5,17,16
4,2018-11-19,N,San Diego State,REG (Non-Conf),W,90,64,"",29,57,.509,10,25,.400,19,32,.594,.596,22,34,.647,13,28,41,12,7,4,15,25,19,53,.358,6,21,.286,13,32,.406,.415,20,27,.741,6,22,28,8,7,3,13,23
5,2018-11-20,N,Auburn,REG (Non-Conf),W,78,72,"",24,54,.444,7,25,.280,17,29,.586,.509,23,34,.676,13,31,44,12,6,11,12,13,28,77,.364,11,32,.344,17,45,.378,.435,5,9,.556,17,22,39,14,8,2,9,24
6,2018-11-21,N,Gonzaga,REG (Non-Conf),L,87,89,"",31,72,.431,5,13,.385,26,59,.441,.465,20,26,.769,17,22,39,9,5,6,10,18,34,65,.523,10,19,.526,24,46,.522,.600,11,19,.579,11,20,31,16,5,10,9,20
7,2018-11-27,"",Indiana,REG (Non-Conf),W,90,69,"",33,63,.524,7,20,.350,26,43,.605,.579,17,29,.586,11,24,35,16,11,10,14,24,25,64,.391,5,16,.313,20,48,.417,.430,14,25,.560,12,21,33,13,5,5,20,20
8,2018-12-01,"",Stetson,REG (Non-Conf),W,113,49,"",45,78,.577,12,34,.353,33,44,.750,.654,11,18,.611,19,32,51,29,19,5,17,14,20,62,.323,2,23,.087,18,39,.462,.339,7,13,.538,12,16,28,11,6,4,26,14
9,2018-12-05,"",Hartford,REG (Non-Conf),W,84,54,"",35,69,.507,5,26,.192,30,43,.698,.543,9,13,.692,14,29,43,18,15,10,13,13,20,61,.328,8,27,.296,12,34,.353,.393,6,9,.667,9,20,29,13,9,1,21,14
10,2018-12-08,"",Yale,REG (Non-Conf),W,91,58,"",33,67,.493,5,21,.238,28,46,.609,.530,20,31,.645,13,31,44,20,16,6,15,14,23,65,.354,3,23,.130,20,42,.476,.377,9,11,.818,9,28,37,14,9,2,23,23
11,2018-12-18,"",Princeton,REG (Non-Conf),W,101,50,"",35,67,.522,10,26,.385,25,41,.610,.597,21,25,.840,15,31,46,23,12,14,11,10,18,61,.295,9,33,.273,9,28,.321,.369,5,6,.833,3,16,19,13,9,0,18,16
12,2018-12-20,N,Texas Tech,REG (Non-Conf),W,69,58,"",23,60,.383,3,20,.150,20,40,.500,.408,20,25,.800,9,26,35,11,15,7,19,17,22,57,.386,5,16,.313,17,41,.415,.430,9,13,.692,6,27,33,9,6,3,23,18
13,2019-01-05,"",Clemson,REG (Conf),W,87,68,"",32,67,.478,7,23,.304,25,44,.568,.530,16,21,.762,12,27,39,16,13,6,12,15,27,63,.429,6,15,.400,21,48,.438,.476,8,12,.667,9,26,35,14,6,2,16,16
14,2019-01-08,@,Wake Forest,REG (Conf),W,87,65,"",36,62,.581,7,23,.304,29,39,.744,.637,8,16,.500,12,27,39,24,7,13,17,22,22,65,.338,4,18,.222,18,47,.383,.369,17,28,.607,15,16,31,6,5,0,15,16
