Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2018-11-09,"",Albany (NY),REG (Non-Conf),W,72,68,"",25,57,.439,6,25,.240,19,32,.594,.491,16,25,.640,8,21,29,16,12,2,13,16,21,58,.362,11,24,.458,10,34,.294,.457,15,16,.938,12,25,37,10,0,0,22,20
2,2018-11-13,@,New Mexico,REG (Non-Conf),L,83,90,"",24,60,.400,9,26,.346,15,34,.441,.475,26,36,.722,9,19,28,15,12,3,14,29,27,53,.509,12,30,.400,15,23,.652,.623,24,38,.632,8,29,37,19,7,5,19,22
3,2018-11-19,N,Long Beach State,REG (Non-Conf),L,85,86,"",26,60,.433,10,31,.323,16,29,.552,.517,23,28,.821,8,17,25,11,14,2,17,21,30,54,.556,10,17,.588,20,37,.541,.648,16,20,.800,7,26,33,13,6,2,24,25
4,2018-11-21,N,Hartford,REG (Non-Conf),W,80,75,"",28,49,.571,9,20,.450,19,29,.655,.663,15,24,.625,3,22,25,16,6,1,14,20,27,57,.474,5,19,.263,22,38,.579,.518,16,21,.762,8,18,26,12,6,0,12,19
5,2018-11-24,@,Providence,REG (Non-Conf),L,79,91,"",29,57,.509,6,20,.300,23,37,.622,.561,15,18,.833,7,23,30,15,6,0,15,16,33,67,.493,9,22,.409,24,45,.533,.560,16,20,.800,13,19,32,17,6,5,12,17
6,2018-11-27,@,Ohio,REG (Non-Conf),L,65,89,"",21,65,.323,9,33,.273,12,32,.375,.392,14,24,.583,10,25,35,16,9,2,17,21,35,73,.479,7,22,.318,28,51,.549,.527,12,18,.667,15,36,51,23,6,4,15,20
7,2018-12-01,@,VCU,REG (Non-Conf),L,59,88,"",19,51,.373,4,19,.211,15,32,.469,.412,17,23,.739,6,26,32,7,3,3,21,27,28,66,.424,11,30,.367,17,36,.472,.508,21,36,.583,15,26,41,16,14,7,8,23
8,2018-12-09,N,Columbia,REG (Non-Conf),L,71,74,"",25,55,.455,5,18,.278,20,37,.541,.500,16,20,.800,8,27,35,14,8,2,18,16,26,63,.413,10,29,.345,16,34,.471,.492,12,13,.923,6,23,29,19,7,3,11,16
9,2018-12-15,N,Princeton,REG (Non-Conf),L,81,85,"",30,63,.476,13,29,.448,17,34,.500,.579,8,10,.800,8,21,29,14,3,4,13,16,30,64,.469,13,34,.382,17,30,.567,.570,12,14,.857,6,19,25,19,8,2,10,14
10,2018-12-22,@,Yale,REG (Non-Conf),L,84,99,"",29,70,.414,10,35,.286,19,35,.543,.486,16,22,.727,6,23,29,15,9,3,7,21,38,72,.528,10,28,.357,28,44,.636,.597,13,23,.565,17,36,53,30,2,4,13,16
11,2018-12-30,"",Holy Cross,REG (Non-Conf),L,71,78,"",28,57,.491,5,18,.278,23,39,.590,.535,10,17,.588,9,18,27,8,4,3,9,15,29,54,.537,10,24,.417,19,30,.633,.630,10,13,.769,7,23,30,18,5,6,13,17
12,2019-01-03,"",Monmouth,REG (Conf),W,103,84,"",31,53,.585,17,31,.548,14,22,.636,.745,24,34,.706,5,29,34,18,8,3,12,24,28,59,.475,10,22,.455,18,37,.486,.559,18,32,.563,7,19,26,12,4,5,10,25
13,2019-01-05,"",Fairfield,REG (Conf),W,94,87,"",31,64,.484,10,24,.417,21,40,.525,.563,22,29,.759,9,25,34,17,11,0,11,16,31,64,.484,16,33,.485,15,31,.484,.609,9,11,.818,9,26,35,21,6,3,18,25
14,2019-01-11,@,Niagara,REG (Conf),L,90,95,"",35,67,.522,9,22,.409,26,45,.578,.590,11,17,.647,3,26,29,14,12,2,8,18,36,77,.468,13,32,.406,23,45,.511,.552,10,13,.769,16,30,46,18,3,3,14,17
15,2019-01-13,@,Canisius,REG (Conf),W,88,70,"",30,56,.536,14,26,.538,16,30,.533,.661,14,15,.933,6,29,35,17,2,2,16,22,24,63,.381,6,31,.194,18,32,.563,.429,16,22,.727,5,20,25,15,7,1,10,18
16,2019-01-18,"",Marist,REG (Conf),W,90,77,"",27,56,.482,12,31,.387,15,25,.600,.589,24,26,.923,8,23,31,14,4,3,9,18,25,58,.431,14,32,.438,11,26,.423,.552,13,16,.813,8,20,28,15,2,2,14,24
17,2019-01-20,@,Monmouth,REG (Conf),L,81,83,"",23,56,.411,11,33,.333,12,23,.522,.509,24,29,.828,7,22,29,16,7,1,13,27,26,60,.433,5,18,.278,21,42,.500,.475,26,39,.667,14,23,37,17,5,4,11,24
18,2019-01-25,"",Rider,REG (Conf),W,77,71,"",31,64,.484,4,21,.190,27,43,.628,.516,11,17,.647,5,29,34,14,5,6,13,17,25,67,.373,9,27,.333,16,40,.400,.440,12,21,.571,13,26,39,15,8,7,11,15
19,2019-01-27,@,Fairfield,REG (Conf),L,68,80,"",24,49,.490,3,14,.214,21,35,.600,.520,17,27,.630,6,21,27,6,4,3,19,23,27,59,.458,6,19,.316,21,40,.525,.508,20,25,.800,8,21,29,12,8,2,11,23
20,2019-01-31,@,Marist,REG (Conf),L,74,78,"",24,59,.407,11,29,.379,13,30,.433,.500,15,18,.833,11,22,33,12,5,6,14,16,25,58,.431,11,24,.458,14,34,.412,.526,17,22,.773,10,22,32,14,6,5,15,20
21,2019-02-02,"",Siena,REG (Conf),L,54,56,"",18,50,.360,6,27,.222,12,23,.522,.420,12,19,.632,10,21,31,10,3,3,8,9,21,51,.412,7,22,.318,14,29,.483,.480,7,10,.700,5,25,30,7,4,1,10,15
22,2019-02-08,"",Quinnipiac,REG (Conf),L,65,66,"",27,67,.403,5,25,.200,22,42,.524,.440,6,8,.750,7,21,28,12,7,6,4,11,26,59,.441,6,23,.261,20,36,.556,.492,8,10,.800,9,32,41,12,2,3,12,10
23,2019-02-10,"",Niagara,REG (Conf),W,79,76,"",28,60,.467,8,25,.320,20,35,.571,.533,15,20,.750,8,24,32,14,6,4,10,14,26,58,.448,15,28,.536,11,30,.367,.578,9,12,.750,5,24,29,12,5,3,16,19
24,2019-02-13,@,Siena,REG (Conf),W,57,52,"",21,52,.404,7,19,.368,14,33,.424,.471,8,11,.727,7,27,34,9,8,1,15,9,21,56,.375,7,26,.269,14,30,.467,.438,3,5,.600,7,22,29,11,11,6,11,10
25,2019-02-15,"",Saint Peter's,REG (Conf),W,62,46,"",23,60,.383,9,24,.375,14,36,.389,.458,7,8,.875,10,26,36,16,8,6,9,11,18,53,.340,8,20,.400,10,33,.303,.415,2,7,.286,6,24,30,9,2,10,13,10
26,2019-02-19,@,Quinnipiac,REG (Conf),W,81,77,"",27,60,.450,8,28,.286,19,32,.594,.517,19,26,.731,6,35,41,15,3,2,9,18,26,71,.366,17,49,.347,9,22,.409,.486,8,17,.471,10,28,38,13,4,1,6,21
27,2019-02-22,@,Manhattan,REG (Conf),W,66,52,"",21,54,.389,13,32,.406,8,22,.364,.509,11,16,.688,10,23,33,10,8,1,11,12,20,56,.357,9,32,.281,11,24,.458,.438,3,9,.333,11,22,33,12,7,6,13,18
28,2019-02-24,"",Canisius,REG (Conf),W,87,80,"",27,52,.519,10,22,.455,17,30,.567,.615,23,24,.958,8,21,29,11,4,5,9,10,31,60,.517,10,26,.385,21,34,.618,.600,8,12,.667,7,11,18,18,4,4,8,20
29,2019-03-01,@,Rider,REG (Conf),W,86,79,"",29,60,.483,12,30,.400,17,30,.567,.583,16,26,.615,7,29,36,17,4,4,14,16,32,73,.438,10,24,.417,22,49,.449,.507,5,12,.417,13,28,41,24,7,3,16,22
