Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2018-11-08,"",Kansas City,REG (Non-Conf),W,77,63,"",21,47,.447,7,25,.280,14,22,.636,.521,28,38,.737,7,30,37,15,3,6,16,15,23,64,.359,9,27,.333,14,37,.378,.430,8,12,.667,9,21,30,10,11,0,9,27
2,2018-11-11,"",Green Bay,REG (Non-Conf),W,93,82,"",27,53,.509,5,18,.278,22,35,.629,.557,34,45,.756,6,27,33,16,10,4,17,15,32,69,.464,7,26,.269,25,43,.581,.514,11,16,.688,11,18,29,17,9,2,20,30
3,2018-11-15,N,Oregon,REG (Non-Conf),W,77,69,"",19,52,.365,10,29,.345,9,23,.391,.462,29,33,.879,9,32,41,13,6,3,14,20,23,64,.359,6,19,.316,17,45,.378,.406,17,24,.708,12,21,33,15,8,6,8,24
4,2018-11-16,N,Connecticut,REG (Non-Conf),W,91,72,"",29,57,.509,4,13,.308,25,44,.568,.544,29,37,.784,13,21,34,14,5,2,17,15,29,69,.420,4,26,.154,25,43,.581,.449,10,15,.667,12,13,25,10,11,0,14,24
5,2018-11-21,"",Alabama State,REG (Non-Conf),W,105,78,"",36,61,.590,9,23,.391,27,38,.711,.664,24,29,.828,4,25,29,20,8,5,8,13,33,73,.452,10,29,.345,23,44,.523,.521,2,8,.250,16,21,37,19,3,1,18,19
6,2018-11-27,"",Pittsburgh,REG (Non-Conf),W,69,68,"",19,52,.365,12,31,.387,7,21,.333,.481,19,28,.679,10,23,33,12,11,4,13,18,26,55,.473,8,19,.421,18,36,.500,.545,8,13,.615,6,29,35,13,5,2,17,23
7,2018-11-30,"",Wisconsin,REG (Conf),L,66,72,"",23,59,.390,6,24,.250,17,35,.486,.441,14,19,.737,11,27,38,9,2,4,11,16,27,56,.482,8,24,.333,19,32,.594,.554,10,14,.714,4,27,31,13,5,1,9,24
8,2018-12-03,@,Michigan State,REG (Conf),L,68,90,"",21,64,.328,6,22,.273,15,42,.357,.375,20,30,.667,14,16,30,13,7,3,10,23,31,60,.517,3,12,.250,28,48,.583,.542,25,32,.781,13,26,39,28,7,6,8,25
9,2018-12-06,"",Iowa State,REG (Non-Conf),W,98,84,"",35,61,.574,9,18,.500,26,43,.605,.648,19,23,.826,17,27,44,21,3,2,18,21,30,64,.469,6,23,.261,24,41,.585,.516,18,29,.621,10,10,20,14,11,2,10,21
10,2018-12-15,N,Northern Iowa,REG (Non-Conf),W,77,54,"",29,54,.537,10,25,.400,19,29,.655,.630,9,14,.643,6,30,36,18,6,1,12,14,20,55,.364,6,29,.207,14,26,.538,.418,8,15,.533,6,21,27,12,3,0,11,16
11,2018-12-18,"",Western Carolina,REG (Non-Conf),W,78,60,"",23,49,.469,5,18,.278,18,31,.581,.520,27,37,.730,6,17,23,15,10,8,10,13,21,43,.488,7,16,.438,14,27,.519,.570,11,18,.611,6,21,27,11,4,0,23,24
12,2018-12-22,"",Savannah State,REG (Non-Conf),W,110,64,"",39,70,.557,19,42,.452,20,28,.714,.693,13,22,.591,8,34,42,30,8,2,6,10,25,68,.368,9,33,.273,16,35,.457,.434,5,9,.556,10,25,35,16,3,1,16,17
13,2018-12-29,"",Bryant,REG (Non-Conf),W,72,67,"",21,46,.457,9,25,.360,12,21,.571,.554,21,31,.677,9,22,31,16,6,7,9,13,25,58,.431,10,26,.385,15,32,.469,.517,7,12,.583,11,19,30,10,3,0,10,23
14,2019-01-03,@,Purdue,REG (Conf),L,70,86,"",24,50,.480,6,17,.353,18,33,.545,.540,16,19,.842,7,16,23,15,3,4,14,15,33,62,.532,9,24,.375,24,38,.632,.605,11,12,.917,9,17,26,22,4,3,7,18
15,2019-01-06,"",Nebraska,REG (Conf),W,93,84,"",27,59,.458,10,22,.455,17,37,.459,.542,29,32,.906,11,27,38,16,6,6,13,22,30,65,.462,4,23,.174,26,42,.619,.492,20,26,.769,8,20,28,17,8,3,7,25
16,2019-01-09,@,Northwestern,REG (Conf),W,73,63,"",24,58,.414,4,17,.235,20,41,.488,.448,21,26,.808,9,27,36,14,6,0,7,15,22,57,.386,7,27,.259,15,30,.500,.447,12,16,.750,7,23,30,13,4,4,8,21
17,2019-01-12,"",Ohio State,REG (Conf),W,72,62,"",25,55,.455,4,16,.250,21,39,.538,.491,18,25,.720,9,25,34,15,11,6,14,15,22,59,.373,10,25,.400,12,34,.353,.458,8,11,.727,11,25,36,14,9,1,20,23
18,2019-01-16,@,Penn State,REG (Conf),W,89,82,"",32,64,.500,12,28,.429,20,36,.556,.594,13,18,.722,7,27,34,18,9,1,11,11,30,64,.469,12,35,.343,18,29,.621,.563,10,13,.769,5,27,32,23,6,5,12,20
19,2019-01-20,"",Illinois,REG (Conf),W,95,71,"",34,50,.680,15,21,.714,19,29,.655,.830,12,16,.750,1,25,26,29,3,5,14,11,27,69,.391,11,32,.344,16,37,.432,.471,6,9,.667,15,10,25,15,9,3,11,18
20,2019-01-24,"",Michigan State,REG (Conf),L,67,82,"",27,70,.386,5,24,.208,22,46,.478,.421,8,8,1.000,10,13,23,13,9,0,5,16,27,51,.529,8,19,.421,19,32,.594,.608,20,21,.952,11,30,41,16,3,2,16,13
21,2019-01-27,@,Minnesota,REG (Conf),L,87,92,"",32,59,.542,10,18,.556,22,41,.537,.627,13,21,.619,9,22,31,23,7,1,13,23,32,56,.571,7,18,.389,25,38,.658,.634,21,31,.677,6,17,23,25,7,3,9,17
22,2019-02-01,"",Michigan,REG (Conf),W,74,59,"",26,57,.456,6,14,.429,20,43,.465,.509,16,24,.667,7,38,45,10,7,5,9,14,21,65,.323,8,33,.242,13,32,.406,.385,9,12,.750,6,29,35,11,5,3,8,20
23,2019-02-07,@,Indiana,REG (Conf),W,77,72,"",27,60,.450,10,25,.400,17,35,.486,.533,13,17,.765,9,18,27,14,8,2,9,18,26,53,.491,7,21,.333,19,32,.594,.557,13,18,.722,8,22,30,17,7,3,12,15
24,2019-02-10,"",Northwestern,REG (Conf),W,80,79,"",26,55,.473,9,17,.529,17,38,.447,.555,19,25,.760,5,18,23,13,6,0,11,15,29,56,.518,8,23,.348,21,33,.636,.589,13,18,.722,10,24,34,13,5,0,14,23
25,2019-02-16,@,Rutgers,REG (Conf),W,71,69,"",25,54,.463,8,21,.381,17,33,.515,.537,13,18,.722,10,19,29,12,6,5,15,15,26,57,.456,7,20,.350,19,37,.514,.518,10,18,.556,13,18,31,14,10,2,11,18
26,2019-02-19,"",Maryland,REG (Conf),L,65,66,"",19,58,.328,8,26,.308,11,32,.344,.397,19,24,.792,15,20,35,12,6,3,14,12,22,53,.415,12,28,.429,10,25,.400,.528,10,12,.833,8,23,31,16,7,5,13,22
27,2019-02-22,"",Indiana,REG (Conf),W,76,70,OT,26,62,.419,7,25,.280,19,37,.514,.476,17,25,.680,12,31,43,18,4,4,10,18,26,63,.413,6,27,.222,20,36,.556,.460,12,22,.545,12,24,36,10,9,8,11,21
28,2019-02-26,@,Ohio State,REG (Conf),L,70,90,"",26,55,.473,6,19,.316,20,36,.556,.527,12,14,.857,4,21,25,10,4,1,10,18,28,58,.483,12,32,.375,16,26,.615,.586,22,24,.917,8,25,33,19,7,3,10,12
29,2019-03-02,"",Rutgers,REG (Conf),L,72,86,"",20,56,.357,8,29,.276,12,27,.444,.429,24,36,.667,13,23,36,12,3,2,13,21,30,59,.508,11,23,.478,19,36,.528,.602,15,26,.577,9,25,34,21,8,1,10,27
30,2019-03-07,@,Wisconsin,REG (Conf),L,45,65,"",18,59,.305,5,22,.227,13,37,.351,.347,4,6,.667,7,22,29,10,9,4,15,25,22,54,.407,4,20,.200,18,34,.529,.444,17,27,.630,15,31,46,10,7,5,15,13
31,2019-03-10,@,Nebraska,REG (Conf),L,91,93,OT,30,69,.435,10,26,.385,20,43,.465,.507,21,32,.656,13,28,41,18,5,2,13,21,35,68,.515,13,26,.500,22,42,.524,.610,10,20,.500,8,32,40,18,7,7,9,25
32,2019-03-14,N,Illinois,CTOURN,W,83,62,"",31,60,.517,12,23,.522,19,37,.514,.617,9,11,.818,9,14,23,25,3,2,7,9,26,50,.520,8,24,.333,18,26,.692,.600,2,4,.500,6,18,24,18,6,4,13,18
33,2019-03-15,N,Michigan,CTOURN,L,53,74,"",21,59,.356,1,16,.063,20,43,.465,.364,10,18,.556,9,26,35,10,4,4,11,9,28,62,.452,10,30,.333,18,32,.563,.532,8,12,.667,5,32,37,24,9,4,6,14
