Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2018-11-06,"",Delaware,REG (Non-Conf),W,73,67,"",25,62,.403,2,19,.105,23,43,.535,.419,21,30,.700,15,26,41,13,9,7,12,14,26,65,.400,6,23,.261,20,42,.476,.446,9,11,.818,8,19,27,10,9,5,11,22
2,2018-11-09,@,Navy,REG (Non-Conf),W,78,57,"",25,59,.424,5,23,.217,20,36,.556,.466,23,27,.852,9,27,36,12,8,4,10,18,19,52,.365,7,20,.350,12,32,.375,.433,12,20,.600,8,24,32,15,6,3,17,20
3,2018-11-12,"",North Carolina A&T,REG (Non-Conf),W,82,59,"",31,66,.470,10,30,.333,21,36,.583,.545,10,16,.625,13,29,42,24,8,3,12,13,24,61,.393,4,22,.182,20,39,.513,.426,7,9,.778,7,22,29,13,7,4,12,20
4,2018-11-16,"",Hofstra,REG (Non-Conf),W,80,69,"",33,64,.516,7,22,.318,26,42,.619,.570,7,13,.538,14,23,37,16,5,4,11,16,22,53,.415,9,27,.333,13,26,.500,.500,16,20,.800,5,18,23,8,4,2,7,15
5,2018-11-18,"",Mount St. Mary's,REG (Non-Conf),W,92,77,"",38,61,.623,7,19,.368,31,42,.738,.680,9,15,.600,12,26,38,23,7,5,18,19,24,60,.400,10,29,.345,14,31,.452,.483,19,22,.864,6,12,18,11,10,1,12,18
6,2018-11-23,"",Marshall,REG (Non-Conf),W,104,67,"",35,61,.574,9,16,.563,26,45,.578,.648,25,36,.694,12,38,50,15,10,7,19,16,25,73,.342,8,31,.258,17,42,.405,.397,9,14,.643,9,15,24,13,11,6,17,24
7,2018-11-28,"",Virginia,REG (Non-Conf),L,71,76,"",27,50,.540,7,17,.412,20,33,.606,.610,10,16,.625,8,22,30,12,0,2,13,16,28,59,.475,10,22,.455,18,37,.486,.559,10,15,.667,9,14,23,15,7,2,2,19
8,2018-12-01,"",Penn State,REG (Conf),W,66,59,"",22,45,.489,4,14,.286,18,31,.581,.533,18,25,.720,8,27,35,9,2,1,17,14,25,63,.397,5,21,.238,20,42,.476,.437,4,6,.667,8,17,25,9,12,2,8,24
9,2018-12-06,@,Purdue,REG (Conf),L,60,62,"",20,57,.351,9,27,.333,11,30,.367,.430,11,14,.786,13,21,34,10,7,5,16,15,20,50,.400,9,26,.346,11,24,.458,.490,13,16,.813,7,18,25,11,8,7,16,15
10,2018-12-08,N,Loyola Chicago,REG (Non-Conf),W,55,41,"",21,47,.447,8,25,.320,13,22,.591,.532,5,7,.714,4,23,27,10,6,13,15,13,16,49,.327,2,14,.143,14,35,.400,.347,7,9,.778,8,18,26,5,5,1,19,12
11,2018-12-11,"",Loyola (MD),REG (Non-Conf),W,94,71,"",33,68,.485,11,21,.524,22,47,.468,.566,17,19,.895,10,27,37,19,4,8,8,10,28,59,.475,11,21,.524,17,38,.447,.568,4,8,.500,3,20,23,14,7,6,13,17
12,2018-12-22,"",Seton Hall,REG (Non-Conf),L,74,78,"",27,58,.466,8,25,.320,19,33,.576,.534,12,20,.600,7,23,30,13,3,8,10,20,26,57,.456,8,21,.381,18,36,.500,.526,18,21,.857,7,24,31,10,6,4,8,20
13,2018-12-29,"",Radford,REG (Non-Conf),W,78,64,"",25,53,.472,7,20,.350,18,33,.545,.538,21,25,.840,10,29,39,15,3,6,12,13,26,66,.394,8,19,.421,18,47,.383,.455,4,8,.500,11,16,27,14,8,4,7,22
14,2019-01-02,"",Nebraska,REG (Conf),W,74,72,"",28,60,.467,8,17,.471,20,43,.465,.533,10,14,.714,12,23,35,11,4,4,13,17,24,51,.471,9,22,.409,15,29,.517,.559,15,23,.652,6,21,27,11,7,4,10,17
15,2019-01-05,@,Rutgers,REG (Conf),W,77,63,"",28,58,.483,7,20,.350,21,38,.553,.543,14,20,.700,4,33,37,15,6,3,11,18,23,62,.371,6,21,.286,17,41,.415,.419,11,17,.647,8,26,34,13,6,5,11,20
