Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2018-11-06,"",North Dakota State,REG (Non-Conf),W,73,56,"",29,66,.439,5,26,.192,24,40,.600,.477,10,16,.625,15,31,46,8,5,3,8,14,20,56,.357,10,27,.370,10,29,.345,.446,6,9,.667,5,24,29,8,3,3,11,14
2,2018-11-09,"",UTEP,REG (Non-Conf),W,96,69,"",36,73,.493,12,32,.375,24,41,.585,.575,12,19,.632,12,29,41,17,5,1,7,21,25,58,.431,8,18,.444,17,40,.425,.500,11,19,.579,3,25,28,6,2,1,13,24
3,2018-11-14,"",St. Mary's (CA),REG (Non-Conf),L,58,73,"",20,55,.364,2,18,.111,18,37,.486,.382,16,23,.696,10,22,32,6,3,1,6,14,25,54,.463,9,22,.409,16,32,.500,.546,14,16,.875,7,27,34,9,5,0,8,21
4,2018-11-17,@,New Mexico,REG (Non-Conf),W,98,94,"",30,53,.566,12,23,.522,18,30,.600,.679,26,39,.667,10,21,31,12,6,1,14,28,31,52,.596,11,20,.550,20,32,.625,.702,21,30,.700,4,15,19,13,8,2,15,30
5,2018-11-21,"","",REG (Non-Conf),W,92,65,"",30,77,.390,11,35,.314,19,42,.452,.461,21,28,.750,20,27,47,14,5,6,11,20,20,49,.408,11,23,.478,9,26,.346,.520,14,20,.700,2,26,28,10,6,4,19,28
6,2018-11-28,@,UTEP,REG (Non-Conf),W,62,58,"",22,50,.440,7,23,.304,15,27,.556,.510,11,14,.786,7,18,25,12,4,2,16,22,23,48,.479,5,14,.357,18,34,.529,.531,7,14,.500,9,22,31,9,5,1,19,20
7,2018-12-01,"",Washington State,REG (Non-Conf),W,69,63,"",21,58,.362,11,34,.324,10,24,.417,.457,16,21,.762,11,20,31,14,7,0,9,14,26,54,.481,9,27,.333,17,27,.630,.565,2,7,.286,8,25,33,6,2,1,18,18
8,2018-12-04,"",New Mexico,REG (Non-Conf),W,100,65,"",35,71,.493,12,30,.400,23,41,.561,.577,18,26,.692,13,39,52,21,7,3,14,23,18,64,.281,10,31,.323,8,33,.242,.359,19,33,.576,10,21,31,7,7,3,11,21
9,2018-12-08,N,Kansas,REG (Non-Conf),L,60,63,"",25,55,.455,7,26,.269,18,29,.621,.518,3,10,.300,9,23,32,20,6,4,14,15,25,58,.431,7,21,.333,18,37,.486,.491,6,12,.500,11,21,32,15,7,4,13,15
10,2018-12-17,"",Northern Colorado,REG (Non-Conf),W,74,62,"",29,57,.509,5,20,.250,24,37,.649,.553,11,17,.647,13,23,36,12,5,2,19,19,21,57,.368,5,22,.227,16,35,.457,.412,15,20,.750,11,17,28,6,4,3,13,19
11,2018-12-19,"",Cal State Northridge,REG (Non-Conf),W,92,57,"",35,71,.493,15,37,.405,20,34,.588,.599,7,8,.875,13,27,40,21,6,1,8,16,21,49,.429,5,22,.227,16,27,.593,.480,10,16,.625,4,21,25,6,1,4,12,13
12,2018-12-22,N,Drake,REG (Non-Conf),L,63,66,"",20,61,.328,6,33,.182,14,28,.500,.377,17,28,.607,20,18,38,5,10,2,15,18,23,49,.469,5,24,.208,18,25,.720,.520,15,17,.882,4,21,25,12,6,5,14,21
13,2018-12-23,N,Washington State,REG (Non-Conf),W,75,72,"",29,60,.483,9,29,.310,20,31,.645,.558,8,12,.667,12,18,30,16,6,1,12,16,24,49,.490,10,23,.435,14,26,.538,.592,14,16,.875,7,18,25,14,5,2,14,16
14,2018-12-30,@,Colorado State,REG (Non-Conf),W,88,68,"",35,68,.515,13,34,.382,22,34,.647,.610,5,6,.833,11,24,35,18,8,1,7,21,21,45,.467,6,13,.462,15,32,.469,.533,20,27,.741,5,20,25,7,4,0,10,11
15,2019-01-03,@,California Baptist,REG (Conf),L,76,82,"",23,74,.311,7,26,.269,16,48,.333,.358,23,31,.742,22,20,42,11,6,1,8,25,22,45,.489,6,22,.273,16,23,.696,.556,32,36,.889,6,24,30,6,4,3,16,28
16,2019-01-10,"",Grand Canyon,REG (Conf),W,77,75,"",30,60,.500,9,21,.429,21,39,.538,.575,8,19,.421,9,23,32,14,3,3,13,18,28,59,.475,8,25,.320,20,34,.588,.542,11,15,.733,10,27,37,8,6,3,13,24
17,2019-01-12,"",Cal State Bakersfield,REG (Conf),W,73,62,"",21,47,.447,8,26,.308,13,21,.619,.532,23,31,.742,9,27,36,14,2,4,9,15,23,68,.338,7,24,.292,16,44,.364,.390,9,11,.818,17,20,37,7,1,1,7,23
18,2019-01-17,@,Seattle,REG (Conf),W,87,60,"",31,58,.534,9,21,.429,22,37,.595,.612,16,26,.615,12,26,38,12,6,2,12,18,25,61,.410,3,17,.176,22,44,.500,.434,7,14,.500,9,19,28,10,6,2,10,22
19,2019-01-19,@,Utah Valley,REG (Conf),W,83,78,"",23,49,.469,8,21,.381,15,28,.536,.551,29,35,.829,9,19,28,11,7,2,11,20,26,43,.605,8,16,.500,18,27,.667,.698,18,25,.720,2,19,21,11,3,1,15,27
20,2019-01-26,@,TexasâRio Grande Valley,REG (Conf),W,63,61,"",22,51,.431,5,22,.227,17,29,.586,.480,14,24,.583,11,25,36,17,9,2,16,19,22,51,.431,5,12,.417,17,39,.436,.480,12,14,.857,2,18,20,13,6,1,14,21
21,2019-01-31,"",Kansas City,REG (Conf),W,70,54,"",25,53,.472,9,27,.333,16,26,.615,.557,11,15,.733,16,27,43,14,2,4,15,23,14,45,.311,8,21,.381,6,24,.250,.400,18,24,.750,5,12,17,6,1,1,6,19
22,2019-02-02,"",Chicago State,REG (Conf),W,83,39,"",30,64,.469,15,37,.405,15,27,.556,.586,8,12,.667,12,26,38,17,5,4,8,9,16,55,.291,6,18,.333,10,37,.270,.345,1,3,.333,7,18,25,7,2,2,20,19
23,2019-02-07,@,Cal State Bakersfield,REG (Conf),W,71,70,OT,22,54,.407,5,23,.217,17,31,.548,.454,22,33,.667,16,20,36,10,12,2,17,18,26,60,.433,5,16,.313,21,44,.477,.475,13,16,.813,11,21,32,4,8,0,18,25
24,2019-02-09,@,Grand Canyon,REG (Conf),W,67,64,"",26,58,.448,9,26,.346,17,32,.531,.526,6,10,.600,14,21,35,16,4,1,12,16,22,49,.449,8,23,.348,14,26,.538,.531,12,16,.750,4,19,23,13,6,1,11,16
25,2019-02-14,"",Utah Valley,REG (Conf),W,84,77,"",29,62,.468,11,28,.393,18,34,.529,.556,15,22,.682,6,29,35,16,4,2,9,16,27,59,.458,11,29,.379,16,30,.533,.551,12,15,.800,5,26,31,13,5,3,11,22
26,2019-02-16,"",Seattle,REG (Conf),W,59,53,"",17,48,.354,7,24,.292,10,24,.417,.427,18,27,.667,12,21,33,9,5,6,14,18,18,52,.346,6,20,.300,12,32,.375,.404,11,16,.688,7,20,27,6,3,1,14,28
27,2019-02-19,"","",REG (Non-Conf),W,80,42,"",32,67,.478,8,36,.222,24,31,.774,.537,8,13,.615,11,37,48,22,9,4,7,14,16,53,.302,6,28,.214,10,25,.400,.358,4,11,.364,3,27,30,9,4,0,13,12
28,2019-02-23,"",TexasâRio Grande Valley,REG (Conf),W,88,79,"",30,59,.508,9,29,.310,21,30,.700,.585,19,30,.633,15,22,37,20,5,5,16,27,25,52,.481,5,14,.357,20,38,.526,.529,24,32,.750,7,18,25,7,7,2,12,27
29,2019-02-28,@,Kansas City,REG (Conf),W,75,55,"",30,59,.508,9,24,.375,21,35,.600,.585,6,9,.667,10,26,36,20,9,3,16,17,20,50,.400,7,20,.350,13,30,.433,.470,8,11,.727,4,14,18,8,12,1,17,18
30,2019-03-02,@,Chicago State,REG (Conf),W,92,58,"",32,60,.533,12,30,.400,20,30,.667,.633,16,20,.800,11,28,39,17,7,2,13,16,22,55,.400,7,17,.412,15,38,.395,.464,7,15,.467,3,17,20,12,5,0,15,16
31,2019-03-09,"",California Baptist,REG (Conf),W,75,63,"",27,60,.450,13,29,.448,14,31,.452,.558,8,15,.533,11,27,38,18,2,5,6,12,23,66,.348,6,31,.194,17,35,.486,.394,11,14,.786,10,27,37,7,4,1,5,18
32,2019-03-14,N,Chicago State,CTOURN,W,86,49,"",30,64,.469,11,37,.297,19,27,.704,.555,15,22,.682,14,31,45,17,5,3,14,16,17,47,.362,3,13,.231,14,34,.412,.394,12,18,.667,3,19,22,7,7,4,16,19
33,2019-03-15,N,TexasâRio Grande Valley,CTOURN,W,79,72,"",28,54,.519,11,26,.423,17,28,.607,.620,12,18,.667,7,24,31,11,2,4,9,20,25,53,.472,7,20,.350,18,33,.545,.538,15,19,.789,4,18,22,7,4,1,12,23
34,2019-03-16,N,Grand Canyon,CTOURN,W,89,57,"",33,65,.508,17,39,.436,16,26,.615,.638,6,8,.750,9,35,44,18,4,2,10,15,23,60,.383,7,31,.226,16,29,.552,.442,4,9,.444,4,21,25,7,6,3,8,13
