Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2018-11-07,"",McNeese State,REG (Non-Conf),W,87,65,"",32,60,.533,13,31,.419,19,29,.655,.642,10,13,.769,8,24,32,17,10,2,5,18,27,59,.458,4,14,.286,23,45,.511,.492,7,12,.583,11,19,30,10,2,0,13,13
2,2018-11-11,"",Utah Valley,REG (Non-Conf),W,92,63,"",33,56,.589,8,16,.500,25,40,.625,.661,18,25,.720,9,26,35,11,9,0,8,13,24,54,.444,9,22,.409,15,32,.469,.528,6,11,.545,5,19,24,12,5,4,15,21
3,2018-11-14,@,New Mexico State,REG (Non-Conf),W,73,58,"",25,54,.463,9,22,.409,16,32,.500,.546,14,16,.875,7,27,34,9,5,0,8,21,20,55,.364,2,18,.111,18,37,.486,.382,16,23,.696,10,22,32,6,3,1,6,14
4,2018-11-19,N,Utah State,REG (Non-Conf),L,63,80,"",18,62,.290,6,24,.250,12,38,.316,.339,21,26,.808,12,19,31,8,7,2,11,16,29,59,.492,6,17,.353,23,42,.548,.542,16,18,.889,9,31,40,17,5,8,14,22
5,2018-11-21,N,Mississippi State,REG (Non-Conf),L,57,61,"",23,62,.371,6,16,.375,17,46,.370,.419,5,8,.625,10,22,32,8,4,1,5,15,24,55,.436,5,24,.208,19,31,.613,.482,8,10,.800,6,25,31,12,5,6,8,12
6,2018-11-24,"",Harvard,REG (Non-Conf),L,68,74,"",24,55,.436,4,22,.182,20,33,.606,.473,16,26,.615,11,19,30,5,8,0,13,23,26,49,.531,6,19,.316,20,30,.667,.592,16,24,.667,8,23,31,10,7,2,14,23
7,2018-11-28,"",UC Irvine,REG (Non-Conf),L,75,80,"",26,52,.500,5,13,.385,21,39,.538,.548,18,23,.783,4,24,28,8,2,2,8,18,29,60,.483,7,18,.389,22,42,.524,.542,15,19,.789,8,23,31,8,5,2,6,21
8,2018-12-01,"",California,REG (Non-Conf),W,84,71,"",30,50,.600,13,25,.520,17,25,.680,.730,11,13,.846,5,23,28,19,5,5,12,16,26,58,.448,7,15,.467,19,43,.442,.509,12,12,1.000,8,14,22,6,4,3,8,15
9,2018-12-04,"",Bethune-Cookman,REG (Non-Conf),W,93,61,"",32,54,.593,10,25,.400,22,29,.759,.685,19,31,.613,8,27,35,17,6,6,7,20,22,56,.393,3,14,.214,19,42,.452,.420,14,19,.737,7,19,26,8,1,2,10,25
10,2018-12-07,N,New Mexico,REG (Non-Conf),W,85,60,"",33,55,.600,6,18,.333,27,37,.730,.655,13,18,.722,6,29,35,17,2,5,14,20,23,66,.348,4,26,.154,19,40,.475,.379,10,16,.625,13,14,27,8,5,1,10,15
11,2018-12-10,"",Cal State Fullerton,REG (Non-Conf),W,81,66,"",29,54,.537,11,21,.524,18,33,.545,.639,12,14,.857,7,21,28,18,6,4,8,13,27,55,.491,5,9,.556,22,46,.478,.536,7,7,1.000,3,17,20,14,4,2,10,13
12,2018-12-15,N,Louisiana State,REG (Non-Conf),L,74,78,"",25,52,.481,6,17,.353,19,35,.543,.538,18,25,.720,7,25,32,9,7,1,19,22,25,56,.446,6,17,.353,19,39,.487,.500,22,25,.880,5,16,21,11,11,4,11,22
13,2018-12-19,"",Bucknell,REG (Non-Conf),W,85,56,"",35,64,.547,10,21,.476,25,43,.581,.625,5,5,1.000,8,32,40,18,6,1,10,14,22,63,.349,5,25,.200,17,38,.447,.389,7,7,1.000,6,18,24,14,3,2,7,11
14,2018-12-22,@,Western Kentucky,REG (Non-Conf),L,68,71,"",26,64,.406,8,17,.471,18,47,.383,.469,8,9,.889,12,20,32,8,5,2,13,16,29,50,.580,6,12,.500,23,38,.605,.640,7,12,.583,2,23,25,12,7,9,15,15
