Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2020-11-28,@,Pittsburgh,REG (Non-Conf),L,74,83,"",30,62,.484,3,19,.158,27,43,.628,.508,11,14,.786,9,16,25,17,10,0,12,16,31,50,.620,5,19,.263,26,31,.839,.670,16,22,.727,3,20,23,17,9,5,13,14
2,2020-12-02,N,Quinnipiac,REG (Non-Conf),W,66,48,"",25,59,.424,7,16,.438,18,43,.419,.483,9,14,.643,10,24,34,15,5,4,13,21,15,44,.341,1,12,.083,14,32,.438,.352,17,24,.708,4,26,30,5,4,4,17,19
3,2020-12-03,N,Quinnipiac,REG (Non-Conf),W,70,58,"",22,54,.407,6,17,.353,16,37,.432,.463,20,24,.833,8,24,32,14,5,6,7,14,22,56,.393,5,17,.294,17,39,.436,.438,9,12,.750,6,24,30,15,2,5,12,23
4,2020-12-06,"",Coppin State,REG (Non-Conf),W,69,54,"",25,56,.446,9,23,.391,16,33,.485,.527,10,16,.625,6,33,39,18,5,0,15,15,20,56,.357,4,23,.174,16,33,.485,.393,10,17,.588,4,28,32,8,10,1,13,16
5,2020-12-12,"",La Salle,REG (Non-Conf),L,48,58,"",18,54,.333,3,20,.150,15,34,.441,.361,9,13,.692,8,22,30,9,7,1,12,11,24,52,.462,5,10,.500,19,42,.452,.510,5,6,.833,7,24,31,12,5,5,17,14
6,2020-12-17,"",Saint Joseph's,REG (Non-Conf),W,81,77,"",26,56,.464,8,17,.471,18,39,.462,.536,21,26,.808,9,25,34,17,5,0,14,22,24,56,.429,4,24,.167,20,32,.625,.464,25,33,.758,8,20,28,11,6,2,12,22
7,2020-12-19,@,Fairleigh Dickinson,REG (Non-Conf),W,85,68,"",31,59,.525,7,22,.318,24,37,.649,.585,16,23,.696,11,22,33,17,5,2,12,13,27,59,.458,8,21,.381,19,38,.500,.525,6,9,.667,6,17,23,7,8,4,17,20
8,2021-01-09,@,College of Charleston,REG (Conf),L,60,61,"",22,50,.440,4,16,.250,18,34,.529,.480,12,16,.750,9,25,34,12,8,3,13,11,24,52,.462,8,16,.500,16,36,.444,.538,5,8,.625,3,19,22,8,7,4,11,15
9,2021-01-10,@,College of Charleston,REG (Conf),L,68,73,"",23,51,.451,7,21,.333,16,30,.533,.520,15,15,1.000,7,21,28,11,2,1,10,13,29,52,.558,9,25,.360,20,27,.741,.644,6,8,.750,3,19,22,9,6,5,6,12
10,2021-01-16,"",William & Mary,REG (Conf),W,82,58,"",36,59,.610,7,17,.412,29,42,.690,.669,3,4,.750,7,23,30,19,8,4,10,16,22,50,.440,6,17,.353,16,33,.485,.500,8,11,.727,4,14,18,12,3,1,14,10
11,2021-01-17,"",William & Mary,REG (Conf),L,64,69,"",23,65,.354,8,31,.258,15,34,.441,.415,10,12,.833,7,23,30,20,6,4,6,25,20,49,.408,5,18,.278,15,31,.484,.459,24,29,.828,6,30,36,7,3,4,13,15
12,2021-01-23,@,William & Mary,REG (Conf),W,79,64,"",31,52,.596,6,19,.316,25,33,.758,.654,11,13,.846,5,24,29,17,4,6,10,13,24,61,.393,5,21,.238,19,40,.475,.434,11,14,.786,11,12,23,8,5,4,9,16
13,2021-01-31,@,James Madison,REG (Conf),L,64,73,"",22,53,.415,6,22,.273,16,31,.516,.472,14,18,.778,8,26,34,8,1,1,15,18,25,59,.424,7,25,.280,18,34,.529,.483,16,21,.762,9,23,32,9,7,2,5,16
14,2021-02-06,@,Hofstra,REG (Conf),W,73,71,"",26,42,.619,10,16,.625,16,26,.615,.738,11,13,.846,3,20,23,20,6,2,18,16,24,64,.375,9,21,.429,15,43,.349,.445,14,16,.875,17,10,27,11,9,1,11,14
15,2021-02-07,@,Hofstra,REG (Conf),L,74,79,"",29,55,.527,6,16,.375,23,39,.590,.582,10,17,.588,4,22,26,20,3,2,8,16,29,60,.483,8,17,.471,21,43,.488,.550,13,15,.867,8,24,32,14,4,3,10,14
16,2021-02-26,@,James Madison,REG (Conf),W,84,78,"",28,57,.491,12,28,.429,16,29,.552,.596,16,17,.941,10,20,30,15,4,5,15,18,28,55,.509,8,17,.471,20,38,.526,.582,14,22,.636,5,17,22,17,8,3,10,15
17,2021-03-07,N,College of Charleston,CTOURN,W,80,75,"",31,56,.554,11,18,.611,20,38,.526,.652,7,11,.636,7,24,31,14,1,1,5,7,29,62,.468,10,24,.417,19,38,.500,.548,7,7,1.000,8,20,28,11,2,1,2,10
18,2021-03-08,N,Northeastern,CTOURN,W,74,67,"",26,50,.520,8,16,.500,18,34,.529,.600,14,16,.875,7,26,33,14,2,1,16,16,26,63,.413,6,19,.316,20,44,.455,.460,9,12,.750,11,13,24,7,10,5,6,18
19,2021-03-09,N,Elon,CTOURN,W,63,56,"",21,48,.438,10,17,.588,11,31,.355,.542,11,14,.786,8,29,37,11,2,2,13,7,25,61,.410,4,19,.211,21,42,.500,.443,2,3,.667,5,17,22,7,10,1,5,12
