Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2020-11-25,"",UMBC,REG (Non-Conf),W,70,62,"",28,75,.373,7,27,.259,21,48,.438,.420,7,14,.500,21,35,56,15,8,3,20,19,23,65,.354,6,24,.250,17,41,.415,.400,10,14,.714,7,29,36,13,12,2,16,19
2,2020-12-01,"",Navy,REG (Non-Conf),L,71,78,"",25,60,.417,10,31,.323,15,29,.517,.500,11,17,.647,12,26,38,13,3,4,13,15,32,64,.500,9,26,.346,23,38,.605,.570,5,10,.500,9,26,35,10,8,1,7,14
3,2020-12-06,"",West Virginia,REG (Non-Conf),L,71,80,"",25,62,.403,11,30,.367,14,32,.438,.492,10,15,.667,9,32,41,11,2,7,15,24,26,64,.406,6,17,.353,20,47,.426,.453,22,33,.667,11,29,40,14,9,2,5,16
4,2020-12-08,"",Coppin State,REG (Non-Conf),W,80,48,"",29,53,.547,10,23,.435,19,30,.633,.642,12,17,.706,8,42,50,17,6,4,26,16,18,66,.273,8,38,.211,10,28,.357,.333,4,12,.333,8,19,27,12,11,1,12,20
5,2020-12-11,"",Villanova,REG (Conf),L,63,76,"",26,61,.426,7,23,.304,19,38,.500,.484,4,4,1.000,9,26,35,10,0,2,12,17,25,60,.417,15,39,.385,10,21,.476,.542,11,17,.647,8,25,33,17,3,0,7,13
6,2020-12-13,"",St. John's (NY),REG (Conf),W,97,94,OT,34,63,.540,11,23,.478,23,40,.575,.627,18,24,.750,5,25,30,17,9,10,16,19,33,76,.434,4,13,.308,29,63,.460,.461,24,33,.727,16,25,41,21,12,2,15,20
7,2020-12-20,@,St. John's (NY),REG (Conf),L,83,94,"",27,62,.435,10,26,.385,17,36,.472,.516,19,26,.731,7,27,34,14,5,3,13,18,30,63,.476,13,29,.448,17,34,.500,.579,21,26,.808,8,27,35,19,8,7,9,19
8,2020-12-23,@,Seton Hall,REG (Conf),L,67,78,"",24,70,.343,7,17,.412,17,53,.321,.393,12,13,.923,11,30,41,10,7,3,14,19,28,62,.452,9,25,.360,19,37,.514,.524,13,18,.722,5,31,36,18,6,11,9,15
9,2021-01-02,"",Marquette,REG (Conf),L,60,64,"",24,63,.381,5,24,.208,19,39,.487,.421,7,9,.778,10,27,37,11,7,4,17,15,25,64,.391,5,22,.227,20,42,.476,.430,9,17,.529,10,26,36,9,11,5,13,10
10,2021-01-06,@,Butler,REG (Conf),L,55,63,"",20,59,.339,9,21,.429,11,38,.289,.415,6,8,.750,11,30,41,12,3,2,15,15,23,60,.383,7,22,.318,16,38,.421,.442,10,15,.667,7,24,31,13,7,0,5,13
11,2021-01-09,@,Syracuse,REG (Non-Conf),L,69,74,"",24,55,.436,11,32,.344,13,23,.565,.536,10,13,.769,5,23,28,18,4,6,12,15,27,62,.435,9,21,.429,18,41,.439,.508,11,14,.786,8,24,32,17,7,3,8,12
12,2021-01-30,"",Providence,REG (Conf),W,73,72,"",26,64,.406,6,23,.261,20,41,.488,.453,15,19,.789,16,29,45,16,3,4,7,15,28,66,.424,8,21,.381,20,45,.444,.485,8,11,.727,9,23,32,18,3,1,5,19
13,2021-02-03,@,Creighton,REG (Conf),W,86,79,"",29,58,.500,10,21,.476,19,37,.514,.586,18,24,.750,7,25,32,16,6,1,13,20,27,57,.474,10,26,.385,17,31,.548,.561,15,21,.714,5,23,28,16,6,0,15,20
14,2021-02-07,@,Villanova,REG (Conf),L,74,84,"",29,57,.509,7,20,.350,22,37,.595,.570,9,12,.750,9,18,27,15,4,3,13,16,27,55,.491,13,26,.500,14,29,.483,.609,17,18,.944,9,15,24,21,6,2,10,12
15,2021-02-09,"",Creighton,REG (Conf),L,48,63,"",16,58,.276,9,31,.290,7,27,.259,.353,7,8,.875,12,27,39,13,12,2,24,12,26,59,.441,6,25,.240,20,34,.588,.492,5,9,.556,7,26,33,12,19,3,17,11
16,2021-02-13,"",Butler,REG (Conf),W,78,63,"",24,46,.522,11,22,.500,13,24,.542,.641,19,22,.864,9,29,38,16,9,5,21,15,23,59,.390,9,24,.375,14,35,.400,.466,8,9,.889,5,12,17,19,12,2,13,21
17,2021-02-20,"",Seton Hall,REG (Conf),W,81,75,"",28,56,.500,10,16,.625,18,40,.450,.589,15,21,.714,10,24,34,18,7,6,18,13,29,67,.433,6,21,.286,23,46,.500,.478,11,16,.688,13,18,31,12,9,6,11,21
18,2021-02-23,"",Connecticut,REG (Conf),L,57,70,"",19,53,.358,4,19,.211,15,34,.441,.396,15,21,.714,6,19,25,9,10,3,15,13,30,66,.455,2,11,.182,28,55,.509,.470,8,13,.615,17,28,45,12,8,5,14,20
19,2021-02-27,@,DePaul,REG (Conf),W,68,60,"",21,51,.412,7,17,.412,14,34,.412,.480,19,21,.905,11,24,35,12,6,9,18,15,22,57,.386,7,18,.389,15,39,.385,.447,9,10,.900,6,18,24,12,6,2,13,17
20,2021-03-02,"",Xavier,REG (Conf),W,72,66,"",24,61,.393,9,25,.360,15,36,.417,.467,15,22,.682,13,29,42,10,4,4,12,17,22,68,.324,9,34,.265,13,34,.382,.390,13,16,.813,12,27,39,14,7,2,12,22
21,2021-03-06,@,Connecticut,REG (Conf),L,82,98,"",27,58,.466,8,18,.444,19,40,.475,.534,20,25,.800,7,14,21,11,7,1,12,17,35,59,.593,12,28,.429,23,31,.742,.695,16,21,.762,8,25,33,22,4,6,12,22
22,2021-03-10,N,Marquette,CTOURN,W,68,49,"",24,61,.393,4,19,.211,20,42,.476,.426,16,22,.727,13,29,42,9,10,2,12,10,21,58,.362,5,24,.208,16,34,.471,.405,2,4,.500,5,23,28,7,5,4,15,18
23,2021-03-11,N,Villanova,CTOURN,W,72,71,"",20,51,.392,9,22,.409,11,29,.379,.480,23,23,1.000,6,23,29,11,4,0,12,18,24,55,.436,9,30,.300,15,25,.600,.518,14,22,.636,9,19,28,13,4,0,5,21
24,2021-03-12,N,Seton Hall,CTOURN,W,66,58,"",21,48,.438,6,12,.500,15,36,.417,.500,18,25,.720,6,24,30,5,5,6,14,13,24,62,.387,5,18,.278,19,44,.432,.427,5,11,.455,14,23,37,10,5,2,13,19
25,2021-03-13,N,Creighton,CTOURN,W,73,48,"",27,58,.466,10,26,.385,17,32,.531,.552,9,18,.500,12,32,44,12,7,3,12,11,17,59,.288,9,34,.265,8,25,.320,.364,5,12,.417,7,21,28,12,6,1,11,16
