Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2020-11-25,"",Grambling State,REG (Non-Conf),W,69,53,"",24,61,.393,6,22,.273,18,39,.462,.443,15,22,.682,13,32,45,16,6,3,12,17,21,60,.350,1,10,.100,20,50,.400,.358,10,19,.526,9,22,31,5,10,6,9,15
2,2020-11-28,"","",REG (Non-Conf),W,94,63,"",39,69,.565,5,16,.313,34,53,.642,.601,11,18,.611,13,27,40,24,7,5,4,21,18,55,.327,8,29,.276,10,26,.385,.400,19,20,.950,5,19,24,11,3,0,10,12
3,2020-12-01,"",Mississippi Valley State,REG (Non-Conf),W,88,49,"",38,69,.551,7,26,.269,31,43,.721,.601,5,15,.333,16,36,52,20,4,1,14,13,17,59,.288,13,39,.333,4,20,.200,.398,2,6,.333,5,19,24,13,4,2,14,17
4,2020-12-11,"",Nevada,REG (Non-Conf),W,87,77,"",30,52,.577,9,19,.474,21,33,.636,.663,18,23,.783,6,24,30,14,4,5,13,15,27,59,.458,9,25,.360,18,34,.529,.534,14,17,.824,6,17,23,9,5,0,9,20
5,2020-12-13,"",Arizona State,REG (Non-Conf),L,70,71,"",23,48,.479,5,15,.333,18,33,.545,.531,19,23,.826,4,27,31,12,7,0,18,16,27,57,.474,7,19,.368,20,38,.526,.535,10,13,.769,4,22,26,10,12,2,12,19
6,2020-12-20,N,San Francisco,REG (Non-Conf),L,65,68,"",28,57,.491,2,14,.143,26,43,.605,.509,7,13,.538,5,24,29,14,4,3,13,20,23,57,.404,14,37,.378,9,20,.450,.526,8,16,.500,7,19,26,11,6,2,14,16
7,2020-12-22,N,Colorado,REG (Non-Conf),L,64,74,"",27,53,.509,5,20,.250,22,33,.667,.557,5,8,.625,6,21,27,15,2,1,15,17,24,48,.500,8,17,.471,16,31,.516,.583,18,21,.857,3,16,19,10,7,2,6,15
8,2021-01-08,@,Tarleton State,REG (Conf),W,75,72,"",24,53,.453,5,17,.294,19,36,.528,.500,22,30,.733,9,22,31,19,1,1,12,18,25,57,.439,7,22,.318,18,35,.514,.500,15,18,.833,8,21,29,12,6,3,9,22
9,2021-01-09,@,Tarleton State,REG (Conf),W,59,48,"",19,41,.463,6,18,.333,13,23,.565,.537,15,24,.625,8,30,38,10,1,9,12,12,16,53,.302,6,17,.353,10,36,.278,.358,10,13,.769,3,18,21,11,7,2,7,24
10,2021-01-15,"","",REG (Non-Conf),W,121,62,"",49,70,.700,13,23,.565,36,47,.766,.793,10,14,.714,4,36,40,35,9,6,12,17,21,66,.318,14,45,.311,7,21,.333,.424,6,10,.600,9,18,27,10,1,2,21,16
11,2021-01-16,"","",REG (Non-Conf),W,98,47,"",41,75,.547,10,33,.303,31,42,.738,.613,6,11,.545,15,31,46,24,14,2,13,13,17,63,.270,5,33,.152,12,30,.400,.310,8,13,.615,11,16,27,4,4,1,20,16
12,2021-01-22,@,Dixie State,REG (Conf),W,77,74,"",27,62,.435,8,23,.348,19,39,.487,.500,15,21,.714,13,28,41,11,6,4,16,14,28,62,.452,8,21,.381,20,41,.488,.516,10,14,.714,6,24,30,18,6,2,11,19
13,2021-01-23,@,Dixie State,REG (Conf),W,81,46,"",28,57,.491,7,22,.318,21,35,.600,.553,18,24,.750,8,30,38,14,7,2,10,21,16,45,.356,2,12,.167,14,33,.424,.378,12,19,.632,4,20,24,8,6,2,18,26
14,2021-01-29,"",New Mexico State,REG (Conf),W,70,62,"",26,49,.531,7,18,.389,19,31,.613,.602,11,12,.917,5,22,27,19,1,1,11,27,16,52,.308,5,30,.167,11,22,.500,.356,25,33,.758,17,18,35,7,5,1,10,18
15,2021-01-30,"",New Mexico State,REG (Conf),W,65,53,"",26,54,.481,5,19,.263,21,35,.600,.528,8,11,.727,9,22,31,12,5,1,10,14,19,52,.365,7,31,.226,12,21,.571,.433,8,10,.800,7,17,24,12,3,0,11,13
16,2021-02-19,"",California Baptist,REG (Conf),W,71,61,"",25,54,.463,3,15,.200,22,39,.564,.491,18,29,.621,8,32,40,16,3,6,8,16,24,59,.407,6,20,.300,18,39,.462,.458,7,13,.538,5,27,32,11,4,0,9,22
17,2021-02-20,"",California Baptist,REG (Conf),L,62,65,"",22,59,.373,9,22,.409,13,37,.351,.449,9,18,.500,14,24,38,14,1,1,14,19,24,59,.407,4,16,.250,20,43,.465,.441,13,20,.650,12,23,35,13,9,1,10,18
18,2021-02-26,@,Seattle,REG (Conf),L,57,63,"",21,55,.382,6,23,.261,15,32,.469,.436,9,14,.643,8,27,35,13,2,2,18,22,20,56,.357,6,25,.240,14,31,.452,.411,17,25,.680,11,19,30,10,5,5,9,19
19,2021-02-27,@,Seattle,REG (Conf),W,81,71,"",25,52,.481,9,23,.391,16,29,.552,.567,22,27,.815,9,28,37,18,5,1,18,21,24,60,.400,6,20,.300,18,40,.450,.450,17,17,1.000,6,15,21,9,7,2,11,25
