Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2020-11-25,"",Lamar,REG (Non-Conf),W,89,45,"",30,72,.417,13,33,.394,17,39,.436,.507,16,21,.762,18,29,47,16,11,8,9,18,15,50,.300,1,13,.077,14,37,.378,.310,14,22,.636,7,21,28,8,3,0,22,19
2,2020-11-27,"",Boise State,REG (Non-Conf),W,68,58,"",24,59,.407,5,17,.294,19,42,.452,.449,15,17,.882,15,31,46,3,7,1,16,24,21,51,.412,1,16,.063,20,35,.571,.422,15,26,.577,5,19,24,11,9,2,13,16
3,2020-11-29,N,Texas Tech,REG (Non-Conf),W,64,53,"",20,57,.351,8,24,.333,12,33,.364,.421,16,21,.762,13,22,35,9,11,4,12,24,18,46,.391,4,18,.222,14,28,.500,.435,13,24,.542,8,20,28,7,3,3,18,22
4,2020-12-05,"",South Carolina,REG (Non-Conf),W,77,67,"",21,55,.382,4,19,.211,17,36,.472,.418,31,38,.816,12,22,34,10,11,8,9,25,22,50,.440,6,17,.353,16,33,.485,.500,17,29,.586,8,22,30,13,2,2,19,26
5,2020-12-20,"",Alcorn State,REG (Non-Conf),W,88,55,"",33,66,.500,6,22,.273,27,44,.614,.545,16,28,.571,21,27,48,20,8,4,10,20,17,47,.362,5,19,.263,12,28,.429,.415,16,27,.593,6,16,22,5,5,0,13,26
6,2020-12-22,"",Temple,REG (Conf),W,76,50,"",28,58,.483,10,26,.385,18,32,.563,.569,10,15,.667,13,27,40,14,9,8,17,23,13,45,.289,5,14,.357,8,31,.258,.344,19,25,.760,9,17,26,10,3,2,19,18
7,2020-12-26,@,UCF,REG (Conf),W,63,54,"",18,50,.360,7,25,.280,11,25,.440,.430,20,26,.769,5,18,23,9,9,2,8,24,16,43,.372,2,13,.154,14,30,.467,.395,20,28,.714,10,20,30,6,4,2,17,21
8,2020-12-29,@,Tulsa,REG (Conf),L,64,65,"",20,56,.357,4,21,.190,16,35,.457,.393,20,31,.645,11,20,31,8,9,6,10,19,20,48,.417,7,20,.350,13,28,.464,.490,18,22,.818,6,25,31,7,5,1,14,24
9,2021-01-03,@,SMU,REG (Conf),W,74,60,"",25,64,.391,7,20,.350,18,44,.409,.445,17,20,.850,16,26,42,11,8,4,12,17,23,57,.404,6,21,.286,17,36,.472,.456,8,15,.533,10,21,31,12,8,8,14,18
10,2021-01-06,"",Wichita State,REG (Conf),W,70,63,"",23,60,.383,7,22,.318,16,38,.421,.442,17,24,.708,15,28,43,9,3,4,10,21,20,59,.339,8,26,.308,12,33,.364,.407,15,22,.682,11,26,37,6,6,2,11,18
