Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2020-11-25,N,Chicago State,REG (Non-Conf),W,84,61,"",28,48,.583,8,19,.421,20,29,.690,.667,20,33,.606,7,23,30,15,1,3,13,18,20,57,.351,4,20,.200,16,37,.432,.386,17,20,.850,8,16,24,9,5,0,13,30
2,2020-11-26,@,North Carolina A&T,REG (Non-Conf),W,84,72,"",29,64,.453,13,34,.382,16,30,.533,.555,13,21,.619,14,28,42,18,6,0,20,14,25,63,.397,9,25,.360,16,38,.421,.468,13,15,.867,8,22,30,13,10,3,19,21
3,2020-11-27,@,Illinois,REG (Non-Conf),L,75,77,"",31,65,.477,9,19,.474,22,46,.478,.546,4,9,.444,3,19,22,16,10,3,6,18,28,58,.483,6,15,.400,22,43,.512,.534,15,24,.625,10,32,42,14,3,1,15,14
4,2020-12-06,"",Cleveland State,REG (Non-Conf),W,101,46,"",35,59,.593,7,21,.333,28,38,.737,.653,24,37,.649,14,33,47,23,9,4,14,18,13,57,.228,3,23,.130,10,34,.294,.254,17,21,.810,8,13,21,6,7,2,20,27
5,2020-12-10,"","",REG (Non-Conf),W,92,72,"",36,68,.529,6,23,.261,30,45,.667,.574,14,23,.609,12,24,36,24,10,5,9,12,27,61,.443,7,17,.412,20,44,.455,.500,11,17,.647,8,22,30,18,7,2,15,22
6,2020-12-13,@,Marshall,REG (Non-Conf),L,67,81,"",22,55,.400,7,20,.350,15,35,.429,.464,16,20,.800,11,18,29,13,10,2,17,19,30,55,.545,5,21,.238,25,34,.735,.591,16,22,.727,10,21,31,12,9,6,15,18
7,2020-12-22,@,Akron,REG (Conf),L,70,90,"",26,62,.419,8,27,.296,18,35,.514,.484,10,16,.625,10,12,22,14,6,2,5,13,35,55,.636,14,25,.560,21,30,.700,.764,6,9,.667,6,28,34,18,2,3,14,19
8,2020-12-30,"",Bowling Green,REG (Conf),L,75,83,"",27,66,.409,12,33,.364,15,33,.455,.500,9,12,.750,10,20,30,20,5,2,7,23,20,48,.417,7,22,.318,13,26,.500,.490,36,38,.947,8,28,36,12,2,1,10,17
9,2021-01-02,@,Ball State,REG (Conf),W,78,68,"",31,56,.554,7,18,.389,24,38,.632,.616,9,13,.692,7,20,27,13,8,3,11,13,26,56,.464,9,25,.360,17,31,.548,.545,7,9,.778,6,17,23,18,5,1,11,14
10,2021-01-05,"",Northern Illinois,REG (Conf),W,76,73,"",28,57,.491,8,19,.421,20,38,.526,.561,12,17,.706,5,19,24,21,6,3,7,15,27,59,.458,10,21,.476,17,38,.447,.542,9,14,.643,9,25,34,13,3,2,11,18
11,2021-01-08,@,Toledo,REG (Conf),L,78,95,"",27,62,.435,9,27,.333,18,35,.514,.508,15,18,.833,7,17,24,16,8,1,15,18,34,55,.618,12,27,.444,22,28,.786,.727,15,18,.833,5,22,27,23,6,6,17,18
12,2021-01-12,"",Miami (OH),REG (Conf),W,78,61,"",31,54,.574,11,23,.478,20,31,.645,.676,5,5,1.000,3,25,28,23,5,2,14,12,23,57,.404,8,23,.348,15,34,.441,.474,7,10,.700,8,18,26,16,5,2,12,8
13,2021-01-16,"",Kent State,REG (Conf),L,79,89,"",27,63,.429,14,36,.389,13,27,.481,.540,11,14,.786,5,15,20,20,6,1,6,16,35,61,.574,9,25,.360,26,36,.722,.648,10,15,.667,11,28,39,18,1,3,15,12
14,2021-01-23,"",Ball State,REG (Conf),W,85,77,"",27,63,.429,5,22,.227,22,41,.537,.468,26,35,.743,16,28,44,19,7,3,12,20,25,61,.410,12,26,.462,13,35,.371,.508,15,19,.789,9,22,31,19,5,2,16,27
15,2021-01-26,"",Western Michigan,REG (Conf),W,81,58,"",33,72,.458,7,26,.269,26,46,.565,.507,8,12,.667,10,29,39,17,8,3,6,14,21,52,.404,8,25,.320,13,27,.481,.481,8,12,.667,2,23,25,17,2,2,16,14
16,2021-01-29,@,Buffalo,REG (Conf),W,76,75,"",31,59,.525,6,20,.300,25,39,.641,.576,8,12,.667,6,26,32,14,5,2,15,20,27,63,.429,8,26,.308,19,37,.514,.492,13,20,.650,11,20,31,14,11,3,14,17
17,2021-02-02,@,Central Michigan,REG (Conf),W,83,69,"",34,60,.567,6,25,.240,28,35,.800,.617,9,11,.818,7,30,37,15,7,3,17,16,23,60,.383,9,26,.346,14,34,.412,.458,14,16,.875,4,20,24,9,12,0,16,11
18,2021-02-23,"",Akron,REG (Conf),W,90,73,"",30,61,.492,10,19,.526,20,42,.476,.574,20,26,.769,7,28,35,17,5,2,8,20,26,67,.388,8,32,.250,18,35,.514,.448,13,19,.684,12,25,37,12,3,5,11,23
19,2021-02-25,"",Eastern Michigan,REG (Conf),W,86,67,"",34,61,.557,12,27,.444,22,34,.647,.656,6,10,.600,9,26,35,30,8,2,12,11,24,55,.436,8,21,.381,16,34,.471,.509,11,14,.786,5,15,20,12,8,0,12,9
20,2021-02-27,"",Buffalo,REG (Conf),L,66,86,"",25,67,.373,4,24,.167,21,43,.488,.403,12,13,.923,9,23,32,15,5,1,14,11,36,67,.537,6,15,.400,30,52,.577,.582,8,13,.615,7,31,38,19,11,5,12,17
21,2021-03-11,N,Kent State,CTOURN,W,85,63,"",30,51,.588,9,18,.500,21,33,.636,.676,16,24,.667,7,24,31,15,8,0,14,19,20,52,.385,7,23,.304,13,29,.448,.452,16,20,.800,6,18,24,11,7,0,16,20
22,2021-03-12,N,Toledo,CTOURN,W,87,80,"",35,72,.486,9,25,.360,26,47,.553,.549,8,14,.571,14,24,38,18,3,0,12,12,31,65,.477,6,29,.207,25,36,.694,.523,12,14,.857,10,20,30,13,5,2,12,16
23,2021-03-13,N,Buffalo,CTOURN,W,84,69,"",29,58,.500,8,15,.533,21,43,.488,.569,18,23,.783,6,23,29,17,9,2,9,18,22,64,.344,5,19,.263,17,45,.378,.383,20,27,.741,14,21,35,7,2,5,14,20
