Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2020-12-02,N,Missouri,REG (Non-Conf),L,75,83,"",26,63,.413,7,21,.333,19,42,.452,.468,16,21,.762,11,26,37,12,5,4,10,17,30,65,.462,9,31,.290,21,34,.618,.531,14,17,.824,8,27,35,17,5,3,7,19
2,2020-12-04,N,Seton Hall,REG (Non-Conf),W,83,70,"",31,58,.534,9,21,.429,22,37,.595,.612,12,20,.600,11,26,37,17,10,4,13,13,24,52,.462,14,24,.583,10,28,.357,.596,8,12,.667,4,18,22,18,9,4,15,14
3,2020-12-07,"",Eastern Washington,REG (Non-Conf),W,69,52,"",28,63,.444,8,21,.381,20,42,.476,.508,5,8,.625,7,36,43,14,5,5,14,16,19,57,.333,5,26,.192,14,31,.452,.377,9,15,.600,2,27,29,9,5,4,11,10
4,2020-12-09,"",Florida A&M,REG (Non-Conf),W,87,66,"",38,63,.603,6,23,.261,32,40,.800,.651,5,9,.556,8,23,31,20,10,6,15,16,25,60,.417,3,15,.200,22,45,.489,.442,13,18,.722,12,18,30,14,7,0,19,14
5,2020-12-12,@,Washington,REG (Conf),W,74,71,"",25,65,.385,4,19,.211,21,46,.457,.415,20,27,.741,17,21,38,13,9,2,12,16,27,59,.458,7,19,.368,20,40,.500,.517,10,10,1.000,7,21,28,10,5,5,16,20
6,2020-12-17,"",San Francisco,REG (Non-Conf),W,74,64,"",27,60,.450,4,19,.211,23,41,.561,.483,16,23,.696,9,27,36,7,7,2,12,14,22,60,.367,8,35,.229,14,25,.560,.433,12,16,.750,7,22,29,10,6,4,13,20
7,2020-12-19,"",Portland,REG (Non-Conf),W,80,41,"",32,56,.571,8,21,.381,24,35,.686,.643,8,11,.727,8,31,39,21,10,10,19,16,12,56,.214,3,19,.158,9,37,.243,.241,14,16,.875,8,14,22,4,9,2,18,13
8,2020-12-31,"",California,REG (Conf),W,82,69,"",28,61,.459,11,26,.423,17,35,.486,.549,15,21,.714,9,22,31,11,9,3,9,19,21,47,.447,10,25,.400,11,22,.500,.553,17,22,.773,4,26,30,10,2,0,16,21
9,2021-01-02,"",Stanford,REG (Conf),W,73,56,"",28,66,.424,13,33,.394,15,33,.455,.523,4,7,.571,6,27,33,15,11,4,11,18,21,52,.404,3,18,.167,18,34,.529,.433,11,17,.647,1,32,33,10,7,4,17,13
10,2021-01-07,@,Colorado,REG (Conf),L,72,79,"",29,61,.475,7,19,.368,22,42,.524,.533,7,10,.700,7,18,25,11,6,2,14,16,29,63,.460,7,27,.259,22,36,.611,.516,14,15,.933,12,26,38,12,5,4,13,17
11,2021-01-09,@,Utah,REG (Conf),W,79,73,"",28,62,.452,10,22,.455,18,40,.450,.532,13,16,.813,6,18,24,15,10,6,7,16,29,52,.558,6,17,.353,23,35,.657,.615,9,12,.750,7,25,32,20,2,6,16,19
