Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2020-11-25,"",Radford,REG (Non-Conf),W,77,62,"",29,60,.483,11,26,.423,18,34,.529,.575,8,11,.727,5,22,27,18,4,4,10,18,21,53,.396,6,17,.353,15,36,.417,.453,14,21,.667,6,22,28,10,6,1,15,11
2,2020-11-28,N,Villanova,REG (Non-Conf),W,81,73,OT,27,57,.474,10,20,.500,17,37,.459,.561,17,23,.739,8,28,36,14,2,2,13,19,26,61,.426,9,25,.360,17,36,.472,.500,12,17,.706,6,23,29,11,2,4,8,23
3,2020-11-29,N,South Florida,REG (Non-Conf),W,76,58,"",27,50,.540,5,16,.313,22,34,.647,.590,17,21,.810,6,22,28,11,3,2,11,19,20,53,.377,3,10,.300,17,43,.395,.406,15,20,.750,7,15,22,5,5,0,12,23
4,2020-12-03,"",VMI,REG (Non-Conf),W,64,57,"",21,60,.350,4,27,.148,17,33,.515,.383,18,27,.667,14,30,44,11,3,2,10,13,21,57,.368,7,24,.292,14,33,.424,.430,8,12,.667,5,19,24,9,4,5,8,20
5,2020-12-08,"",Penn State,REG (Non-Conf),L,55,75,"",20,54,.370,6,22,.273,14,32,.438,.426,9,18,.500,13,23,36,8,1,3,14,12,30,60,.500,12,23,.522,18,37,.486,.600,3,8,.375,8,25,33,15,6,6,4,17
6,2020-12-15,"",Clemson,REG (Conf),W,66,60,"",18,44,.409,5,16,.313,13,28,.464,.466,25,31,.806,4,25,29,9,2,4,14,17,19,50,.380,10,25,.400,9,25,.360,.480,12,14,.857,3,20,23,10,7,6,13,24
7,2020-12-19,"",Coppin State,REG (Non-Conf),W,97,57,"",30,58,.517,20,37,.541,10,21,.476,.690,17,24,.708,10,29,39,20,5,5,18,23,20,55,.364,5,26,.192,15,29,.517,.409,12,27,.444,8,17,25,10,11,1,16,20
8,2020-12-21,"",Longwood,REG (Non-Conf),W,84,58,"",31,63,.492,10,32,.313,21,31,.677,.571,12,19,.632,13,23,36,19,9,4,8,11,24,55,.436,4,17,.235,20,38,.526,.473,6,9,.667,6,19,25,11,2,2,14,16
9,2020-12-29,"",Miami (FL),REG (Conf),W,80,78,"",29,62,.468,9,23,.391,20,39,.513,.540,13,21,.619,8,19,27,14,12,4,11,11,30,56,.536,10,25,.400,20,31,.645,.625,8,10,.800,4,28,32,20,7,2,19,19
10,2021-01-06,@,Louisville,REG (Conf),L,71,73,"",23,54,.426,9,30,.300,14,24,.583,.509,16,20,.800,6,23,29,10,7,1,10,18,26,55,.473,6,16,.375,20,39,.513,.527,15,20,.750,9,27,36,8,7,1,12,17
11,2021-01-10,"",Notre Dame,REG (Conf),W,77,63,"",29,64,.453,7,23,.304,22,41,.537,.508,12,16,.750,13,25,38,8,6,2,9,22,18,48,.375,6,23,.261,12,25,.480,.438,21,26,.808,6,18,24,11,4,4,12,15
12,2021-01-12,"",Duke,REG (Conf),W,74,67,"",28,56,.500,6,14,.429,22,42,.524,.554,12,19,.632,5,27,32,16,3,5,10,16,24,60,.400,8,29,.276,16,31,.516,.467,11,15,.733,6,23,29,11,6,5,11,20
13,2021-01-17,@,Wake Forest,REG (Conf),W,64,60,"",22,46,.478,4,18,.222,18,28,.643,.522,16,23,.696,6,20,26,10,5,9,15,12,22,60,.367,7,23,.304,15,37,.405,.425,9,15,.600,9,19,28,8,10,0,13,20
14,2021-01-23,@,Syracuse,REG (Conf),L,60,78,"",20,61,.328,8,29,.276,12,32,.375,.393,12,17,.706,9,17,26,16,2,0,9,18,28,55,.509,4,13,.308,24,42,.571,.545,18,22,.818,8,26,34,11,7,8,6,14
15,2021-01-27,@,Notre Dame,REG (Conf),W,62,51,"",25,62,.403,7,25,.280,18,37,.486,.460,5,12,.417,6,38,44,13,8,7,10,17,20,56,.357,3,18,.167,17,38,.447,.384,8,14,.571,4,32,36,8,4,7,12,15
16,2021-01-30,"",Virginia,REG (Conf),W,65,51,"",22,44,.500,9,18,.500,13,26,.500,.602,12,14,.857,4,26,30,13,2,4,11,8,19,52,.365,10,28,.357,9,24,.375,.462,3,4,.750,5,18,23,9,6,1,8,16
17,2021-02-03,@,Pittsburgh,REG (Conf),L,72,83,"",25,61,.410,9,30,.300,16,31,.516,.484,13,16,.813,9,21,30,19,2,5,7,21,26,52,.500,9,23,.391,17,29,.586,.587,22,25,.880,4,28,32,13,6,2,7,18
18,2021-02-06,@,Miami (FL),REG (Conf),W,80,76,OT,30,63,.476,8,23,.348,22,40,.550,.540,12,15,.800,5,24,29,25,7,5,8,15,24,58,.414,6,20,.300,18,38,.474,.466,22,26,.846,5,28,33,12,5,2,11,12
19,2021-02-23,"",Georgia Tech,REG (Conf),L,53,69,"",19,46,.413,5,14,.357,14,32,.438,.467,10,14,.714,10,18,28,12,1,3,15,15,26,50,.520,8,20,.400,18,30,.600,.600,9,14,.643,5,16,21,14,9,3,6,12
20,2021-02-27,"",Wake Forest,REG (Conf),W,84,46,"",31,58,.534,13,24,.542,18,34,.529,.647,9,16,.563,6,30,36,19,9,10,9,14,15,55,.273,10,32,.313,5,23,.217,.364,6,13,.462,8,22,30,9,2,3,17,14
21,2021-03-11,N,North Carolina,CTOURN,L,73,81,"",28,60,.467,8,18,.444,20,42,.476,.533,9,16,.563,5,25,30,17,7,2,10,19,28,63,.444,8,21,.381,20,42,.476,.508,17,27,.630,14,27,41,12,7,7,10,17
