Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2021-11-09,"",Bellarmine,REG (Non-Conf),W,96,67,"",28,56,.500,16,36,.444,12,20,.600,.643,24,29,.828,13,27,40,21,7,3,12,13,24,59,.407,12,35,.343,12,24,.500,.508,7,8,.875,7,12,19,15,5,1,10,20
2,2021-11-12,"",Indiana State,REG (Non-Conf),W,92,67,"",31,58,.534,8,20,.400,23,38,.605,.603,22,32,.688,11,29,40,19,6,8,12,14,25,64,.391,6,26,.231,19,38,.500,.438,11,14,.786,8,18,26,14,4,0,11,25
3,2021-11-16,"",Wright State,REG (Non-Conf),W,96,52,"",35,67,.522,11,28,.393,24,39,.615,.604,15,21,.714,18,35,53,18,9,4,17,15,18,59,.305,5,26,.192,13,33,.394,.347,11,14,.786,6,17,23,8,6,0,15,17
4,2021-11-20,N,North Carolina,REG (Non-Conf),W,93,84,"",34,61,.557,10,23,.435,24,38,.632,.639,15,22,.682,1,27,28,21,6,2,9,16,31,69,.449,12,29,.414,19,40,.475,.536,10,12,.833,8,24,32,13,3,5,14,20
5,2021-11-21,N,Villanova,REG (Non-Conf),W,80,74,"",29,55,.527,10,23,.435,19,32,.594,.618,12,14,.857,9,23,32,17,4,1,11,18,26,58,.448,13,34,.382,13,24,.542,.560,9,17,.529,7,13,20,15,4,2,4,15
6,2021-11-26,"",Omaha,REG (Non-Conf),W,97,40,"",34,59,.576,9,17,.529,25,42,.595,.653,20,24,.833,12,39,51,19,4,6,12,6,17,63,.270,5,28,.179,12,35,.343,.310,1,2,.500,7,13,20,8,6,2,9,14
7,2021-11-30,"",Florida State,REG (Non-Conf),W,93,65,"",35,59,.593,12,25,.480,23,34,.676,.695,11,14,.786,10,24,34,23,5,5,13,8,26,63,.413,8,24,.333,18,39,.462,.476,5,6,.833,8,14,22,12,7,1,13,17
8,2021-12-03,"",Iowa,REG (Conf),W,77,70,"",21,50,.420,8,19,.421,13,31,.419,.500,27,37,.730,8,32,40,14,5,2,15,18,25,62,.403,5,21,.238,20,41,.488,.444,15,22,.682,5,22,27,12,6,0,9,29
9,2021-12-09,@,Rutgers,REG (Conf),L,68,70,"",25,61,.410,7,26,.269,18,35,.514,.467,11,16,.688,13,17,30,10,8,2,12,17,25,48,.521,7,14,.500,18,34,.529,.594,13,18,.722,3,19,22,18,8,2,15,19
10,2021-12-12,N,NC State,REG (Non-Conf),W,82,72,OT,30,60,.500,5,21,.238,25,39,.641,.542,17,25,.680,9,27,36,18,6,9,14,16,26,62,.419,8,21,.381,18,41,.439,.484,12,15,.800,5,22,27,10,7,3,13,23
11,2021-12-18,N,Butler,REG (Non-Conf),W,77,48,"",27,51,.529,11,22,.500,16,29,.552,.637,12,14,.857,10,30,40,17,4,5,10,15,19,59,.322,4,28,.143,15,31,.484,.356,6,14,.429,11,13,24,10,5,2,7,15
12,2021-12-20,"",Incarnate Word,REG (Non-Conf),W,79,59,"",30,66,.455,11,32,.344,19,34,.559,.538,8,15,.533,19,24,43,18,6,3,11,14,22,54,.407,12,27,.444,10,27,.370,.519,3,5,.600,4,16,20,14,5,2,11,17
13,2021-12-29,"",Nicholls State,REG (Non-Conf),W,104,90,"",35,61,.574,14,29,.483,21,32,.656,.689,20,27,.741,9,26,35,30,3,6,8,13,35,73,.479,16,35,.457,19,38,.500,.589,4,9,.444,11,18,29,18,4,4,10,27
14,2022-01-03,"",Wisconsin,REG (Conf),L,69,74,"",23,56,.411,8,20,.400,15,36,.417,.482,15,24,.625,10,24,34,19,2,0,12,17,27,60,.450,6,24,.250,21,36,.583,.500,14,19,.737,8,24,32,13,5,2,7,22
15,2022-01-08,@,Penn State,REG (Conf),W,74,67,"",28,58,.483,9,24,.375,19,34,.559,.560,9,13,.692,10,19,29,14,6,2,8,14,26,55,.473,8,22,.364,18,33,.545,.545,7,11,.636,8,20,28,14,6,4,9,13
16,2022-01-14,"",Nebraska,REG (Conf),W,92,65,"",32,65,.492,9,29,.310,23,36,.639,.562,19,27,.704,14,27,41,19,7,5,10,16,26,57,.456,8,19,.421,18,38,.474,.526,5,13,.385,7,22,29,14,6,1,17,21
17,2022-01-17,@,Illinois,REG (Conf),W,96,88,2OT,31,68,.456,8,18,.444,23,50,.460,.515,26,32,.813,9,33,42,13,3,3,12,15,32,77,.416,12,33,.364,20,44,.455,.494,12,15,.800,5,30,35,15,5,2,6,23
18,2022-01-20,@,Indiana,REG (Conf),L,65,68,"",25,54,.463,8,23,.348,17,31,.548,.537,7,17,.412,5,29,34,12,0,2,12,18,24,56,.429,6,20,.300,18,36,.500,.482,14,24,.583,3,23,26,6,9,4,2,16
19,2022-01-23,"",Northwestern,REG (Conf),W,80,60,"",29,56,.518,12,29,.414,17,27,.630,.625,10,13,.769,10,22,32,19,5,0,9,13,22,50,.440,9,26,.346,13,24,.542,.530,7,9,.778,4,15,19,12,5,2,10,16
20,2022-01-27,@,Iowa,REG (Conf),W,83,73,"",30,49,.612,13,22,.591,17,27,.630,.745,10,22,.455,6,26,32,21,7,2,13,17,24,64,.375,8,27,.296,16,37,.432,.438,17,18,.944,12,16,28,10,8,2,8,20
21,2022-01-30,"",Ohio State,REG (Conf),W,81,78,"",29,60,.483,8,17,.471,21,43,.488,.550,15,26,.577,12,21,33,17,4,4,10,12,29,63,.460,9,29,.310,20,34,.588,.532,11,14,.786,9,18,27,16,6,4,6,22
22,2022-02-02,@,Minnesota,REG (Conf),W,88,73,"",35,63,.556,12,24,.500,23,39,.590,.651,6,8,.750,9,30,39,23,2,5,7,15,27,58,.466,11,22,.500,16,36,.444,.560,8,12,.667,3,16,19,16,4,3,5,15
23,2022-02-05,"",Michigan,REG (Conf),W,82,76,"",30,58,.517,5,18,.278,25,40,.625,.560,17,21,.810,11,20,31,17,7,3,6,10,29,52,.558,8,18,.444,21,34,.618,.635,10,12,.833,2,16,18,17,3,3,11,17
24,2022-02-08,"",Illinois,REG (Conf),W,84,68,"",31,61,.508,9,22,.409,22,39,.564,.582,13,18,.722,8,22,30,16,5,5,9,16,24,58,.414,8,26,.308,16,32,.500,.483,12,15,.800,7,19,26,13,4,2,9,20
