Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2021-11-09,@,VCU,REG (Non-Conf),L,54,57,"",18,58,.310,7,21,.333,11,37,.297,.371,11,14,.786,10,25,35,11,11,2,19,24,18,43,.419,2,14,.143,16,29,.552,.442,19,27,.704,4,26,30,12,10,12,19,15
2,2021-11-13,@,St. John's (NY),REG (Non-Conf),L,70,91,"",26,63,.413,7,21,.333,19,42,.452,.468,11,20,.550,11,23,34,14,6,4,15,20,30,59,.508,13,29,.448,17,30,.567,.619,18,22,.818,8,25,33,20,10,7,15,17
3,2021-11-23,"",LIU,REG (Non-Conf),W,64,62,"",22,56,.393,6,18,.333,16,38,.421,.446,14,23,.609,6,25,31,14,9,5,23,28,16,46,.348,6,19,.316,10,27,.370,.413,24,37,.649,5,31,36,9,10,11,22,23
4,2021-11-27,@,Providence,REG (Non-Conf),L,71,85,"",27,59,.458,6,18,.333,21,41,.512,.508,11,15,.733,9,9,18,15,11,0,7,23,25,39,.641,6,13,.462,19,26,.731,.718,29,31,.935,5,24,29,17,4,5,15,12
5,2021-12-03,@,Quinnipiac,REG (Conf),W,69,59,"",20,51,.392,8,22,.364,12,29,.414,.471,21,33,.636,9,30,39,13,7,4,13,17,20,62,.323,5,22,.227,15,40,.375,.363,14,20,.700,13,25,38,9,8,2,13,22
6,2021-12-05,"",Siena,REG (Conf),L,58,60,"",23,49,.469,2,9,.222,21,40,.525,.490,10,19,.526,2,25,27,10,12,5,15,16,22,48,.458,8,15,.533,14,33,.424,.542,8,13,.615,3,25,28,6,10,6,19,16
7,2021-12-08,"",St. Francis Brooklyn,REG (Non-Conf),L,60,71,"",18,54,.333,2,14,.143,16,40,.400,.352,22,31,.710,13,23,36,12,7,5,15,24,21,49,.429,6,17,.353,15,32,.469,.490,23,31,.742,6,24,30,11,9,6,13,23
8,2021-12-12,"","",REG (Non-Conf),W,87,48,"",34,59,.576,9,19,.474,25,40,.625,.653,10,16,.625,15,30,45,19,6,6,9,16,16,57,.281,6,23,.261,10,34,.294,.333,10,16,.625,8,12,20,8,6,1,9,13
9,2021-12-18,@,Stony Brook,REG (Non-Conf),L,63,64,"",24,55,.436,5,20,.250,19,35,.543,.482,10,15,.667,8,29,37,13,6,5,18,18,22,63,.349,5,26,.192,17,37,.459,.389,15,19,.789,10,21,31,11,10,5,9,13
10,2022-01-14,"",Monmouth,REG (Conf),W,67,62,"",20,61,.328,7,20,.350,13,41,.317,.385,20,29,.690,17,21,38,9,8,4,7,22,21,52,.404,3,13,.231,18,39,.462,.433,17,24,.708,9,24,33,11,2,4,12,23
11,2022-01-16,@,Rider,REG (Conf),W,58,51,"",22,54,.407,4,17,.235,18,37,.486,.444,10,15,.667,9,19,28,11,13,4,15,17,20,54,.370,2,11,.182,18,43,.419,.389,9,11,.818,10,22,32,10,10,3,18,17
12,2022-01-18,"",Canisius,REG (Conf),W,65,57,"",20,60,.333,3,12,.250,17,48,.354,.358,22,28,.786,12,22,34,8,6,9,7,19,17,47,.362,5,17,.294,12,30,.400,.415,18,26,.692,6,29,35,12,3,2,17,27
13,2022-01-21,@,Niagara,REG (Conf),W,74,68,OT,25,58,.431,8,20,.400,17,38,.447,.500,16,19,.842,10,21,31,15,10,2,12,22,22,53,.415,9,25,.360,13,28,.464,.500,15,20,.750,10,23,33,16,5,4,17,21
14,2022-01-23,@,Canisius,REG (Conf),L,60,63,"",21,57,.368,4,15,.267,17,42,.405,.404,14,21,.667,13,24,37,10,5,2,11,18,19,45,.422,8,19,.421,11,26,.423,.511,17,24,.708,8,18,26,10,5,5,14,16
15,2022-01-26,@,Marist,REG (Conf),W,69,62,"",20,47,.426,9,20,.450,11,27,.407,.521,20,26,.769,7,32,39,13,5,1,13,13,26,65,.400,4,27,.148,22,38,.579,.431,6,8,.750,8,21,29,10,7,4,8,15
16,2022-01-28,"",Manhattan,REG (Conf),W,77,51,"",30,56,.536,8,21,.381,22,35,.629,.607,9,11,.818,10,21,31,17,9,3,12,17,19,49,.388,2,12,.167,17,37,.459,.408,11,14,.786,6,13,19,5,6,4,11,11
17,2022-01-30,@,Iona,REG (Conf),L,77,85,"",26,56,.464,10,15,.667,16,41,.390,.554,15,21,.714,6,21,27,14,6,3,13,27,28,54,.519,6,16,.375,22,38,.579,.574,23,31,.742,10,25,35,18,5,9,14,22
18,2022-02-04,"",Quinnipiac,REG (Conf),W,83,74,"",27,52,.519,9,15,.600,18,37,.486,.606,20,26,.769,7,28,35,20,5,15,15,19,22,59,.373,10,25,.400,12,34,.353,.458,20,26,.769,7,21,28,15,6,3,13,22
19,2022-02-06,"",Marist,REG (Conf),W,66,50,"",24,51,.471,8,16,.500,16,35,.457,.549,10,11,.909,8,21,29,14,9,6,15,13,18,46,.391,4,20,.200,14,26,.538,.435,10,13,.769,6,16,22,6,8,8,14,8
20,2022-02-11,"",Rider,REG (Conf),L,49,58,"",17,52,.327,5,18,.278,12,34,.353,.375,10,14,.714,6,31,37,8,5,8,17,21,21,60,.350,3,15,.200,18,45,.400,.375,13,22,.591,12,26,38,10,11,6,12,14
21,2022-02-15,"",Iona,REG (Conf),L,61,70,"",22,55,.400,2,7,.286,20,48,.417,.418,15,24,.625,9,24,33,9,5,4,11,20,23,59,.390,6,22,.273,17,37,.459,.441,18,24,.750,11,26,37,13,6,11,9,22
22,2022-02-18,@,Fairfield,REG (Conf),W,70,59,"",26,55,.473,7,13,.538,19,42,.452,.536,11,17,.647,11,27,38,11,5,6,15,23,19,54,.352,6,27,.222,13,27,.481,.407,15,23,.652,8,18,26,9,8,6,9,18
23,2022-02-20,@,Siena,REG (Conf),L,70,84,"",28,57,.491,4,13,.308,24,44,.545,.526,10,19,.526,12,18,30,12,8,3,14,21,28,53,.528,10,22,.455,18,31,.581,.623,18,19,.947,5,20,25,11,8,3,12,17
24,2022-02-25,@,Monmouth,REG (Conf),W,70,65,"",26,54,.481,5,15,.333,21,39,.538,.528,13,23,.565,13,24,37,12,4,3,14,22,21,48,.438,9,19,.474,12,29,.414,.531,14,23,.609,6,15,21,10,9,1,10,24
25,2022-02-27,"",Niagara,REG (Conf),W,63,36,"",27,57,.474,3,20,.150,24,37,.649,.500,6,11,.545,11,35,46,15,3,5,8,13,13,54,.241,3,15,.200,10,39,.256,.269,7,11,.636,5,16,21,6,5,1,9,13
26,2022-03-01,@,Manhattan,REG (Conf),W,73,51,"",25,50,.500,4,16,.250,21,34,.618,.540,19,27,.704,8,21,29,9,10,6,14,19,17,55,.309,6,19,.316,11,36,.306,.364,11,19,.579,13,18,31,10,6,3,19,24
27,2022-03-05,"",Fairfield,REG (Conf),W,57,41,"",20,50,.400,5,14,.357,15,36,.417,.450,12,18,.667,5,28,33,12,8,13,12,16,15,58,.259,4,22,.182,11,36,.306,.293,7,14,.500,8,25,33,4,4,5,11,15
28,2022-03-09,N,Fairfield,CTOURN,W,77,63,"",27,54,.500,5,13,.385,22,41,.537,.546,18,26,.692,9,22,31,8,5,3,9,19,19,50,.380,5,18,.278,14,32,.438,.430,20,22,.909,4,22,26,5,6,2,7,20
29,2022-03-11,N,Quinnipiac,CTOURN,W,64,52,"",23,55,.418,7,17,.412,16,38,.421,.482,11,16,.688,6,28,34,9,12,6,10,14,17,51,.333,4,16,.250,13,35,.371,.373,14,19,.737,4,24,28,12,5,4,14,19
30,2022-03-12,N,Monmouth,CTOURN,W,60,54,"",19,46,.413,7,20,.350,12,26,.462,.489,15,21,.714,6,25,31,9,2,6,12,24,12,51,.235,3,19,.158,9,32,.281,.265,27,33,.818,11,24,35,7,9,3,9,20
