Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2021-11-09,"","",REG (Non-Conf),W,86,53,"",29,70,.414,7,24,.292,22,46,.478,.464,21,26,.808,12,36,48,15,6,5,9,10,20,68,.294,7,33,.212,13,35,.371,.346,6,8,.750,7,28,35,10,5,2,16,23
2,2021-11-12,@,Marshall,REG (Non-Conf),L,88,96,"",29,67,.433,8,22,.364,21,45,.467,.493,22,28,.786,5,24,29,14,9,2,17,26,33,63,.524,8,26,.308,25,37,.676,.587,22,27,.815,6,33,39,19,9,9,21,26
3,2021-11-16,@,Purdue,REG (Non-Conf),L,52,96,"",18,59,.305,5,26,.192,13,33,.394,.347,11,14,.786,6,17,23,8,6,0,15,17,35,67,.522,11,28,.393,24,39,.615,.604,15,21,.714,18,35,53,18,9,4,17,15
4,2021-11-22,N,George Washington,REG (Non-Conf),L,63,74,"",23,65,.354,3,23,.130,20,42,.476,.377,14,18,.778,14,23,37,11,6,6,13,16,29,61,.475,6,20,.300,23,41,.561,.525,10,19,.526,12,25,37,12,9,5,9,17
5,2021-11-23,N,James Madison,REG (Non-Conf),L,76,78,"",30,56,.536,4,18,.222,26,38,.684,.571,12,17,.706,6,25,31,17,5,3,17,17,31,70,.443,4,16,.250,27,54,.500,.471,12,16,.750,13,19,32,12,11,1,10,18
6,2021-11-24,N,Long Beach State,REG (Non-Conf),L,76,85,"",23,61,.377,6,21,.286,17,40,.425,.426,24,30,.800,6,18,24,11,8,4,11,18,30,58,.517,5,17,.294,25,41,.610,.560,20,24,.833,5,28,33,7,4,6,14,24
7,2021-12-02,@,Purdue Fort Wayne,REG (Conf),W,86,73,"",36,52,.692,5,12,.417,31,40,.775,.740,9,10,.900,3,27,30,15,5,6,14,12,24,60,.400,9,32,.281,15,28,.536,.475,16,16,1.000,8,12,20,13,10,2,8,13
8,2021-12-04,@,Cleveland State,REG (Conf),L,75,85,"",25,59,.424,7,21,.333,18,38,.474,.483,18,22,.818,10,21,31,14,3,4,14,15,32,58,.552,9,18,.500,23,40,.575,.629,12,18,.667,6,26,32,22,10,3,11,21
9,2021-12-15,"",Akron,REG (Non-Conf),L,48,66,"",19,51,.373,3,15,.200,16,36,.444,.402,7,12,.583,6,18,24,4,6,2,10,10,25,54,.463,9,23,.391,16,31,.516,.546,7,10,.700,7,27,34,11,6,1,12,15
10,2021-12-18,"",Tennessee Tech,REG (Non-Conf),W,72,63,"",24,50,.480,7,20,.350,17,30,.567,.550,17,22,.773,1,29,30,14,5,1,14,11,27,67,.403,7,21,.333,20,46,.435,.455,2,5,.400,9,25,34,10,8,1,12,17
