Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2022-11-07,"",Longwood,REG (Non-Conf),W,75,54,"",27,69,.391,3,28,.107,24,41,.585,.413,18,26,.692,19,43,62,10,6,9,19,18,19,71,.268,5,13,.385,14,58,.241,.303,11,19,.579,12,23,35,8,8,3,9,22
2,2022-11-11,"",Liberty,REG (Non-Conf),W,95,59,"",27,52,.519,10,22,.455,17,30,.567,.615,31,38,.816,11,31,42,14,8,6,15,23,18,55,.327,8,29,.276,10,26,.385,.400,15,20,.750,3,14,17,13,6,1,13,25
3,2022-11-15,@,South Alabama,REG (Non-Conf),W,65,55,"",22,68,.324,10,35,.286,12,33,.364,.397,11,20,.550,24,34,58,11,4,9,20,18,21,71,.296,2,23,.087,19,48,.396,.310,11,18,.611,13,23,36,4,7,5,9,16
4,2022-11-18,"",Jacksonville State,REG (Non-Conf),W,104,62,"",34,66,.515,21,46,.457,13,20,.650,.674,15,21,.714,17,28,45,23,6,5,13,20,19,54,.352,9,24,.375,10,30,.333,.435,15,21,.714,7,15,22,9,6,0,13,21
5,2022-11-24,N,Michigan State,REG (Non-Conf),W,81,70,"",28,63,.444,8,23,.348,20,40,.500,.508,17,24,.708,11,29,40,19,6,5,10,20,24,62,.387,4,14,.286,20,48,.417,.419,18,25,.720,10,26,36,9,5,5,11,22
6,2022-11-25,N,Connecticut,REG (Non-Conf),L,67,82,"",21,50,.420,6,16,.375,15,34,.441,.480,19,25,.760,7,25,32,10,4,6,19,23,26,60,.433,9,24,.375,17,36,.472,.508,21,24,.875,8,22,30,18,8,7,11,23
7,2022-11-27,N,North Carolina,REG (Non-Conf),W,103,101,4OT,37,90,.411,16,38,.421,21,52,.404,.500,13,21,.619,14,35,49,21,6,6,21,22,38,91,.418,7,23,.304,31,68,.456,.456,18,20,.900,13,36,49,15,12,10,18,23
8,2022-12-03,"",South Dakota State,REG (Non-Conf),W,78,65,"",27,68,.397,13,40,.325,14,28,.500,.493,11,15,.733,14,29,43,20,5,5,10,14,26,61,.426,6,20,.300,20,41,.488,.475,7,11,.636,5,28,33,9,6,3,11,16
9,2022-12-10,@,Houston,REG (Non-Conf),W,71,65,"",22,54,.407,7,23,.304,15,31,.484,.472,20,32,.625,10,30,40,9,6,3,15,20,25,64,.391,3,13,.231,22,51,.431,.414,12,22,.545,12,25,37,7,7,8,10,24
10,2022-12-13,"",Memphis,REG (Non-Conf),W,91,88,"",26,54,.481,10,27,.370,16,27,.593,.574,29,40,.725,10,29,39,17,4,7,19,19,34,79,.430,1,12,.083,33,67,.493,.437,19,25,.760,13,21,34,10,13,2,10,28
