Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2022-11-07,"",North Dakota State,REG (Non-Conf),W,76,58,"",28,57,.491,4,10,.400,24,47,.511,.526,16,23,.696,4,31,35,10,11,4,11,19,19,56,.339,5,21,.238,14,35,.400,.384,15,23,.652,7,25,32,7,5,2,14,16
2,2022-11-11,"",Fordham,REG (Non-Conf),W,74,48,"",30,65,.462,2,16,.125,28,49,.571,.477,12,18,.667,14,21,35,17,13,4,12,19,17,45,.378,4,17,.235,13,28,.464,.422,10,17,.588,8,18,26,7,4,0,27,17
3,2022-11-16,"",South Dakota State,REG (Non-Conf),W,71,56,"",28,61,.459,7,22,.318,21,39,.538,.516,8,15,.533,9,32,41,17,14,4,20,19,18,56,.321,3,16,.188,15,40,.375,.348,17,20,.850,6,25,31,9,8,2,19,14
4,2022-11-21,N,Louisville,REG (Non-Conf),W,80,54,"",29,51,.569,8,22,.364,21,29,.724,.647,14,19,.737,6,19,25,20,10,3,16,23,16,44,.364,4,12,.333,12,32,.375,.409,18,25,.720,4,16,20,4,4,1,22,16
5,2022-11-22,N,Creighton,REG (Non-Conf),L,87,90,"",33,70,.471,8,20,.400,25,50,.500,.529,13,17,.765,7,18,25,15,8,5,9,21,31,53,.585,7,14,.500,24,39,.615,.651,21,29,.724,5,28,33,17,5,3,16,16
6,2022-11-23,N,San Diego State,REG (Non-Conf),W,78,74,OT,24,60,.400,3,17,.176,21,43,.488,.425,27,38,.711,10,27,37,8,9,3,13,20,27,62,.435,2,18,.111,25,44,.568,.452,18,23,.783,3,26,29,8,9,2,14,23
7,2022-11-28,"",Troy,REG (Non-Conf),W,74,61,"",27,51,.529,3,11,.273,24,40,.600,.559,17,23,.739,9,22,31,4,8,5,15,12,24,56,.429,9,28,.321,15,28,.536,.509,4,8,.500,5,16,21,10,6,3,18,19
8,2022-12-03,"",San Jose State,REG (Non-Conf),W,99,58,"",37,59,.627,8,13,.615,29,46,.630,.695,17,21,.810,7,24,31,22,8,5,11,12,23,57,.404,6,19,.316,17,38,.447,.456,6,11,.545,9,16,25,8,6,3,18,19
9,2022-12-06,"",UNC Greensboro,REG (Non-Conf),W,65,58,"",18,54,.333,3,18,.167,15,36,.417,.361,26,33,.788,5,39,44,9,6,9,12,14,21,67,.313,9,28,.321,12,39,.308,.381,7,11,.636,5,29,34,13,8,3,9,26
10,2022-12-10,N,Oklahoma,REG (Non-Conf),W,88,78,"",35,59,.593,4,12,.333,31,47,.660,.627,14,19,.737,8,17,25,19,10,5,9,12,32,56,.571,7,15,.467,25,41,.610,.634,7,9,.778,5,17,22,15,5,1,15,17
11,2022-12-17,"",Bradley,REG (Non-Conf),W,76,57,"",25,51,.490,4,11,.364,21,40,.525,.529,22,31,.710,7,18,25,13,16,5,11,19,18,45,.400,4,15,.267,14,30,.467,.444,17,21,.810,8,24,32,8,8,2,24,22
12,2022-12-21,"",UNC Asheville,REG (Non-Conf),W,85,51,"",32,60,.533,5,13,.385,27,47,.574,.575,16,22,.727,9,23,32,20,15,6,9,19,20,50,.400,2,12,.167,18,38,.474,.420,9,18,.500,7,18,25,9,3,4,20,17
13,2022-12-28,@,Louisiana State,REG (Conf),L,57,60,"",24,65,.369,4,25,.160,20,40,.500,.400,5,10,.500,13,29,42,7,8,5,10,14,25,62,.403,4,17,.235,21,45,.467,.435,6,12,.500,8,27,35,9,6,3,10,13
14,2023-01-04,"",Missouri,REG (Conf),W,74,68,"",26,54,.481,6,21,.286,20,33,.606,.537,16,23,.696,13,24,37,13,7,4,16,19,24,54,.444,6,19,.316,18,35,.514,.500,14,21,.667,8,14,22,12,7,2,9,23
15,2023-01-07,@,Auburn,REG (Conf),L,59,72,"",19,56,.339,2,16,.125,17,40,.425,.357,19,32,.594,15,27,42,9,4,5,13,21,24,55,.436,7,21,.333,17,34,.500,.500,17,22,.773,7,23,30,13,8,7,8,20
16,2023-01-11,"",Alabama,REG (Conf),L,69,84,"",26,61,.426,2,10,.200,24,51,.471,.443,15,23,.652,8,25,33,9,6,4,14,23,25,54,.463,9,20,.450,16,34,.471,.546,25,36,.694,5,28,33,11,8,5,13,22
17,2023-01-14,@,Vanderbilt,REG (Conf),L,84,97,"",31,63,.492,7,18,.389,24,45,.533,.548,15,24,.625,11,14,25,11,3,6,11,30,29,56,.518,10,18,.556,19,38,.500,.607,29,36,.806,12,19,31,10,5,5,8,20
18,2023-01-18,@,Missouri,REG (Conf),L,76,79,"",23,50,.460,7,17,.412,16,33,.485,.530,23,26,.885,11,27,38,12,6,2,21,33,22,49,.449,5,20,.250,17,29,.586,.500,30,40,.750,7,11,18,8,13,2,11,23
19,2023-01-21,"",Ole Miss,REG (Conf),W,69,57,"",26,57,.456,8,20,.400,18,37,.486,.526,9,17,.529,6,22,28,14,12,4,11,16,23,52,.442,5,13,.385,18,39,.462,.490,6,13,.462,4,21,25,12,6,6,17,17
20,2023-01-24,"",Louisiana State,REG (Conf),W,60,40,"",23,51,.451,5,13,.385,18,38,.474,.500,9,12,.750,6,27,33,15,7,5,12,12,14,54,.259,1,9,.111,13,45,.289,.269,11,16,.688,11,21,32,6,5,3,14,15
21,2023-01-28,@,Baylor,REG (Non-Conf),L,64,67,"",27,53,.509,4,14,.286,23,39,.590,.547,6,11,.545,10,22,32,16,4,6,14,23,20,59,.339,6,18,.333,14,41,.341,.390,21,24,.875,11,18,29,5,7,1,8,19
22,2023-01-31,"",Texas A&M,REG (Conf),W,81,70,"",28,56,.500,6,18,.333,22,38,.579,.554,19,28,.679,11,26,37,16,7,13,16,19,26,76,.342,4,12,.333,22,64,.344,.368,14,24,.583,20,19,39,12,10,2,8,23
23,2023-02-04,@,South Carolina,REG (Conf),W,65,63,"",26,55,.473,4,15,.267,22,40,.550,.509,9,13,.692,10,21,31,11,3,5,11,14,24,58,.414,7,19,.368,17,39,.436,.474,8,14,.571,12,21,33,12,6,3,10,13
24,2023-02-07,@,Kentucky,REG (Conf),W,88,73,"",32,51,.627,4,9,.444,28,42,.667,.667,20,24,.833,4,20,24,19,10,7,11,18,29,62,.468,4,13,.308,25,49,.510,.500,11,18,.611,9,16,25,11,6,3,13,17
25,2023-02-11,"",Mississippi State,REG (Conf),L,64,70,"",21,49,.429,4,18,.222,17,31,.548,.469,18,26,.692,8,23,31,12,8,7,12,16,27,57,.474,6,10,.600,21,47,.447,.526,10,16,.625,9,22,31,15,5,2,10,21
26,2023-02-15,@,Texas A&M,REG (Conf),L,56,62,"",22,50,.440,5,16,.313,17,34,.500,.490,7,14,.500,4,25,29,17,4,6,12,23,19,54,.352,6,12,.500,13,42,.310,.407,18,22,.818,9,26,35,9,5,4,9,20
27,2023-02-18,"",Florida,REG (Conf),W,84,65,"",34,59,.576,2,10,.200,32,49,.653,.593,14,17,.824,8,29,37,8,8,6,13,12,22,59,.373,4,21,.190,18,38,.474,.407,17,21,.810,6,16,22,9,9,2,11,16
28,2023-02-21,"",Georgia,REG (Conf),W,97,65,"",37,58,.638,11,20,.550,26,38,.684,.733,12,22,.545,3,29,32,26,7,4,5,18,19,52,.365,6,18,.333,13,34,.382,.423,21,27,.778,7,20,27,6,3,1,12,19
29,2023-02-25,@,Alabama,REG (Conf),L,83,86,"",29,70,.414,5,10,.500,24,60,.400,.450,20,29,.690,9,24,33,6,12,6,11,25,29,64,.453,3,22,.136,26,42,.619,.477,25,30,.833,11,33,44,13,6,4,16,21
30,2023-02-28,@,Tennessee,REG (Conf),L,57,75,"",18,49,.367,8,22,.364,10,27,.370,.449,13,22,.591,6,19,25,8,7,4,16,21,27,54,.500,4,16,.250,23,38,.605,.537,17,25,.680,9,24,33,18,11,2,10,16
31,2023-03-04,"",Kentucky,REG (Conf),L,79,88,"",25,70,.357,7,22,.318,18,48,.375,.407,22,34,.647,15,18,33,14,9,3,6,26,29,54,.537,4,14,.286,25,40,.625,.574,26,33,.788,9,30,39,14,5,4,14,26
32,2023-03-09,N,Auburn,CTOURN,W,76,73,"",28,50,.560,3,11,.273,25,39,.641,.590,17,23,.739,13,22,35,15,8,2,18,19,25,51,.490,5,16,.313,20,35,.571,.539,18,27,.667,6,12,18,13,12,2,10,18
33,2023-03-10,N,Texas A&M,CTOURN,L,61,67,"",22,54,.407,5,20,.250,17,34,.500,.454,12,19,.632,7,18,25,11,9,11,12,20,24,57,.421,1,10,.100,23,47,.489,.430,18,24,.750,13,25,38,8,5,2,13,16
