Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2022-11-07,"",St. Thomas,REG (Non-Conf),W,72,60,"",26,66,.394,8,34,.235,18,32,.563,.455,12,14,.857,12,25,37,11,5,6,4,10,24,58,.414,9,22,.409,15,36,.417,.491,3,4,.750,5,24,29,10,4,2,12,15
2,2022-11-10,"",North Dakota,REG (Non-Conf),W,96,61,"",38,74,.514,12,27,.444,26,47,.553,.595,8,11,.727,18,28,46,21,9,2,11,8,25,54,.463,8,15,.533,17,39,.436,.537,3,6,.500,1,17,18,14,7,2,14,12
3,2022-11-14,"",Holy Cross,REG (Non-Conf),W,94,65,"",37,64,.578,12,32,.375,25,32,.781,.672,8,17,.471,8,32,40,28,6,3,8,14,25,62,.403,8,17,.471,17,45,.378,.468,7,10,.700,5,21,26,8,4,0,11,18
4,2022-11-17,"",UC Riverside,REG (Non-Conf),W,80,51,"",32,61,.525,8,21,.381,24,40,.600,.590,8,13,.615,9,32,41,13,7,4,7,10,22,62,.355,3,19,.158,19,43,.442,.379,4,6,.667,6,23,29,10,1,1,9,11
5,2022-11-21,N,Texas Tech,REG (Non-Conf),W,76,65,"",27,49,.551,9,20,.450,18,29,.621,.643,13,17,.765,6,24,30,12,3,6,13,11,27,62,.435,6,16,.375,21,46,.457,.484,5,7,.714,8,17,25,15,6,1,9,17
6,2022-11-22,N,Arkansas,REG (Non-Conf),W,90,87,"",31,53,.585,7,14,.500,24,39,.615,.651,21,29,.724,5,28,33,17,5,3,16,16,33,70,.471,8,20,.400,25,50,.500,.529,13,17,.765,7,18,25,15,8,5,9,21
7,2022-11-23,N,Arizona,REG (Non-Conf),L,79,81,"",27,59,.458,10,25,.400,17,34,.500,.542,15,19,.789,3,25,28,15,8,3,9,11,36,68,.529,5,16,.313,31,52,.596,.566,4,7,.571,7,29,36,21,7,4,12,18
8,2022-12-01,@,Texas,REG (Non-Conf),L,67,72,"",27,66,.409,4,27,.148,23,39,.590,.439,9,14,.643,8,32,40,12,3,5,8,11,31,74,.419,4,19,.211,27,55,.491,.446,6,8,.750,8,29,37,15,3,3,3,12
9,2022-12-04,"",Nebraska,REG (Non-Conf),L,53,63,"",20,65,.308,10,40,.250,10,25,.400,.385,3,5,.600,9,26,35,15,9,2,14,10,28,59,.475,3,12,.250,25,47,.532,.500,4,7,.571,4,35,39,12,8,1,13,9
10,2022-12-10,N,Brigham Young,REG (Non-Conf),L,80,83,"",23,60,.383,10,27,.370,13,33,.394,.467,24,32,.750,4,23,27,18,6,5,13,21,30,67,.448,7,24,.292,23,43,.535,.500,16,23,.696,14,34,48,21,8,6,19,28
11,2022-12-12,N,Arizona State,REG (Non-Conf),L,71,73,"",23,62,.371,11,27,.407,12,35,.343,.460,14,19,.737,10,25,35,16,4,6,7,17,27,64,.422,11,24,.458,16,40,.400,.508,8,15,.533,12,30,42,13,3,3,9,21
12,2022-12-16,@,Marquette,REG (Conf),L,58,69,"",25,54,.463,4,20,.200,21,34,.618,.500,4,5,.800,3,31,34,15,6,6,16,14,27,60,.450,6,21,.286,21,39,.538,.500,9,14,.643,3,25,28,13,10,3,10,9
13,2022-12-22,"",Butler,REG (Conf),W,78,56,"",28,50,.560,8,16,.500,20,34,.588,.640,14,20,.700,8,29,37,19,6,8,14,10,24,57,.421,2,12,.167,22,45,.489,.439,6,7,.857,4,14,18,8,6,2,9,17
14,2022-12-25,"",DePaul,REG (Conf),W,80,65,"",27,50,.540,16,29,.552,11,21,.524,.700,10,16,.625,4,34,38,17,3,2,16,10,25,73,.342,8,27,.296,17,46,.370,.397,7,9,.778,11,23,34,10,9,1,10,17
15,2023-01-03,"",Seton Hall,REG (Conf),W,83,61,"",29,57,.509,11,27,.407,18,30,.600,.605,14,17,.824,7,26,33,22,5,9,10,16,22,60,.367,5,19,.263,17,41,.415,.408,12,14,.857,9,20,29,8,3,2,12,16
16,2023-01-07,@,Connecticut,REG (Conf),L,60,69,"",20,61,.328,2,16,.125,18,45,.400,.344,18,23,.783,12,28,40,5,1,6,13,17,21,60,.350,8,24,.333,13,36,.361,.417,19,23,.826,9,22,31,8,6,8,4,19
17,2023-01-11,@,Xavier,REG (Conf),L,87,90,"",32,64,.500,10,23,.435,22,41,.537,.578,13,16,.813,6,23,29,20,7,5,10,18,34,68,.500,8,19,.421,26,49,.531,.559,14,21,.667,15,25,40,22,5,4,13,15
18,2023-01-14,"",Providence,REG (Conf),W,73,67,"",26,54,.481,3,16,.188,23,38,.605,.509,18,23,.783,4,25,29,13,6,5,7,15,25,65,.385,4,19,.211,21,46,.457,.415,13,15,.867,14,29,43,9,4,4,11,19
