Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2022-11-07,"",Chicago State,REG (Non-Conf),W,85,54,"",24,56,.429,10,21,.476,14,35,.400,.518,27,32,.844,9,32,41,20,8,4,14,18,16,63,.254,9,34,.265,7,29,.241,.325,13,18,.722,11,17,28,9,6,5,12,28
2,2022-11-11,"",Northern Illinois,REG (Non-Conf),W,63,46,"",24,58,.414,5,22,.227,19,36,.528,.457,10,17,.588,11,28,39,16,9,8,8,12,17,51,.333,3,14,.214,14,37,.378,.363,9,14,.643,5,27,32,5,2,3,16,15
3,2022-11-15,@,Georgetown,REG (Non-Conf),W,75,63,"",27,67,.403,14,33,.424,13,34,.382,.507,7,12,.583,15,27,42,18,6,4,14,16,24,57,.421,7,22,.318,17,35,.486,.482,8,10,.800,5,24,29,11,9,8,13,16
4,2022-11-18,"",Purdue Fort Wayne,REG (Non-Conf),W,60,52,"",23,56,.411,9,27,.333,14,29,.483,.491,5,7,.714,4,31,35,15,10,5,15,11,18,55,.327,8,35,.229,10,20,.500,.400,8,11,.727,6,27,33,13,9,3,19,13
5,2022-11-22,N,Liberty,REG (Non-Conf),W,66,52,"",22,51,.431,6,17,.353,16,34,.471,.490,16,21,.762,9,24,33,11,13,4,12,14,17,50,.340,9,30,.300,8,20,.400,.430,9,9,1.000,5,22,27,12,5,0,17,19
6,2022-11-23,N,Auburn,REG (Non-Conf),L,42,43,"",14,56,.250,2,24,.083,12,32,.375,.268,12,16,.750,8,25,33,4,8,8,8,16,13,50,.260,5,21,.238,8,29,.276,.310,12,18,.667,8,29,37,7,4,6,14,18
7,2022-11-28,"",Pittsburgh,REG (Non-Conf),L,58,87,"",21,61,.344,10,32,.313,11,29,.379,.426,6,13,.462,12,16,28,15,5,3,11,19,26,54,.481,14,22,.636,12,32,.375,.611,21,27,.778,12,27,39,22,5,1,9,16
8,2022-12-04,@,Michigan State,REG (Conf),W,70,63,"",21,49,.429,7,23,.304,14,26,.538,.500,21,24,.875,5,25,30,8,10,5,11,15,23,55,.418,8,22,.364,15,33,.455,.491,9,12,.750,6,21,27,16,7,4,13,17
9,2022-12-11,"",Prairie View A&M,REG (Non-Conf),W,61,51,"",18,61,.295,8,29,.276,10,32,.313,.361,17,23,.739,13,31,44,15,4,8,7,16,18,62,.290,8,28,.286,10,34,.294,.355,7,15,.467,16,28,44,10,4,2,15,23
10,2022-12-17,"",DePaul,REG (Non-Conf),W,83,45,"",29,67,.433,13,33,.394,16,34,.471,.530,12,14,.857,9,29,38,15,14,5,12,13,16,52,.308,6,21,.286,10,31,.323,.365,7,9,.778,3,27,30,9,6,3,22,14
11,2022-12-20,"",IllinoisâChicago,REG (Non-Conf),W,92,54,"",36,70,.514,8,27,.296,28,43,.651,.571,12,15,.800,15,27,42,20,7,2,8,20,17,44,.386,8,24,.333,9,20,.450,.477,12,19,.632,3,17,20,12,2,6,21,17
12,2022-12-29,"",Brown,REG (Non-Conf),W,63,58,"",20,58,.345,4,21,.190,16,37,.432,.379,19,21,.905,8,23,31,11,9,4,11,18,19,45,.422,9,22,.409,10,23,.435,.522,11,22,.500,4,24,28,17,4,4,16,19
13,2023-01-01,"",Ohio State,REG (Conf),L,57,73,"",19,67,.284,9,31,.290,10,36,.278,.351,10,17,.588,12,22,34,11,5,5,7,16,26,56,.464,6,15,.400,20,41,.488,.518,15,20,.750,7,35,42,15,5,7,12,13
