Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2022-11-08,"",Rider,REG (Non-Conf),W,66,65,"",18,50,.360,4,19,.211,14,31,.452,.400,26,43,.605,13,23,36,10,10,8,8,15,24,58,.414,9,14,.643,15,44,.341,.491,8,10,.800,7,25,32,14,5,2,13,29
2,2022-11-12,"",Northeastern,REG (Non-Conf),W,89,65,"",34,58,.586,7,13,.538,27,45,.600,.647,14,19,.737,8,22,30,18,11,6,9,12,23,59,.390,9,24,.375,14,35,.400,.466,10,14,.714,8,15,23,13,2,7,14,17
3,2022-11-15,"",Stonehill,REG (Non-Conf),W,100,76,"",36,67,.537,10,19,.526,26,48,.542,.612,18,21,.857,16,22,38,16,7,4,12,12,31,58,.534,10,21,.476,21,37,.568,.621,4,7,.571,2,15,17,16,6,4,13,17
4,2022-11-19,N,Miami (FL),REG (Non-Conf),L,64,74,"",21,50,.420,5,21,.238,16,29,.552,.470,17,22,.773,3,21,24,7,4,4,14,16,27,63,.429,4,13,.308,23,50,.460,.460,16,18,.889,11,22,33,7,6,3,9,18
5,2022-11-20,N,Saint Louis,REG (Non-Conf),L,73,76,"",23,64,.359,7,20,.350,16,44,.364,.414,20,20,1.000,14,22,36,11,6,3,10,15,29,61,.475,3,16,.188,26,45,.578,.500,15,17,.882,9,23,32,11,7,4,9,16
6,2022-11-23,"",Merrimack,REG (Non-Conf),W,71,57,"",29,60,.483,3,11,.273,26,49,.531,.508,10,14,.714,13,26,39,18,7,6,14,12,20,52,.385,10,23,.435,10,29,.345,.481,7,8,.875,3,15,18,10,12,2,14,14
7,2022-11-26,"",Columbia,REG (Non-Conf),W,78,64,"",30,68,.441,10,28,.357,20,40,.500,.515,8,11,.727,11,26,37,21,8,5,12,14,24,62,.387,6,18,.333,18,44,.409,.435,10,13,.769,10,24,34,8,8,1,14,14
8,2022-11-30,@,TCU,REG (Non-Conf),L,62,75,"",22,53,.415,4,18,.222,18,35,.514,.453,14,24,.583,12,19,31,12,6,6,14,17,28,56,.500,6,12,.500,22,44,.500,.554,13,16,.813,9,23,32,12,5,1,12,20
9,2022-12-03,@,Rhode Island,REG (Non-Conf),W,88,74,"",34,63,.540,6,20,.300,28,43,.651,.587,14,20,.700,11,25,36,17,6,5,9,14,30,63,.476,4,12,.333,26,51,.510,.508,10,11,.909,7,17,24,14,6,2,11,19
10,2022-12-07,"",Manhattan,REG (Non-Conf),W,99,59,"",37,65,.569,7,17,.412,30,48,.625,.623,18,25,.720,10,36,46,24,13,6,16,11,21,61,.344,10,27,.370,11,34,.324,.426,7,11,.636,4,16,20,12,8,5,18,18
11,2022-12-10,"",Albany (NY),REG (Non-Conf),W,93,55,"",34,62,.548,4,19,.211,30,43,.698,.581,21,26,.808,12,34,46,17,7,3,12,12,19,67,.284,6,30,.200,13,37,.351,.328,11,13,.846,12,16,28,8,8,4,13,22
12,2022-12-17,@,Seton Hall,REG (Conf),W,71,67,"",23,53,.434,5,13,.385,18,40,.450,.481,20,28,.714,9,25,34,15,10,7,14,19,24,57,.421,5,22,.227,19,35,.543,.465,14,21,.667,6,24,30,10,4,6,14,22
13,2022-12-20,"",Marquette,REG (Conf),W,103,98,2OT,30,65,.462,8,23,.348,22,42,.524,.523,35,49,.714,15,28,43,16,9,4,14,17,39,75,.520,7,21,.333,32,54,.593,.567,13,19,.684,7,19,26,9,11,4,12,30
14,2022-12-29,@,Butler,REG (Conf),W,72,52,"",27,60,.450,4,13,.308,23,47,.489,.483,14,17,.824,13,27,40,13,8,4,14,16,20,57,.351,2,16,.125,18,41,.439,.368,10,16,.625,10,17,27,9,7,7,11,15
15,2023-01-01,@,DePaul,REG (Conf),W,74,59,"",24,50,.480,7,14,.500,17,36,.472,.550,19,29,.655,8,27,35,11,9,5,19,20,20,57,.351,4,19,.211,16,38,.421,.386,15,20,.750,9,22,31,10,9,4,19,24
16,2023-01-04,"",Connecticut,REG (Conf),W,73,61,"",18,49,.367,8,18,.444,10,31,.323,.449,29,35,.829,11,26,37,8,5,4,8,20,23,63,.365,5,22,.227,18,41,.439,.405,10,19,.526,17,20,37,13,6,5,8,27
17,2023-01-07,"",St. John's (NY),REG (Conf),W,83,80,"",27,53,.509,7,17,.412,20,36,.556,.575,22,34,.647,5,28,33,12,6,5,15,15,32,65,.492,4,15,.267,28,50,.560,.523,12,20,.600,7,26,33,11,8,1,11,22
18,2023-01-14,@,Creighton,REG (Conf),L,67,73,"",25,65,.385,4,19,.211,21,46,.457,.415,13,15,.867,14,29,43,9,4,4,11,19,26,54,.481,3,16,.188,23,38,.605,.509,18,23,.783,4,25,29,13,6,5,7,15
19,2023-01-18,@,Marquette,REG (Conf),L,75,83,"",29,61,.475,4,18,.222,25,43,.581,.508,13,19,.684,15,17,32,13,2,1,13,14,29,55,.527,8,19,.421,21,36,.583,.600,17,20,.850,8,17,25,15,9,5,9,16
20,2023-01-21,"",DePaul,REG (Conf),W,75,64,"",28,61,.459,10,23,.435,18,38,.474,.541,9,12,.750,10,27,37,15,4,7,11,12,27,61,.443,7,21,.333,20,40,.500,.500,3,8,.375,8,20,28,12,7,4,9,15
21,2023-01-25,"",Butler,REG (Conf),W,79,58,"",30,54,.556,5,17,.294,25,37,.676,.602,14,18,.778,4,32,36,17,8,5,12,13,22,58,.379,8,19,.421,14,39,.359,.448,6,12,.500,6,17,23,10,9,3,10,15
22,2023-01-29,@,Villanova,REG (Conf),W,70,65,"",28,56,.500,6,18,.333,22,38,.579,.554,8,8,1.000,5,23,28,19,5,7,8,13,24,56,.429,6,23,.261,18,33,.545,.482,11,14,.786,8,20,28,11,3,4,8,12
