Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2022-11-07,@,Mississippi State,REG (Non-Conf),L,44,63,"",18,56,.321,6,20,.300,12,36,.333,.375,2,2,1.000,7,22,29,9,8,3,19,13,25,59,.424,6,25,.240,19,34,.559,.475,7,13,.538,12,29,41,16,13,7,16,7
2,2022-11-11,"",UTSA,REG (Non-Conf),W,75,55,"",27,56,.482,7,19,.368,20,37,.541,.545,14,21,.667,10,28,38,16,14,3,15,19,17,51,.333,7,29,.241,10,22,.455,.402,14,23,.609,8,20,28,13,9,3,19,18
3,2022-11-14,"","",REG (Non-Conf),W,91,73,"",30,68,.441,6,24,.250,24,44,.545,.485,25,34,.735,14,37,51,22,11,7,17,18,27,75,.360,15,39,.385,12,36,.333,.460,4,11,.364,12,25,37,19,8,3,20,26
4,2022-11-17,"",TexasâRio Grande Valley,REG (Non-Conf),W,97,75,"",34,70,.486,11,27,.407,23,43,.535,.564,18,20,.900,12,17,29,22,14,0,9,24,26,40,.650,5,11,.455,21,29,.724,.713,18,30,.600,5,20,25,16,3,4,24,20
5,2022-11-22,N,Cal State Bakersfield,REG (Non-Conf),L,63,73,"",20,62,.323,7,23,.304,13,39,.333,.379,16,21,.762,13,21,34,8,8,2,11,14,30,57,.526,9,22,.409,21,35,.600,.605,4,14,.286,8,26,34,18,5,5,14,17
6,2022-11-23,N,Alcorn State,REG (Non-Conf),W,98,67,"",33,57,.579,12,26,.462,21,31,.677,.684,20,25,.800,7,22,29,17,8,2,11,19,25,56,.446,5,17,.294,20,39,.513,.491,12,23,.522,10,18,28,9,6,4,16,20
7,2022-11-25,@,UTEP,REG (Non-Conf),L,67,72,"",24,64,.375,5,24,.208,19,40,.475,.414,14,20,.700,12,23,35,9,8,1,16,22,24,51,.471,6,17,.353,18,34,.529,.529,18,28,.643,10,28,38,12,8,5,20,22
8,2022-11-30,@,TexasâRio Grande Valley,REG (Non-Conf),L,82,89,"",30,64,.469,5,19,.263,25,45,.556,.508,17,18,.944,7,14,21,21,9,0,12,29,28,53,.528,9,23,.391,19,30,.633,.613,24,32,.750,10,22,32,16,2,6,17,21
9,2022-12-07,"","",REG (Non-Conf),W,100,63,"",41,74,.554,4,15,.267,37,59,.627,.581,14,21,.667,18,31,49,17,12,2,11,16,21,60,.350,12,37,.324,9,23,.391,.450,9,11,.818,9,17,26,19,6,3,19,15
10,2022-12-13,@,Arizona,REG (Non-Conf),L,61,99,"",23,75,.307,9,36,.250,14,39,.359,.367,6,8,.750,10,16,26,13,10,2,10,19,34,60,.567,15,27,.556,19,33,.576,.692,16,23,.696,9,40,49,26,8,5,15,12
11,2022-12-16,"","",REG (Non-Conf),W,104,69,"",37,64,.578,10,19,.526,27,45,.600,.656,20,24,.833,8,25,33,25,14,2,13,16,24,61,.393,10,36,.278,14,25,.560,.475,11,15,.733,9,15,24,13,7,1,20,20
12,2022-12-20,@,Oklahoma State,REG (Non-Conf),L,58,81,"",21,65,.323,9,33,.273,12,32,.375,.392,7,10,.700,7,18,25,11,6,0,13,16,29,57,.509,13,33,.394,16,24,.667,.623,10,13,.769,6,35,41,22,8,3,15,13
13,2022-12-28,"","",REG (Non-Conf),W,88,74,"",33,68,.485,12,30,.400,21,38,.553,.574,10,16,.625,12,23,35,18,11,1,13,14,28,62,.452,8,28,.286,20,34,.588,.516,10,15,.667,10,21,31,16,7,4,16,16
14,2022-12-31,@,Northwestern State,REG (Conf),W,65,59,"",21,54,.389,2,12,.167,19,42,.452,.407,21,27,.778,7,31,38,7,5,2,9,16,23,66,.348,8,34,.235,15,32,.469,.409,5,9,.556,10,22,32,12,3,4,9,19
