Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2022-11-07,@,San Francisco,REG (Non-Conf),L,77,90,"",26,67,.388,6,15,.400,20,52,.385,.433,19,32,.594,5,13,18,4,8,0,10,18,31,51,.608,11,23,.478,20,28,.714,.716,17,26,.654,7,39,46,13,5,1,23,27
2,2022-11-10,@,Texas Tech,REG (Non-Conf),L,54,78,"",21,60,.350,4,18,.222,17,42,.405,.383,8,15,.533,11,26,37,7,5,4,19,22,28,61,.459,5,17,.294,23,44,.523,.500,17,22,.773,6,26,32,12,8,2,12,14
3,2022-11-13,"",Arizona State,REG (Non-Conf),W,67,66,OT,27,68,.397,6,17,.353,21,51,.412,.441,7,19,.368,15,29,44,10,6,3,17,16,23,67,.343,5,23,.217,18,44,.409,.381,15,17,.882,10,31,41,11,7,8,13,17
4,2022-11-15,"",Oral Roberts,REG (Non-Conf),L,64,82,"",26,74,.351,4,25,.160,22,49,.449,.378,8,12,.667,14,24,38,13,3,6,7,9,33,72,.458,9,26,.346,24,46,.522,.521,7,10,.700,14,30,44,15,4,4,8,14
5,2022-11-16,@,Houston,REG (Non-Conf),L,48,83,"",18,49,.367,3,16,.188,15,33,.455,.398,9,15,.600,8,18,26,6,5,1,17,20,31,60,.517,5,19,.263,26,41,.634,.558,16,20,.800,11,23,34,19,10,4,8,15
6,2022-11-18,@,Auburn,REG (Non-Conf),L,56,72,"",22,61,.361,1,11,.091,21,50,.420,.369,11,16,.688,13,17,30,8,14,3,19,17,25,56,.446,7,27,.259,18,29,.621,.509,15,20,.750,8,23,31,20,14,8,20,21
7,2022-11-20,@,Samford,REG (Non-Conf),L,63,78,"",23,53,.434,8,16,.500,15,37,.405,.509,9,15,.600,7,19,26,11,6,2,15,15,30,61,.492,12,29,.414,18,32,.563,.590,6,7,.857,7,23,30,14,11,2,12,17
8,2022-11-28,@,Kansas,REG (Non-Conf),L,55,87,"",23,53,.434,4,17,.235,19,36,.528,.472,5,9,.556,6,17,23,7,3,1,16,18,30,55,.545,13,29,.448,17,26,.654,.664,14,23,.609,10,21,31,23,9,3,11,11
9,2022-12-11,"","",REG (Non-Conf),W,95,47,"",44,83,.530,2,19,.105,42,64,.656,.542,5,9,.556,22,33,55,28,13,12,13,11,18,67,.269,6,25,.240,12,42,.286,.313,5,8,.625,7,17,24,6,7,2,21,12
10,2022-12-17,N,North Carolina A&T,REG (Non-Conf),L,66,67,OT,24,64,.375,7,22,.318,17,42,.405,.430,11,17,.647,4,27,31,16,3,3,7,16,24,62,.387,8,26,.308,16,36,.444,.452,11,17,.647,9,38,47,12,5,7,14,15
11,2022-12-18,N,Hampton,REG (Non-Conf),W,82,77,"",32,65,.492,6,17,.353,26,48,.542,.538,12,17,.706,9,22,31,18,5,3,5,20,26,59,.441,9,22,.409,17,37,.459,.517,16,21,.762,8,21,29,11,2,2,13,17
12,2022-12-22,@,Wichita State,REG (Non-Conf),L,56,65,"",22,68,.324,4,17,.235,18,51,.353,.353,8,14,.571,15,25,40,7,8,2,9,18,25,56,.446,2,14,.143,23,42,.548,.464,13,18,.722,8,34,42,13,5,4,14,15
13,2022-12-29,"","",REG (Non-Conf),W,92,54,"",31,67,.463,6,23,.261,25,44,.568,.507,24,33,.727,24,31,55,17,8,6,14,14,19,58,.328,8,26,.308,11,32,.344,.397,8,13,.615,7,12,19,8,8,4,14,20
14,2023-01-02,"",Southern,REG (Conf),L,76,77,OT,28,58,.483,3,18,.167,25,40,.625,.509,17,33,.515,8,30,38,13,6,9,15,23,25,65,.385,7,19,.368,18,46,.391,.438,20,28,.714,9,28,37,12,5,1,12,24
15,2023-01-04,"",Grambling State,REG (Conf),L,72,85,"",24,53,.453,7,15,.467,17,38,.447,.519,17,29,.586,6,14,20,10,8,1,12,20,31,51,.608,6,16,.375,25,35,.714,.667,17,24,.708,4,27,31,15,3,2,16,22
16,2023-01-07,@,ArkansasâPine Bluff,REG (Conf),L,66,70,"",23,58,.397,1,16,.063,22,42,.524,.405,19,26,.731,8,35,43,16,5,2,22,22,22,62,.355,5,21,.238,17,41,.415,.395,21,33,.636,6,24,30,14,10,0,13,22
17,2023-01-09,@,Mississippi Valley State,REG (Conf),L,67,71,"",26,55,.473,3,9,.333,23,46,.500,.500,12,18,.667,8,21,29,10,9,2,15,23,28,61,.459,3,9,.333,25,52,.481,.484,12,22,.545,13,21,34,15,9,6,10,17
18,2023-01-14,"",Alcorn State,REG (Conf),L,74,79,OT,25,59,.424,4,17,.235,21,42,.500,.458,20,30,.667,9,25,34,12,6,9,16,20,25,71,.352,8,20,.400,17,51,.333,.408,21,25,.840,14,27,41,9,10,2,10,22
19,2023-01-16,"",Jackson State,REG (Conf),W,84,82,"",31,54,.574,7,16,.438,24,38,.632,.639,15,22,.682,7,19,26,19,10,4,22,20,28,57,.491,9,22,.409,19,35,.543,.570,17,24,.708,9,15,24,14,12,3,16,19
20,2023-01-21,@,Alabama A&M,REG (Conf),W,70,59,"",24,53,.453,3,10,.300,21,43,.488,.481,19,25,.760,11,28,39,11,10,4,22,21,23,59,.390,5,18,.278,18,41,.439,.432,8,15,.533,8,20,28,7,9,2,19,23
21,2023-01-23,@,Alabama State,REG (Conf),W,71,65,"",25,61,.410,6,17,.353,19,44,.432,.459,15,21,.714,7,28,35,6,5,6,11,17,22,56,.393,5,19,.263,17,37,.459,.438,16,20,.800,7,27,34,6,7,7,12,20
22,2023-01-28,"",Prairie View A&M,REG (Conf),L,74,89,2OT,25,68,.368,4,23,.174,21,45,.467,.397,20,26,.769,13,30,43,7,4,2,18,27,26,58,.448,6,17,.353,20,41,.488,.500,31,42,.738,5,28,33,3,11,5,14,23
23,2023-02-04,"",Florida A&M,REG (Conf),L,69,76,"",24,54,.444,4,12,.333,20,42,.476,.481,17,24,.708,7,20,27,10,3,3,11,17,27,55,.491,9,23,.391,18,32,.563,.573,13,17,.765,6,26,32,8,6,5,12,19
24,2023-02-06,"",Bethune-Cookman,REG (Conf),W,69,62,"",26,60,.433,5,17,.294,21,43,.488,.475,12,20,.600,8,25,33,14,9,2,14,14,19,57,.333,8,20,.400,11,37,.297,.404,16,17,.941,9,25,34,9,9,1,15,19
25,2023-02-11,@,Grambling State,REG (Conf),L,46,65,"",17,52,.327,4,17,.235,13,35,.371,.365,8,16,.500,6,28,34,7,6,2,15,23,19,53,.358,6,17,.353,13,36,.361,.415,21,36,.583,10,32,42,9,10,2,10,18
26,2023-02-13,@,Southern,REG (Conf),W,79,68,"",26,55,.473,10,24,.417,16,31,.516,.564,17,24,.708,9,28,37,15,3,4,16,20,23,61,.377,7,27,.259,16,34,.471,.434,15,19,.789,9,21,30,15,6,2,10,24
27,2023-02-18,"",Mississippi Valley State,REG (Conf),W,80,62,"",31,63,.492,9,22,.409,22,41,.537,.563,9,14,.643,10,19,29,17,13,3,13,13,22,49,.449,9,24,.375,13,25,.520,.541,9,14,.643,7,18,25,14,10,1,20,16
28,2023-02-20,"",ArkansasâPine Bluff,REG (Conf),W,64,59,"",20,55,.364,5,24,.208,15,31,.484,.409,19,25,.760,12,30,42,14,6,3,12,18,21,60,.350,7,21,.333,14,39,.359,.408,10,17,.588,5,22,27,7,7,4,10,21
29,2023-02-25,@,Jackson State,REG (Conf),L,69,71,"",29,60,.483,5,14,.357,24,46,.522,.525,6,6,1.000,9,20,29,8,6,2,12,16,26,51,.510,4,10,.400,22,41,.537,.549,15,18,.833,6,19,25,8,9,2,9,10
30,2023-02-27,@,Alcorn State,REG (Conf),L,81,89,"",32,62,.516,4,16,.250,28,46,.609,.548,13,15,.867,8,22,30,8,2,0,12,24,27,59,.458,6,19,.316,21,40,.525,.508,29,40,.725,7,21,28,14,9,2,4,19
31,2023-03-04,@,Prairie View A&M,REG (Conf),L,74,78,"",29,58,.500,5,11,.455,24,47,.511,.543,11,19,.579,6,20,26,13,6,2,11,18,29,51,.569,8,17,.471,21,34,.618,.647,12,20,.600,6,22,28,15,4,2,12,21
32,2023-03-08,N,Alcorn State,CTOURN,W,66,62,"",24,53,.453,2,12,.167,22,41,.537,.472,16,22,.727,9,26,35,14,9,1,15,20,22,53,.415,3,11,.273,19,42,.452,.443,15,19,.789,5,21,26,10,11,7,15,19
33,2023-03-10,N,Alabama A&M,CTOURN,W,74,61,"",24,57,.421,5,16,.313,19,41,.463,.465,21,28,.750,16,17,33,10,8,4,11,22,18,52,.346,6,23,.261,12,29,.414,.404,19,30,.633,15,22,37,10,6,3,16,20
34,2023-03-11,N,Grambling State,CTOURN,W,61,58,"",16,53,.302,5,12,.417,11,41,.268,.349,24,34,.706,15,26,41,10,6,5,12,21,19,57,.333,2,18,.111,17,39,.436,.351,18,26,.692,10,21,31,5,4,5,13,24
