Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2022-11-07,"",UTEP,REG (Non-Conf),W,72,57,"",23,42,.548,4,14,.286,19,28,.679,.595,22,29,.759,5,20,25,14,6,3,15,15,21,52,.404,5,15,.333,16,37,.432,.452,10,15,.667,10,19,29,8,5,3,16,25
2,2022-11-10,"",Houston Christian,REG (Non-Conf),W,82,31,"",35,68,.515,3,22,.136,32,46,.696,.537,9,19,.474,21,33,54,15,12,6,14,13,13,60,.217,4,25,.160,9,35,.257,.250,1,6,.167,12,18,30,8,4,2,20,20
3,2022-11-16,"",Gonzaga,REG (Non-Conf),W,93,74,"",34,66,.515,13,33,.394,21,33,.636,.614,12,16,.750,6,22,28,17,8,4,10,22,25,51,.490,9,19,.474,16,32,.500,.578,15,21,.714,8,21,29,10,3,3,20,15
4,2022-11-21,N,Northern Arizona,REG (Non-Conf),W,73,48,"",28,56,.500,7,24,.292,21,32,.656,.563,10,16,.625,8,25,33,16,11,3,15,16,17,54,.315,3,17,.176,14,37,.378,.343,11,15,.733,8,22,30,9,6,1,18,13
5,2022-11-26,"",TexasâRio Grande Valley,REG (Non-Conf),W,91,54,"",33,72,.458,10,30,.333,23,42,.548,.528,15,22,.682,16,28,44,15,12,9,10,21,19,54,.352,1,9,.111,18,45,.400,.361,15,27,.556,11,25,36,6,4,4,22,19
6,2022-12-01,"",Creighton,REG (Non-Conf),W,72,67,"",31,74,.419,4,19,.211,27,55,.491,.446,6,8,.750,8,29,37,15,3,3,3,12,27,66,.409,4,27,.148,23,39,.590,.439,9,14,.643,8,32,40,12,3,5,8,11
7,2022-12-06,N,Illinois,REG (Non-Conf),L,78,85,OT,29,69,.420,7,22,.318,22,47,.468,.471,13,19,.684,10,24,34,20,8,3,14,24,27,60,.450,10,23,.435,17,37,.459,.533,21,31,.677,7,30,37,11,7,12,16,20
8,2022-12-10,"",ArkansasâPine Bluff,REG (Non-Conf),W,88,43,"",37,65,.569,9,22,.409,28,43,.651,.638,5,10,.500,10,27,37,30,10,3,9,11,17,51,.333,6,22,.273,11,29,.379,.392,3,3,1.000,6,16,22,6,4,0,21,11
9,2022-12-12,"",Rice,REG (Non-Conf),W,87,81,OT,32,64,.500,5,22,.227,27,42,.643,.539,18,27,.667,12,26,38,16,9,3,14,20,30,69,.435,9,28,.321,21,41,.512,.500,12,17,.706,11,22,33,17,6,1,15,24
10,2022-12-18,N,Stanford,REG (Non-Conf),W,72,62,"",28,62,.452,8,21,.381,20,41,.488,.516,8,11,.727,9,22,31,22,5,5,8,14,20,46,.435,8,18,.444,12,28,.429,.522,14,19,.737,6,23,29,15,5,5,15,16
11,2022-12-21,"",Louisiana,REG (Non-Conf),W,100,72,"",36,62,.581,12,22,.545,24,40,.600,.677,16,17,.941,5,27,32,23,6,6,15,20,25,57,.439,6,19,.316,19,38,.500,.491,16,27,.593,5,19,24,13,8,1,13,14
12,2022-12-27,"",Texas A&MâCommerce,REG (Non-Conf),W,97,72,"",37,66,.561,12,27,.444,25,39,.641,.652,11,15,.733,11,20,31,28,7,3,9,15,25,47,.532,7,15,.467,18,32,.563,.606,15,18,.833,2,18,20,11,7,1,15,15
13,2022-12-31,@,Oklahoma,REG (Conf),W,70,69,"",25,58,.431,5,15,.333,20,43,.465,.474,15,16,.938,11,21,32,7,9,3,9,14,26,54,.481,9,25,.360,17,29,.586,.565,8,11,.727,7,21,28,11,7,2,13,17
14,2023-01-03,"",Kansas State,REG (Conf),L,103,116,"",35,68,.515,11,27,.407,24,41,.585,.596,22,26,.846,6,18,24,18,6,3,9,26,36,60,.600,13,24,.542,23,36,.639,.708,31,33,.939,6,25,31,23,5,0,11,19
15,2023-01-07,@,Oklahoma State,REG (Conf),W,56,46,"",17,54,.315,5,18,.278,12,36,.333,.361,17,21,.810,10,26,36,7,10,1,14,19,14,46,.304,6,21,.286,8,25,.320,.370,12,21,.571,8,23,31,8,5,12,16,20
16,2023-01-11,"",TCU,REG (Conf),W,79,75,"",32,66,.485,4,16,.250,28,50,.560,.515,11,14,.786,10,24,34,18,9,6,10,12,29,59,.492,4,15,.267,25,44,.568,.525,13,16,.813,8,23,31,11,10,6,14,15
17,2023-01-14,"",Texas Tech,REG (Conf),W,72,70,"",23,53,.434,8,28,.286,15,25,.600,.509,18,24,.750,4,23,27,12,7,9,13,15,24,61,.393,8,21,.381,16,40,.400,.459,14,20,.700,10,24,34,8,4,1,15,22
18,2023-01-17,@,Iowa State,REG (Conf),L,67,78,"",22,48,.458,4,17,.235,18,31,.581,.500,19,22,.864,3,19,22,11,5,4,12,28,23,52,.442,9,24,.375,14,28,.500,.529,23,30,.767,7,22,29,12,7,3,6,21
19,2023-01-21,@,West Virginia,REG (Conf),W,69,61,"",26,55,.473,3,13,.231,23,42,.548,.500,14,19,.737,6,20,26,12,9,0,13,18,20,52,.385,8,23,.348,12,29,.414,.462,13,18,.722,8,21,29,8,2,6,20,21
