Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2023-11-06,"",Winthrop,REG (Non-Conf),W,78,56,"",27,62,.435,13,32,.406,14,30,.467,.540,11,12,.917,9,29,38,21,7,6,10,17,18,52,.346,5,18,.278,13,34,.382,.394,15,18,.833,4,23,27,6,5,0,14,13
2,2023-11-10,N,UAB,REG (Non-Conf),W,77,76,"",27,55,.491,6,19,.316,21,36,.583,.545,17,27,.630,5,19,24,16,4,7,9,16,28,60,.467,9,22,.409,19,38,.500,.542,11,16,.688,8,24,32,14,5,2,14,23
3,2023-11-12,N,Davidson,REG (Non-Conf),W,68,65,"",26,57,.456,12,31,.387,14,26,.538,.561,4,8,.500,7,22,29,17,3,6,9,16,22,56,.393,9,25,.360,13,31,.419,.473,12,17,.706,9,24,33,12,5,2,9,15
4,2023-11-19,"",Boise State,REG (Non-Conf),W,85,68,"",31,61,.508,8,15,.533,23,46,.500,.574,15,16,.938,10,27,37,15,3,6,12,18,22,56,.393,7,23,.304,15,33,.455,.455,17,22,.773,5,18,23,9,9,1,10,18
5,2023-11-24,"",Alcorn State,REG (Non-Conf),W,90,69,"",34,70,.486,11,29,.379,23,41,.561,.564,11,18,.611,10,28,38,26,5,2,6,15,26,52,.500,5,14,.357,21,38,.553,.548,12,21,.571,2,26,28,8,4,3,7,16
6,2023-11-28,@,Alabama,REG (Non-Conf),W,85,77,"",32,60,.533,11,21,.524,21,39,.538,.625,10,15,.667,8,33,41,12,4,7,11,22,23,67,.343,11,35,.314,12,32,.375,.425,20,26,.769,12,23,35,12,7,3,7,15
7,2023-12-03,@,Pittsburgh,REG (Conf),W,79,70,"",28,60,.467,11,30,.367,17,30,.567,.558,12,15,.800,10,29,39,15,5,1,9,19,25,58,.431,8,23,.348,17,35,.486,.500,12,22,.545,7,19,26,13,6,4,7,16
8,2023-12-06,"",South Carolina,REG (Non-Conf),W,72,67,"",25,56,.446,8,18,.444,17,38,.447,.518,14,20,.700,7,32,39,13,5,7,9,16,22,61,.361,10,30,.333,12,31,.387,.443,13,19,.684,6,28,34,13,5,3,8,15
9,2023-12-09,N,TCU,REG (Non-Conf),W,74,66,"",24,58,.414,7,27,.259,17,31,.548,.474,19,24,.792,13,26,39,18,5,5,13,24,19,59,.322,3,16,.188,16,43,.372,.347,25,33,.758,15,23,38,10,10,2,9,20
10,2023-12-16,@,Memphis,REG (Non-Conf),L,77,79,"",30,61,.492,7,23,.304,23,38,.605,.549,10,15,.667,7,29,36,20,3,4,14,20,29,67,.433,4,26,.154,25,41,.610,.463,17,23,.739,10,23,33,12,9,2,6,14
11,2023-12-22,"",Queens (NC),REG (Non-Conf),W,109,79,"",43,68,.632,10,19,.526,33,49,.673,.706,13,17,.765,6,29,35,24,6,6,7,10,28,74,.378,14,42,.333,14,32,.438,.473,9,13,.692,8,19,27,12,6,2,10,15
12,2023-12-29,"",Radford,REG (Non-Conf),W,93,58,"",34,60,.567,11,29,.379,23,31,.742,.658,14,14,1.000,13,28,41,14,7,2,13,6,22,53,.415,8,22,.364,14,31,.452,.491,6,7,.857,1,9,10,8,7,4,8,13
13,2024-01-03,@,Miami (FL),REG (Conf),L,82,95,"",31,68,.456,11,30,.367,20,38,.526,.537,9,9,1.000,6,22,28,15,5,3,10,14,35,66,.530,11,24,.458,24,42,.571,.614,14,15,.933,6,23,29,19,7,2,8,10
14,2024-01-06,"",North Carolina,REG (Conf),L,55,65,"",21,58,.362,1,18,.056,20,40,.500,.371,12,16,.750,7,21,28,6,7,9,5,14,25,60,.417,8,23,.348,17,37,.459,.483,7,12,.583,13,28,41,14,3,3,10,16
15,2024-01-10,@,Virginia Tech,REG (Conf),L,72,87,"",28,63,.444,9,26,.346,19,37,.514,.516,7,8,.875,10,15,25,13,4,3,11,14,31,57,.544,13,24,.542,18,33,.545,.658,12,14,.857,7,25,32,17,7,5,11,10
16,2024-01-13,"",Boston College,REG (Conf),W,89,78,"",32,59,.542,7,20,.350,25,39,.641,.602,18,22,.818,9,28,37,10,4,4,9,14,30,59,.508,10,25,.400,20,34,.588,.593,8,12,.667,4,18,22,11,7,0,8,16
