Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2023-11-06,"",Loyola (MD),REG (Non-Conf),W,93,73,"",36,62,.581,6,16,.375,30,46,.652,.629,15,30,.500,11,24,35,17,11,3,10,16,27,59,.458,9,26,.346,18,33,.545,.534,10,15,.667,8,20,28,13,6,2,14,22
2,2023-11-10,N,Virginia,REG (Non-Conf),L,70,73,"",26,65,.400,7,25,.280,19,40,.475,.454,11,15,.733,17,26,43,16,4,4,16,19,26,58,.448,7,18,.389,19,40,.475,.509,14,24,.583,9,18,27,15,15,2,5,14
3,2023-11-14,"",Florida A&M,REG (Non-Conf),W,89,68,"",30,63,.476,6,19,.316,24,44,.545,.524,23,35,.657,20,24,44,12,8,8,12,12,29,68,.426,5,13,.385,24,55,.436,.463,5,6,.833,12,15,27,10,10,1,15,22
4,2023-11-17,"",Florida State,REG (Non-Conf),W,89,68,"",30,58,.517,7,18,.389,23,40,.575,.578,22,36,.611,17,26,43,17,3,4,19,24,24,66,.364,2,13,.154,22,53,.415,.379,18,31,.581,15,16,31,9,12,5,10,26
5,2023-11-22,N,Pittsburgh,REG (Non-Conf),W,86,71,"",31,66,.470,8,24,.333,23,42,.548,.530,16,24,.667,6,29,35,24,11,6,8,19,24,68,.353,10,34,.294,14,34,.412,.426,13,21,.619,13,29,42,17,5,5,14,17
6,2023-11-24,N,Baylor,REG (Non-Conf),L,91,95,"",31,69,.449,8,26,.308,23,43,.535,.507,21,27,.778,17,18,35,17,9,6,12,20,30,58,.517,14,25,.560,16,33,.485,.638,21,25,.840,6,21,27,20,6,4,13,21
7,2023-11-29,@,Wake Forest,REG (Non-Conf),L,71,82,"",24,60,.400,8,24,.333,16,36,.444,.467,15,19,.789,7,26,33,11,9,4,15,23,28,57,.491,6,16,.375,22,41,.537,.544,20,29,.690,5,23,28,12,8,3,11,17
8,2023-12-05,"",Merrimack,REG (Non-Conf),W,77,57,"",27,68,.397,6,17,.353,21,51,.412,.441,17,28,.607,22,32,54,14,7,3,13,14,20,60,.333,3,24,.125,17,36,.472,.358,14,18,.778,9,21,30,6,8,4,13,19
9,2023-12-09,N,Richmond,REG (Non-Conf),W,87,76,"",29,65,.446,9,29,.310,20,36,.556,.515,20,25,.800,13,35,48,14,4,5,12,16,27,63,.429,11,22,.500,16,41,.390,.516,11,19,.579,4,25,29,17,9,1,8,20
10,2023-12-14,N,East Carolina,REG (Non-Conf),W,70,65,"",25,61,.410,5,20,.250,20,41,.488,.451,15,28,.536,20,29,49,13,7,7,17,12,25,63,.397,7,22,.318,18,41,.439,.452,8,12,.667,8,21,29,11,12,3,12,21
11,2023-12-19,N,Michigan,REG (Non-Conf),W,106,101,2OT,40,86,.465,8,29,.276,32,57,.561,.512,18,29,.621,19,31,50,14,10,10,15,23,34,76,.447,10,22,.455,24,54,.444,.513,23,29,.793,11,27,38,9,8,7,16,21
12,2023-12-22,"",Grambling State,REG (Non-Conf),W,96,57,"",38,61,.623,11,21,.524,27,40,.675,.713,9,10,.900,6,34,40,27,4,4,10,10,24,66,.364,3,13,.231,21,53,.396,.386,6,13,.462,8,18,26,4,8,1,6,12
13,2023-12-30,"",Quinnipiac,REG (Non-Conf),W,97,72,"",35,68,.515,10,26,.385,25,42,.595,.588,17,29,.586,15,32,47,22,6,8,13,17,25,75,.333,5,22,.227,20,53,.377,.367,17,23,.739,17,23,40,6,7,3,13,21
