Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2023-11-06,"",Green Bay,REG (Non-Conf),W,85,44,"",31,66,.470,8,18,.444,23,48,.479,.530,15,22,.682,15,28,43,16,10,2,3,15,13,46,.283,8,33,.242,5,13,.385,.370,10,14,.714,4,20,24,7,2,5,15,18
2,2023-11-09,"",Lindenwood,REG (Non-Conf),W,102,47,"",39,66,.591,7,20,.350,32,46,.696,.644,17,21,.810,9,28,37,25,19,5,8,19,13,46,.283,7,24,.292,6,22,.273,.359,14,20,.700,3,20,23,7,5,1,21,19
3,2023-11-12,"",Idaho State,REG (Non-Conf),W,86,55,"",31,65,.477,4,13,.308,27,52,.519,.508,20,30,.667,14,21,35,15,17,5,9,23,18,43,.419,8,19,.421,10,24,.417,.512,11,22,.500,7,21,28,11,6,4,24,23
4,2023-11-19,"",Grambling State,REG (Non-Conf),W,92,37,"",32,51,.627,7,15,.467,25,36,.694,.696,21,27,.778,8,25,33,20,14,4,13,8,14,49,.286,3,12,.250,11,37,.297,.316,6,7,.857,6,10,16,5,7,2,20,21
5,2023-11-23,N,VCU,REG (Non-Conf),W,68,64,"",24,59,.407,2,13,.154,22,46,.478,.424,18,30,.600,13,18,31,11,7,1,7,14,20,44,.455,10,23,.435,10,21,.476,.568,14,18,.778,3,17,20,11,3,5,16,22
6,2023-11-24,N,Virginia Tech,REG (Non-Conf),L,62,71,"",21,50,.420,5,21,.238,16,29,.552,.470,15,26,.577,8,21,29,12,9,1,13,19,20,49,.408,11,28,.393,9,21,.429,.520,20,23,.870,8,23,31,16,7,1,15,18
7,2023-11-26,N,Texas A&M,REG (Non-Conf),L,69,73,"",21,61,.344,9,34,.265,12,27,.444,.418,18,27,.667,13,25,38,14,9,2,16,20,26,64,.406,6,24,.250,20,40,.500,.453,15,25,.600,14,27,41,10,11,3,13,21
8,2023-12-01,@,DePaul,REG (Non-Conf),W,99,80,"",39,69,.565,7,17,.412,32,52,.615,.616,14,21,.667,8,23,31,29,9,2,9,16,25,56,.446,9,19,.474,16,37,.432,.527,21,24,.875,7,20,27,14,8,3,17,16
9,2023-12-07,"",Iowa,REG (Non-Conf),W,90,65,"",32,60,.533,8,17,.471,24,43,.558,.600,18,26,.692,10,26,36,19,12,6,12,13,22,57,.386,8,26,.308,14,31,.452,.456,13,16,.813,8,20,28,14,9,3,19,21
10,2023-12-10,"",Prairie View A&M,REG (Non-Conf),W,107,56,"",31,51,.608,9,15,.600,22,36,.611,.696,36,48,.750,12,27,39,19,16,5,25,17,19,57,.333,7,19,.368,12,38,.316,.395,11,13,.846,10,11,21,11,14,3,29,30
11,2023-12-17,"",Florida A&M,REG (Non-Conf),W,96,58,"",35,59,.593,10,20,.500,25,39,.641,.678,16,24,.667,4,24,28,24,15,3,5,12,20,51,.392,10,27,.370,10,24,.417,.490,8,14,.571,9,23,32,14,0,2,23,20
12,2023-12-21,"",Eastern Illinois,REG (Non-Conf),W,80,48,"",27,56,.482,10,23,.435,17,33,.515,.571,16,18,.889,3,25,28,20,6,3,8,12,20,51,.392,4,21,.190,16,30,.533,.431,4,6,.667,4,24,28,11,2,1,17,19
13,2023-12-31,"",New Hampshire,REG (Non-Conf),W,85,70,"",34,74,.459,9,25,.360,25,49,.510,.520,8,14,.571,11,30,41,24,13,4,11,11,25,59,.424,11,34,.324,14,25,.560,.517,9,15,.600,6,28,34,14,5,1,18,11
14,2024-01-06,@,Oklahoma,REG (Conf),L,63,71,"",26,61,.426,3,16,.188,23,45,.511,.451,8,11,.727,10,21,31,9,6,0,8,17,24,51,.471,10,25,.400,14,26,.538,.569,13,16,.813,6,23,29,17,3,3,10,17
15,2024-01-09,"",Houston,REG (Conf),W,57,53,"",18,47,.383,3,15,.200,15,32,.469,.415,18,22,.818,6,19,25,14,8,0,12,12,19,50,.380,7,26,.269,12,24,.500,.450,8,12,.667,10,22,32,8,7,5,16,19
16,2024-01-13,"",Oklahoma State,REG (Conf),W,66,42,"",27,58,.466,3,15,.200,24,43,.558,.491,9,11,.818,8,25,33,16,13,3,9,18,15,47,.319,7,24,.292,8,23,.348,.394,5,14,.357,6,21,27,10,6,3,19,16
17,2024-01-16,@,Brigham Young,REG (Conf),L,72,87,"",26,59,.441,4,14,.286,22,45,.489,.475,16,25,.640,11,19,30,13,4,3,13,17,27,57,.474,13,35,.371,14,22,.636,.588,20,24,.833,12,21,33,21,7,3,11,19
18,2024-01-20,@,TCU,REG (Conf),W,73,72,"",29,62,.468,7,21,.333,22,41,.537,.524,8,13,.615,11,11,22,18,18,4,13,18,23,46,.500,6,18,.333,17,28,.607,.565,20,26,.769,12,22,34,13,5,5,26,15
19,2024-01-24,"",Kansas State,REG (Conf),W,78,67,"",22,51,.431,7,21,.333,15,30,.500,.500,27,39,.692,11,23,34,13,10,1,12,20,22,49,.449,8,24,.333,14,25,.560,.531,15,23,.652,6,17,23,13,8,5,16,26
20,2024-01-27,"",Kansas,REG (Conf),W,79,75,"",28,61,.459,14,30,.467,14,31,.452,.574,9,18,.500,9,24,33,18,8,5,10,17,27,60,.450,7,20,.350,20,40,.500,.508,14,19,.737,11,27,38,18,5,1,12,17
21,2024-02-03,@,Baylor,REG (Conf),L,68,70,"",22,56,.393,5,14,.357,17,42,.405,.438,19,32,.594,16,13,29,10,10,5,11,22,21,46,.457,12,23,.522,9,23,.391,.587,16,23,.696,10,22,32,14,8,4,18,23
22,2024-02-06,@,Texas,REG (Conf),W,70,65,"",27,66,.409,6,17,.353,21,49,.429,.455,10,13,.769,15,20,35,11,10,4,7,19,22,54,.407,3,14,.214,19,40,.475,.435,18,20,.900,11,23,34,14,4,8,12,11
23,2024-02-10,"",TCU,REG (Conf),W,71,59,"",24,48,.500,8,19,.421,16,29,.552,.583,15,18,.833,4,18,22,20,5,6,10,16,23,52,.442,5,17,.294,18,35,.514,.490,8,16,.500,11,14,25,15,7,3,9,17
