Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2023-11-06,@,Michigan State,REG (Non-Conf),W,79,76,OT,25,68,.368,8,29,.276,17,39,.436,.426,21,28,.750,10,35,45,14,5,4,15,32,26,72,.361,1,20,.050,25,52,.481,.368,23,37,.622,14,29,43,13,8,5,11,21
2,2023-11-09,@,Kent State,REG (Non-Conf),W,113,108,2OT,36,77,.468,17,35,.486,19,42,.452,.578,24,36,.667,6,33,39,24,10,3,11,32,31,75,.413,11,28,.393,20,47,.426,.487,35,48,.729,10,33,43,22,4,4,16,29
3,2023-11-12,"",Howard,REG (Non-Conf),W,107,86,"",37,69,.536,11,20,.550,26,49,.531,.616,22,29,.759,12,17,29,18,14,5,10,19,29,61,.475,7,18,.389,22,43,.512,.533,21,27,.778,12,18,30,6,6,2,19,21
4,2023-11-17,"",Radford,REG (Non-Conf),W,76,73,"",27,62,.435,6,24,.250,21,38,.553,.484,16,21,.762,12,19,31,12,11,3,9,11,30,59,.508,7,19,.368,23,40,.575,.568,6,8,.750,10,25,35,12,6,0,16,18
5,2023-11-21,N,Southern Illinois,REG (Non-Conf),W,82,76,"",31,59,.525,5,13,.385,26,46,.565,.568,15,28,.536,9,22,31,10,7,5,12,21,22,49,.449,9,24,.375,13,25,.520,.541,23,28,.821,5,22,27,8,5,1,14,25
6,2023-11-22,N,Fresno State,REG (Non-Conf),W,95,64,"",36,64,.563,10,23,.435,26,41,.634,.641,13,16,.813,9,20,29,16,7,4,10,16,26,63,.413,3,14,.214,23,49,.469,.437,9,16,.563,12,18,30,9,7,2,18,13
7,2023-11-29,"",Buffalo,REG (Non-Conf),W,81,66,"",31,64,.484,10,27,.370,21,37,.568,.563,9,15,.600,11,22,33,19,10,3,8,13,24,53,.453,9,26,.346,15,27,.556,.538,9,14,.643,7,19,26,8,5,5,18,13
8,2023-12-03,"","",REG (Non-Conf),W,130,59,"",53,88,.602,12,32,.375,41,56,.732,.670,12,14,.857,19,46,65,25,16,6,17,7,23,71,.324,10,29,.345,13,42,.310,.394,3,4,.750,1,15,16,12,9,1,20,10
9,2023-12-09,@,Old Dominion,REG (Non-Conf),W,84,69,"",34,63,.540,9,24,.375,25,39,.641,.611,7,11,.636,10,31,41,19,5,7,14,13,26,72,.361,4,22,.182,22,50,.440,.389,13,20,.650,14,19,33,6,7,2,6,12
10,2023-12-16,@,Hampton,REG (Non-Conf),W,88,71,"",36,76,.474,12,32,.375,24,44,.545,.553,4,9,.444,11,27,38,22,7,3,8,19,25,58,.431,8,20,.400,17,38,.447,.500,13,19,.684,10,27,37,16,2,6,16,15
11,2023-12-19,"",Coppin State,REG (Non-Conf),W,87,48,"",31,62,.500,6,24,.250,25,38,.658,.548,19,23,.826,8,24,32,18,22,3,16,14,17,49,.347,1,13,.077,16,36,.444,.357,13,19,.684,9,20,29,6,12,3,28,18
12,2023-12-22,@,Morgan State,REG (Non-Conf),W,89,75,"",29,65,.446,9,30,.300,20,35,.571,.515,22,29,.759,9,26,35,14,6,2,9,15,31,65,.477,3,14,.214,28,51,.549,.500,10,12,.833,6,23,29,13,4,1,12,19
13,2023-12-30,"",Texas State,REG (Conf),W,82,65,"",33,63,.524,9,24,.375,24,39,.615,.595,7,16,.438,9,23,32,17,7,1,5,17,24,57,.421,7,16,.438,17,41,.415,.482,10,14,.714,9,22,31,11,3,4,14,15
14,2024-01-04,@,Louisiana,REG (Conf),W,68,61,"",24,58,.414,5,22,.227,19,36,.528,.457,15,24,.625,9,32,41,11,3,2,18,16,23,56,.411,5,19,.263,18,37,.486,.455,10,18,.556,5,25,30,8,5,4,13,20
15,2024-01-06,@,Southern Mississippi,REG (Conf),L,71,81,"",28,71,.394,2,17,.118,26,54,.481,.408,13,19,.684,16,22,38,10,5,4,9,22,26,53,.491,4,15,.267,22,38,.579,.528,25,33,.758,5,27,32,13,4,5,8,19
16,2024-01-11,"",South Alabama,REG (Conf),W,89,55,"",31,67,.463,11,36,.306,20,31,.645,.545,16,20,.800,13,30,43,21,12,1,8,15,21,57,.368,4,26,.154,17,31,.548,.404,9,13,.692,5,21,26,9,4,1,15,13
17,2024-01-13,"",Appalachian State,REG (Conf),L,55,59,"",23,64,.359,3,17,.176,20,47,.426,.383,6,7,.857,10,16,26,10,17,1,12,10,25,54,.463,4,14,.286,21,40,.525,.500,5,9,.556,12,26,38,11,8,7,23,11
18,2024-01-18,"",LouisianaâMonroe,REG (Conf),W,89,70,"",31,61,.508,16,39,.410,15,22,.682,.639,11,15,.733,7,26,33,23,4,3,5,19,24,55,.436,4,13,.308,20,42,.476,.473,18,25,.720,9,21,30,10,5,1,9,16
19,2024-01-20,"",Marshall,REG (Conf),W,67,52,"",24,62,.387,5,23,.217,19,39,.487,.427,14,17,.824,9,30,39,14,8,4,9,16,18,61,.295,8,34,.235,10,27,.370,.361,8,8,1.000,7,29,36,11,5,3,14,18
20,2024-01-24,@,Old Dominion,REG (Conf),W,78,62,"",27,63,.429,10,27,.370,17,36,.472,.508,14,23,.609,10,30,40,22,8,2,13,13,23,58,.397,6,18,.333,17,40,.425,.448,10,17,.588,4,28,32,11,7,7,14,19
21,2024-01-27,@,Appalachian State,REG (Conf),L,76,82,"",29,69,.420,6,17,.353,23,52,.442,.464,12,17,.706,10,24,34,12,8,4,13,29,23,55,.418,6,15,.400,17,40,.425,.473,30,40,.750,9,27,36,11,7,12,10,14
22,2024-02-01,"",Coastal Carolina,REG (Conf),W,105,67,"",41,68,.603,13,30,.433,28,38,.737,.699,10,16,.625,10,23,33,27,17,1,10,14,25,53,.472,6,19,.316,19,34,.559,.528,11,13,.846,4,19,23,9,7,0,22,12
23,2024-02-03,"",Old Dominion,REG (Conf),W,78,63,"",27,56,.482,7,16,.438,20,40,.500,.545,17,27,.630,7,24,31,17,11,4,9,16,21,50,.420,5,15,.333,16,35,.457,.470,16,22,.727,3,24,27,7,6,6,15,21
24,2024-02-07,@,Arkansas State,REG (Conf),W,77,73,"",30,66,.455,6,18,.333,24,48,.500,.500,11,15,.733,11,28,39,17,10,2,8,16,25,62,.403,9,30,.300,16,32,.500,.476,14,19,.737,12,26,38,14,4,2,13,15
25,2024-02-10,"",Akron,REG (Non-Conf),W,73,59,"",28,55,.509,7,19,.368,21,36,.583,.573,10,15,.667,8,24,32,17,7,2,10,17,19,56,.339,5,29,.172,14,27,.519,.384,16,20,.800,11,17,28,6,6,2,12,14
26,2024-02-15,"",Georgia State,REG (Conf),W,83,63,"",24,49,.490,7,17,.412,17,32,.531,.561,28,31,.903,8,26,34,8,11,3,10,13,23,59,.390,7,26,.269,16,33,.485,.449,10,12,.833,7,19,26,8,9,0,13,20
27,2024-02-17,"",Georgia Southern,REG (Conf),W,87,80,"",26,54,.481,7,18,.389,19,36,.528,.546,28,39,.718,7,19,26,15,6,0,4,18,29,57,.509,7,24,.292,22,33,.667,.570,15,19,.789,9,21,30,8,2,5,9,23
28,2024-02-21,@,Marshall,REG (Conf),W,84,58,"",26,52,.500,13,23,.565,13,29,.448,.625,19,27,.704,6,28,34,15,10,3,12,23,20,64,.313,4,30,.133,16,34,.471,.344,14,20,.700,13,24,37,6,8,3,14,20
