Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2023-11-06,"",Cal State Fullerton,REG (Non-Conf),W,83,57,"",28,62,.452,9,31,.290,19,31,.613,.524,18,28,.643,9,30,39,19,12,5,14,21,20,61,.328,5,24,.208,15,37,.405,.369,12,18,.667,12,27,39,9,7,2,18,22
2,2023-11-10,@,Brigham Young,REG (Non-Conf),L,65,74,"",26,58,.448,5,18,.278,21,40,.525,.491,8,13,.615,4,21,25,10,11,3,13,18,26,61,.426,10,27,.370,16,34,.471,.508,12,16,.750,7,28,35,13,6,2,14,19
3,2023-11-14,"",Long Beach State,REG (Non-Conf),W,88,76,"",28,58,.483,9,24,.375,19,34,.559,.560,23,30,.767,10,22,32,20,11,3,15,19,27,54,.500,7,17,.412,20,37,.541,.565,15,20,.750,3,19,22,10,12,4,18,25
4,2023-11-17,N,St. Mary's (CA),REG (Non-Conf),W,79,54,"",29,56,.518,6,14,.429,23,42,.548,.571,15,23,.652,10,25,35,19,5,7,7,14,21,61,.344,6,24,.250,15,37,.405,.393,6,14,.429,14,15,29,10,3,3,8,17
5,2023-11-19,N,Washington,REG (Non-Conf),W,100,97,OT,30,69,.435,9,22,.409,21,47,.447,.500,31,41,.756,17,20,37,19,10,4,7,19,36,68,.529,7,23,.304,29,45,.644,.581,18,21,.857,6,25,31,27,7,2,13,27
6,2023-11-25,N,California,REG (Non-Conf),W,76,67,OT,20,57,.351,5,19,.263,15,38,.395,.395,31,37,.838,7,28,35,7,8,1,5,15,23,72,.319,9,38,.237,14,34,.412,.382,12,18,.667,20,31,51,7,3,1,12,25
7,2023-11-27,"","",REG (Non-Conf),W,71,51,"",26,57,.456,8,25,.320,18,32,.563,.526,11,16,.688,9,29,38,17,8,3,14,15,17,58,.293,9,33,.273,8,25,.320,.371,8,9,.889,5,19,24,11,6,3,12,17
8,2023-12-01,@,UC San Diego,REG (Non-Conf),W,63,62,"",26,63,.413,8,21,.381,18,42,.429,.476,3,4,.750,11,26,37,15,2,4,9,11,23,58,.397,10,29,.345,13,29,.448,.483,6,7,.857,5,20,25,12,5,4,4,10
9,2023-12-05,@,Grand Canyon,REG (Non-Conf),L,73,79,"",25,62,.403,8,25,.320,17,37,.459,.468,15,24,.625,12,17,29,10,10,1,6,22,24,50,.480,8,25,.320,16,25,.640,.560,23,31,.742,10,29,39,13,6,5,12,21
10,2023-12-09,"",UC Irvine,REG (Non-Conf),W,63,62,"",18,47,.383,8,20,.400,10,27,.370,.468,19,22,.864,5,26,31,11,6,3,13,20,23,57,.404,7,21,.333,16,36,.444,.465,9,15,.600,10,24,34,9,6,1,11,19
11,2023-12-19,"","",REG (Non-Conf),W,91,57,"",33,72,.458,7,23,.304,26,49,.531,.507,18,20,.900,15,30,45,12,8,4,12,14,19,58,.328,10,28,.357,9,30,.300,.414,9,9,1.000,4,18,22,10,4,2,17,16
12,2023-12-21,"",Stanford,REG (Non-Conf),W,74,60,"",27,60,.450,8,27,.296,19,33,.576,.517,12,19,.632,6,23,29,14,9,3,6,20,20,49,.408,3,20,.150,17,29,.586,.439,17,19,.895,5,25,30,11,3,2,13,17
13,2023-12-29,@,Gonzaga,REG (Non-Conf),W,84,74,"",32,64,.500,8,25,.320,24,39,.615,.563,12,16,.750,6,25,31,9,5,3,10,17,25,59,.424,5,19,.263,20,40,.500,.466,19,25,.760,10,20,30,14,7,2,13,13
14,2024-01-03,"",Fresno State,REG (Conf),W,74,47,"",30,57,.526,5,22,.227,25,35,.714,.570,9,12,.750,8,26,34,13,4,6,10,13,19,55,.345,4,15,.267,15,40,.375,.382,5,15,.333,8,16,24,7,4,1,11,17
15,2024-01-06,"",UNLV,REG (Conf),W,72,61,"",22,48,.458,5,16,.313,17,32,.531,.510,23,30,.767,10,22,32,8,9,3,16,17,23,58,.397,8,30,.267,15,28,.536,.466,7,12,.583,9,17,26,10,7,3,12,24
16,2024-01-09,@,San Jose State,REG (Conf),W,81,78,"",27,57,.474,6,18,.333,21,39,.538,.526,21,29,.724,11,21,32,10,4,4,7,19,23,54,.426,9,27,.333,14,27,.519,.509,23,25,.920,5,18,23,13,3,0,8,23
17,2024-01-13,@,New Mexico,REG (Conf),L,70,88,"",26,64,.406,7,22,.318,19,42,.452,.461,11,20,.550,6,29,35,15,6,1,12,22,30,68,.441,7,24,.292,23,44,.523,.493,21,31,.677,13,32,45,12,8,14,10,18
18,2024-01-17,"",Nevada,REG (Conf),W,71,59,"",22,53,.415,5,21,.238,17,32,.531,.462,22,34,.647,17,24,41,6,8,3,12,17,23,51,.451,6,23,.261,17,28,.607,.510,7,17,.412,6,18,24,11,8,3,12,25
19,2024-01-20,@,Boise State,REG (Conf),L,66,67,"",22,51,.431,6,24,.250,16,27,.593,.490,16,19,.842,8,26,34,6,4,4,13,19,22,56,.393,9,24,.375,13,32,.406,.473,14,20,.700,7,20,27,11,6,1,11,17
20,2024-01-23,"",Wyoming,REG (Conf),W,81,65,"",32,65,.492,8,30,.267,24,35,.686,.554,9,13,.692,4,22,26,13,10,6,2,15,23,57,.404,9,25,.360,14,32,.438,.482,10,11,.909,8,25,33,8,1,1,14,14
21,2024-01-30,@,Colorado State,REG (Conf),L,71,79,"",27,60,.450,10,23,.435,17,37,.459,.533,7,7,1.000,12,16,28,14,8,2,15,16,28,52,.538,7,21,.333,21,31,.677,.606,16,22,.727,5,20,25,18,11,3,10,11
22,2024-02-03,"",Utah State,REG (Conf),W,81,67,"",26,55,.473,9,20,.450,17,35,.486,.555,20,28,.714,9,24,33,10,8,5,10,13,25,61,.410,6,23,.261,19,38,.500,.459,11,13,.846,8,18,26,15,8,4,12,21
23,2024-02-06,@,Air Force,REG (Conf),W,77,64,"",25,49,.510,11,22,.500,14,27,.519,.622,16,22,.727,8,20,28,14,8,5,9,19,21,46,.457,10,20,.500,11,26,.423,.565,12,21,.571,8,16,24,10,7,2,11,19
24,2024-02-09,@,Nevada,REG (Conf),L,66,70,OT,20,49,.408,3,19,.158,17,30,.567,.439,23,27,.852,6,25,31,10,7,3,15,27,24,52,.462,3,13,.231,21,39,.538,.490,19,32,.594,10,18,28,14,8,1,16,25
25,2024-02-13,"",Colorado State,REG (Conf),W,71,55,"",24,54,.444,5,17,.294,19,37,.514,.491,18,25,.720,13,30,43,14,8,5,15,17,19,53,.358,8,25,.320,11,28,.393,.434,9,13,.692,4,18,22,12,9,3,13,22
26,2024-02-16,"",New Mexico,REG (Conf),W,81,70,"",29,51,.569,7,17,.412,22,34,.647,.637,16,23,.696,7,21,28,20,12,6,20,22,22,62,.355,5,22,.227,17,40,.425,.395,21,23,.913,14,17,31,6,11,0,18,17
27,2024-02-20,@,Utah State,REG (Conf),L,63,68,"",24,56,.429,3,19,.158,21,37,.568,.455,12,15,.800,8,23,31,11,6,1,9,19,25,51,.490,7,22,.318,18,29,.621,.559,11,15,.733,4,25,29,16,3,3,10,14
28,2024-02-24,@,Fresno State,REG (Conf),W,73,41,"",28,67,.418,8,27,.296,20,40,.500,.478,9,11,.818,12,34,46,13,3,9,4,13,14,57,.246,5,27,.185,9,30,.300,.289,8,12,.667,8,22,30,3,4,4,7,11
29,2024-02-27,"",San Jose State,REG (Conf),W,72,64,"",25,58,.431,5,20,.250,20,38,.526,.474,17,22,.773,8,26,34,18,5,4,10,6,27,61,.443,9,29,.310,18,32,.563,.516,1,2,.500,7,23,30,10,3,5,9,20
30,2024-03-05,@,UNLV,REG (Conf),L,58,62,"",18,64,.281,11,33,.333,7,31,.226,.367,11,15,.733,17,15,32,14,10,4,8,19,20,50,.400,8,18,.444,12,32,.375,.480,14,21,.667,12,24,36,11,7,10,12,12
31,2024-03-08,"",Boise State,REG (Conf),L,77,79,OT,30,67,.448,6,25,.240,24,42,.571,.493,11,17,.647,12,26,38,16,5,4,11,18,28,64,.438,11,27,.407,17,37,.459,.523,12,19,.632,13,23,36,13,5,2,9,20
32,2024-03-14,@,UNLV,CTOURN,W,74,71,OT,26,71,.366,6,23,.261,20,48,.417,.408,16,26,.615,17,24,41,12,9,4,11,20,21,52,.404,7,19,.368,14,33,.424,.471,22,29,.759,7,19,26,9,4,7,11,23
33,2024-03-15,N,Utah State,CTOURN,W,86,70,"",29,62,.468,8,23,.348,21,39,.538,.532,20,30,.667,14,24,38,14,6,6,5,23,22,55,.400,5,20,.250,17,35,.486,.445,21,32,.656,9,21,30,10,3,4,8,22
