Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2023-11-06,"",Southern,REG (Non-Conf),W,108,75,"",43,70,.614,10,23,.435,33,47,.702,.686,12,17,.706,12,25,37,28,10,9,13,15,29,65,.446,10,24,.417,19,41,.463,.523,7,13,.538,8,15,23,14,7,3,16,18
2,2023-11-09,"",Omaha,REG (Non-Conf),W,82,60,"",35,71,.493,3,15,.200,32,56,.571,.514,9,10,.900,15,33,48,19,9,3,16,22,22,56,.393,6,18,.333,16,38,.421,.446,10,22,.455,3,16,19,14,7,2,16,10
3,2023-11-14,"",TexasâRio Grande Valley,REG (Non-Conf),W,88,55,"",35,68,.515,8,17,.471,27,51,.529,.574,10,11,.909,11,28,39,24,13,9,18,17,23,56,.411,2,11,.182,21,45,.467,.429,7,13,.538,4,15,19,15,9,7,21,14
4,2023-11-17,"",Mississippi Valley State,REG (Non-Conf),W,86,52,"",30,56,.536,6,17,.353,24,39,.615,.589,20,30,.667,10,23,33,21,15,4,10,16,20,52,.385,3,11,.273,17,41,.415,.413,9,15,.600,8,17,25,7,6,1,19,19
5,2023-11-21,"",Alcorn State,REG (Non-Conf),W,93,74,"",27,57,.474,7,27,.259,20,30,.667,.535,32,39,.821,8,27,35,20,11,5,13,21,27,63,.429,6,19,.316,21,44,.477,.476,14,23,.609,10,24,34,14,7,1,17,24
6,2023-11-27,"",Houston Christian,REG (Non-Conf),W,101,64,"",39,67,.582,5,17,.294,34,50,.680,.619,18,22,.818,2,28,30,26,17,9,6,10,27,64,.422,4,14,.286,23,50,.460,.453,6,8,.750,8,25,33,17,6,2,22,13
7,2023-12-02,@,Georgetown,REG (Non-Conf),W,84,83,"",34,65,.523,7,20,.350,27,45,.600,.577,9,17,.529,13,18,31,17,8,4,12,18,24,53,.453,12,25,.480,12,28,.429,.566,23,31,.742,10,18,28,11,5,4,13,15
8,2023-12-09,N,Clemson,REG (Non-Conf),L,66,74,"",19,59,.322,3,16,.188,16,43,.372,.347,25,33,.758,15,23,38,10,10,2,9,20,24,58,.414,7,27,.259,17,31,.548,.474,19,24,.792,13,26,39,18,5,5,13,24
9,2023-12-16,N,Arizona State,REG (Non-Conf),W,79,59,"",31,68,.456,6,18,.333,25,50,.500,.500,11,15,.733,12,28,40,24,13,4,12,19,20,52,.385,5,20,.250,15,32,.469,.433,14,21,.667,4,25,29,11,7,6,19,14
10,2023-12-21,N,Old Dominion,REG (Non-Conf),W,111,87,"",36,66,.545,9,23,.391,27,43,.628,.614,30,38,.789,14,26,40,21,12,2,14,24,29,62,.468,8,24,.333,21,38,.553,.532,21,29,.724,8,13,21,8,13,3,16,25
11,2023-12-22,N,Nevada,REG (Non-Conf),L,75,88,"",24,53,.453,3,14,.214,21,39,.538,.481,24,27,.889,8,22,30,13,4,0,11,24,26,50,.520,8,17,.471,18,33,.545,.600,28,35,.800,7,19,26,12,8,1,8,21
12,2023-12-24,@,Hawaii,REG (Non-Conf),W,65,51,"",25,55,.455,6,10,.600,19,45,.422,.509,9,14,.643,7,29,36,9,6,2,13,12,18,54,.333,7,28,.250,11,26,.423,.398,8,11,.727,3,23,26,8,5,4,17,16
13,2024-01-01,"",Texas A&MâCommerce,REG (Non-Conf),W,77,42,"",31,64,.484,3,15,.200,28,49,.571,.508,12,24,.500,20,31,51,21,9,4,16,7,19,59,.322,2,22,.091,17,37,.459,.339,2,6,.333,8,18,26,12,9,4,15,21
14,2024-01-06,@,Kansas,REG (Conf),L,81,83,"",30,65,.462,8,21,.381,22,44,.500,.523,13,16,.813,9,17,26,17,16,3,9,17,32,60,.533,5,14,.357,27,46,.587,.575,14,19,.737,14,21,35,18,5,2,18,14
15,2024-01-10,"",Oklahoma,REG (Conf),W,80,71,"",28,64,.438,7,24,.292,21,40,.525,.492,17,22,.773,9,24,33,14,7,2,7,17,26,58,.448,7,25,.280,19,33,.576,.509,12,17,.706,9,29,38,19,2,2,14,20
16,2024-01-13,"",Houston,REG (Conf),W,68,67,"",22,51,.431,8,15,.533,14,36,.389,.510,16,29,.552,9,21,30,18,3,4,11,14,27,64,.422,4,18,.222,23,46,.500,.453,9,13,.692,13,22,35,15,7,7,5,24
17,2024-01-16,@,Cincinnati,REG (Conf),L,77,81,OT,30,72,.417,11,25,.440,19,47,.404,.493,6,12,.500,12,22,34,20,10,2,18,19,32,61,.525,6,16,.375,26,45,.578,.574,11,21,.524,9,25,34,17,8,6,15,15
18,2024-01-20,"",Iowa State,REG (Conf),L,72,73,"",23,46,.500,6,18,.333,17,28,.607,.565,20,26,.769,12,22,34,13,5,5,26,15,29,62,.468,7,21,.333,22,41,.537,.524,8,13,.615,11,11,22,18,18,4,13,18
19,2024-01-23,@,Oklahoma State,REG (Conf),W,74,69,"",30,57,.526,3,15,.200,27,42,.643,.553,11,18,.611,9,27,36,11,3,4,9,19,21,51,.412,10,27,.370,11,24,.458,.510,17,24,.708,3,19,22,10,3,1,5,18
20,2024-01-27,@,Baylor,REG (Conf),W,105,102,3OT,40,76,.526,8,20,.400,32,56,.571,.579,17,24,.708,11,22,33,16,12,3,10,23,35,73,.479,5,22,.227,30,51,.588,.514,27,38,.711,16,24,40,21,5,2,14,18
21,2024-01-30,"",Texas Tech,REG (Conf),W,85,78,"",25,58,.431,11,20,.550,14,38,.368,.526,24,32,.750,12,20,32,17,5,1,9,16,27,52,.519,14,28,.500,13,24,.542,.654,10,14,.714,4,22,26,23,3,2,13,21
22,2024-02-03,"",Texas,REG (Conf),L,66,77,"",27,54,.500,7,12,.583,20,42,.476,.565,5,7,.714,2,14,16,17,6,4,14,14,29,57,.509,6,12,.500,23,45,.511,.561,13,15,.867,12,20,32,14,11,5,14,14
23,2024-02-10,@,Iowa State,REG (Conf),L,59,71,"",23,52,.442,5,17,.294,18,35,.514,.490,8,16,.500,11,14,25,15,7,3,9,17,24,48,.500,8,19,.421,16,29,.552,.583,15,18,.833,4,18,22,20,5,6,10,16
24,2024-02-12,"",West Virginia,REG (Conf),W,81,65,"",31,64,.484,6,20,.300,25,44,.568,.531,13,18,.722,7,24,31,20,10,6,11,20,21,54,.389,8,24,.333,13,30,.433,.463,15,18,.833,3,25,28,13,3,4,19,16
25,2024-02-17,@,Kansas State,REG (Conf),W,75,72,"",24,56,.429,6,14,.429,18,42,.429,.482,21,30,.700,13,16,29,13,9,4,12,21,23,48,.479,1,15,.067,22,33,.667,.490,25,29,.862,5,18,23,10,6,5,14,21
26,2024-02-20,@,Texas Tech,REG (Conf),L,81,82,"",30,71,.423,5,19,.263,25,52,.481,.458,16,21,.762,17,28,45,16,7,3,12,21,26,66,.394,6,22,.273,20,44,.455,.439,24,28,.857,12,20,32,14,10,2,9,17
27,2024-02-24,"",Cincinnati,REG (Conf),W,75,57,"",26,58,.448,9,22,.409,17,36,.472,.526,14,15,.933,7,23,30,18,11,4,10,10,22,53,.415,5,14,.357,17,39,.436,.462,8,14,.571,6,24,30,13,7,6,16,12
28,2024-02-26,"",Baylor,REG (Conf),L,54,62,"",17,51,.333,5,19,.263,12,32,.375,.382,15,18,.833,6,20,26,12,7,6,13,15,20,53,.377,9,22,.409,11,31,.355,.462,13,17,.765,8,26,34,15,9,2,13,17
29,2024-03-02,@,Brigham Young,REG (Conf),L,75,87,"",29,71,.408,8,16,.500,21,55,.382,.465,9,11,.818,13,22,35,13,6,3,7,19,32,61,.525,9,28,.321,23,33,.697,.598,14,21,.667,8,26,34,19,2,6,10,16
30,2024-03-06,@,West Virginia,REG (Conf),W,93,81,"",30,54,.556,11,23,.478,19,31,.613,.657,22,26,.846,6,22,28,21,9,3,12,25,29,51,.569,4,14,.286,25,37,.676,.608,19,34,.559,7,20,27,16,2,2,15,15
31,2024-03-09,"",UCF,REG (Conf),L,77,79,"",24,57,.421,8,20,.400,16,37,.432,.491,21,32,.656,10,20,30,19,8,0,10,20,27,55,.491,6,14,.429,21,41,.512,.545,19,24,.792,11,22,33,13,6,5,13,24
32,2024-03-13,N,Oklahoma,CTOURN,W,77,70,"",25,53,.472,7,18,.389,18,35,.514,.538,20,26,.769,7,21,28,14,11,5,14,19,23,48,.479,8,21,.381,15,27,.556,.563,16,26,.615,6,22,28,11,8,2,18,20
33,2024-03-14,N,Houston,CTOURN,L,45,60,"",17,73,.233,2,20,.100,15,53,.283,.247,9,14,.643,26,23,49,5,10,2,14,14,21,53,.396,8,23,.348,13,30,.433,.472,10,14,.714,8,28,36,10,9,9,13,16
