Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2023-11-06,"","",REG (Non-Conf),W,101,48,"",39,62,.629,9,17,.529,30,45,.667,.702,14,21,.667,14,31,45,26,13,4,11,17,16,56,.286,4,25,.160,12,31,.387,.321,12,14,.857,7,8,15,7,5,3,14,17
2,2023-11-11,@,Bradley,REG (Non-Conf),L,66,72,OT,24,71,.338,8,31,.258,16,40,.400,.394,10,14,.714,11,34,45,18,5,5,10,22,27,63,.429,5,24,.208,22,39,.564,.468,13,25,.520,7,34,41,12,6,6,11,17
3,2023-11-14,"",Southern Utah,REG (Non-Conf),W,93,84,"",33,52,.635,6,17,.353,27,35,.771,.692,21,32,.656,7,27,34,16,6,6,14,21,32,63,.508,9,27,.333,23,36,.639,.579,11,16,.688,6,17,23,8,6,0,10,25
4,2023-11-19,N,Marshall,REG (Non-Conf),W,83,60,"",30,55,.545,4,14,.286,26,41,.634,.582,19,28,.679,7,27,34,19,5,5,12,18,21,60,.350,4,18,.222,17,42,.405,.383,14,21,.667,8,22,30,11,5,2,13,21
5,2023-11-20,N,Akron,REG (Non-Conf),W,65,62,"",26,57,.456,3,10,.300,23,47,.489,.482,10,15,.667,8,22,30,16,5,3,10,16,20,53,.377,5,24,.208,15,29,.517,.425,17,20,.850,6,23,29,9,6,1,8,18
6,2023-11-21,N,Stephen F. Austin,REG (Non-Conf),W,79,49,"",34,61,.557,4,15,.267,30,46,.652,.590,7,12,.583,9,28,37,20,9,7,14,14,19,56,.339,3,17,.176,16,39,.410,.366,8,11,.727,5,17,22,3,9,4,17,12
7,2023-11-28,@,Saint Louis,REG (Non-Conf),W,81,76,"",35,61,.574,6,23,.261,29,38,.763,.623,5,10,.500,12,21,33,20,5,7,12,12,27,57,.474,10,24,.417,17,33,.515,.561,12,13,.923,4,16,20,16,7,0,10,11
8,2023-12-02,"",UC Irvine,REG (Non-Conf),W,79,69,"",30,59,.508,8,24,.333,22,35,.629,.576,11,15,.733,7,20,27,16,6,6,9,16,27,57,.474,5,13,.385,22,44,.500,.518,10,14,.714,9,17,26,16,5,2,11,16
9,2023-12-06,"",San Diego,REG (Non-Conf),W,108,81,"",40,67,.597,5,15,.333,35,52,.673,.634,23,33,.697,11,26,37,19,9,5,10,17,30,63,.476,9,24,.375,21,39,.538,.548,12,16,.750,6,18,24,12,7,2,15,23
10,2023-12-09,"","",REG (Non-Conf),W,84,53,"",31,60,.517,8,17,.471,23,43,.535,.583,14,15,.933,6,21,27,23,13,2,14,15,17,47,.362,4,12,.333,13,35,.371,.404,15,18,.833,5,20,25,10,10,2,22,16
11,2023-12-13,@,Santa Clara,REG (Non-Conf),W,84,82,"",28,75,.373,11,28,.393,17,47,.362,.447,17,25,.680,12,22,34,14,10,3,8,19,32,56,.571,8,19,.421,24,37,.649,.643,10,13,.769,4,25,29,17,5,1,17,16
12,2023-12-16,N,San Francisco,REG (Non-Conf),W,54,53,"",16,53,.302,2,21,.095,14,32,.438,.321,20,27,.741,11,21,32,8,12,1,12,10,21,52,.404,5,20,.250,16,32,.500,.452,6,10,.600,5,28,33,11,8,5,16,19
13,2023-12-22,"",East Tennessee State,REG (Non-Conf),W,80,65,"",25,54,.463,6,18,.333,19,36,.528,.519,24,36,.667,7,32,39,16,6,2,8,24,20,60,.333,4,25,.160,16,35,.457,.367,21,35,.600,12,28,40,9,5,1,8,27
