Year,Team,Date,Opp_name,opp_rk,opp_conf,opp_adjoe,opp_oe_rank,opp_adjde,opp_de_rank,opp_barthag,opp_barthag_rank,opp_sos,opp_nconf_sos,opp_conf_sos,opp_proj_sos,opp_proj_nconf_sos,opp_proj_conf_sos,opp_elite_sos,opp_elite_nconf_sos,opp_opp_oe,opp_opp_de,opp_proj_opp_oe,opp_proj_opp_de,opp_conf_adj_oe,opp_conf_adj_de,opp_qual_o,opp_qual_d,opp_qual_barthag,opp_qual_games,opp_fun,opp_conf_pf,opp_conf_pa,opp_conf_poss,opp_conf_oe,opp_conf_de,opp_conf_win%,opp_wab,opp_wab_rk,opp_fun_rk,opp_adjt,opp_qual_games_ratio
2017,providence,2016-11-14,vermont,67,AE,109.52344877960348,66,97.98989788420462,67,0.7823909110611209,67,0.40752235820853855,0.5418414389315639,0.3065043908120494,0.4109944177548681,0.5057186763361263,0.3065043908120494,0.867624867372872,0.8081886617848698,102.32388157826176,106.26322843461666,99.8014447300366,102.82175657964795,110.34219488628426,98.9308071768083,103.70021547613662,103.93260729241919,0.49356469899125033,4,0.0607613453881799,1204.0,977.0,1043.1125000000002,1.154237917770135,0.9366199714795862,1.0,0.6617517182109409,46,51,65.88978533799427,0.12121212121212122
2017,providence,2016-11-17,ohio-state,62,B10,111.6868961205108,50,99.65813372989271,91,0.7875914213521751,62,0.6656864380810342,0.4606373020537472,0.818586152244296,0.6656864380810342,0.4606373020537472,0.818586152244296,0.7098698350738452,0.8366799146102097,107.11831688978353,98.92834759054563,107.11831688978353,98.92834759054563,114.03257313171599,102.47628605981419,120.25860775899454,104.47130540683453,0.834576907483788,11,-0.03488320007313328,1297.0,1346.0,1230.925,1.0536791437333712,1.0934866056014787,0.3888888888888889,-3.1716943851656088,86,251,69.34931830052679,0.34375
2017,providence,2016-11-19,grambling,333,SWAC,94.62950873413853,322,112.9171149985526,323,0.11589676581813822,333,0.2546220958071685,0.4735045083400024,0.13241391273640335,0.23870821481922044,0.39458709028333533,0.13241391273640335,0.9205919419555495,0.8261965271853215,96.57815056204737,109.30692812419288,90.54201615191941,102.47524511643083,95.44392562087846,112.81331831754343,86.03126596987289,100.81973044346,0.13893452104124018,2,0.025884419179189433,1273.0,1247.0,1226.525,1.0378916043293043,1.0166935040052179,0.5555555555555556,-13.605063388700458,272,124,68.51962436019777,0.06666666666666667
2017,providence,2016-11-25,memphis,106,Amer,105.5092706324829,133,100.17216314472012,100,0.644957650565212,106,0.5709419561432317,0.4563250070242027,0.6418800512786227,0.5709419561432317,0.4563250070242027,0.6418800512786227,0.7783569742552273,0.8440769456641977,104.63537517280577,101.25183063398023,104.63537517280577,101.25183063398023,102.85668313875206,97.6667846075393,125.30189675261734,116.99871666632362,0.6875037648631822,8,0.05614718126655549,1231.0,1236.0,1237.3875,0.9948379145578891,0.9988786859411461,0.5,-3.450036875805435,90,58,70.0505311993115,0.25
2017,providence,2016-11-26,virginia,3,ACC,113.7702414713253,36,86.0577153853414,1,0.9612227448821415,3,0.7526515769904868,0.5765703364266076,0.8583743082788851,0.7592754412578993,0.5765703364266076,0.8583743082788851,0.6119810313671471,0.7508355455092319,111.4249446062698,98.2673202708957,111.70872564846003,98.17840040442776,111.92745209366083,84.40869055367699,118.42936913557689,94.19940702445699,0.9329168282705008,18,-0.0927691791388322,1171.0,1066.0,1120.2375000000002,1.045314051707785,0.9515839275153705,0.6111111111111112,4.897227458667558,22,329,60.25052761280054,0.5625
2017,providence,2016-11-30,new-hampshire,185,AE,100.92122818338768,220,102.5033519361844,155,0.4553976573578432,185,0.4101235221356761,0.47010874616289766,0.34661996594088174,0.37167444193545646,0.3693711576994196,0.34661996594088174,0.872263128526913,0.8426688133097161,102.09305469761601,105.80817460246018,92.52183081971451,95.88865823347955,104.48605126884239,102.85563068158457,97.0002138742689,111.64746027080342,0.16558032688426322,4,0.038415091954618674,1172.0,1088.0,1083.0125,1.0821666416592606,1.0046052100045013,0.625,-6.370845368068716,136,92,66.86506590863158,0.13793103448275862
2017,providence,2016-12-03,rhode-island,38,A10,109.9683769602169,61,94.03630567241994,30,0.8581351664970105,38,0.6000788435346205,0.5566273151215597,0.6037363678117614,0.6180258465958423,0.5566273151215597,0.6037363678117614,0.7706424911756342,0.7599693003390454,105.99922949118017,101.40683949527072,106.57052727044045,101.00478408393523,108.03822393997592,94.42973741065161,127.32312422763158,108.63656506678554,0.8611986100912027,5,-0.00470008685880885,1312.0,1173.0,1234.9625,1.0623804366529348,0.9498264117331497,0.7222222222222222,0.3433166927964194,50,183,67.76057026092728,0.15151515151515152
2017,providence,2016-12-06,brown,277,Ivy,102.66043355746746,187,112.99717243170156,325,0.24912878587921508,277,0.4115202188674512,0.3568020744084223,0.46623836332648,0.38408553760962116,0.31220181510736955,0.46623836332648,0.8702598759897392,0.8654374593169959,101.17579069125577,105.05836998351404,94.43073797850539,98.05447865127978,103.33061265992092,112.8307477221946,104.98546942664919,118.60436983944876,0.19739263239037608,4,-0.012726890391507983,1031.0,1118.0,994.1000000000001,1.0371190021124634,1.124635348556483,0.2857142857142857,-11.665171061992279,236,207,72.73783033183092,0.14285714285714285
2017,providence,2016-12-10,massachusetts,158,A10,99.8068356693733,242,99.46515519047759,87,0.5098579337667871,158,0.5541985920230934,0.45006585708978436,0.6260278444526987,0.5541985920230934,0.45006585708978436,0.6260278444526987,0.8301436441686985,0.8651618151493632,104.47258303273323,102.5686187844152,104.47258303273323,102.5686187844152,101.16792132467415,102.25169105472125,106.94742162763805,97.38739933465837,0.7459003866995467,3,-0.010090903185180078,1278.0,1366.0,1303.7624999999998,0.9802398826473381,1.0477368385729764,0.2222222222222222,-10.137491138200765,205,198,73.5836677654006,0.09090909090909091
2017,providence,2016-12-17,wagner,258,NEC,99.50430287917698,250,107.63580264246282,254,0.2883619244217396,258,0.3088556956900464,0.4609530166186821,0.23891083727543572,0.29856050583371146,0.4148577149568139,0.23891083727543572,0.9283535560759711,0.866063734533219,98.12863315160631,106.48932639435084,94.85767871321943,102.93968218120581,97.7905926771461,106.1664965256009,84.6883580678405,104.43480964224469,0.08239620078302452,1,0.007829857213668356,1216.0,1155.0,1177.9750000000001,1.032279971985823,0.9804961904964026,0.6111111111111112,-10.761712082548177,215,164,64.36197087954051,0.034482758620689655
2017,providence,2016-12-20,maine,337,AE,90.39525513367789,344,109.30844448565233,281,0.10112455119966243,337,0.4239830583349897,0.43300103649814153,0.3905754938750161,0.4107335877620213,0.4041343007315988,0.3905754938750161,0.8578879280410455,0.8308929977524546,102.78629537339555,105.89301145839467,99.57422364297693,102.58385485031984,88.66216606979164,107.76799124902303,85.3740293326132,102.19302753209668,0.11225143068821551,5,-0.016825030987455913,981.0,1158.0,1083.4750000000001,0.9054200604536329,1.068783312951383,0.1875,-18.806769904430695,336,216,69.61462762384573,0.16129032258064516
2017,providence,2016-12-23,boston-college,127,ACC,104.84251057866481,149,101.61336665527793,128,0.5889844475181717,127,0.6924700606854062,0.42647333307285773,0.8734852050320883,0.6924700606854062,0.42647333307285773,0.8734852050320883,0.6617176776404319,0.886030712048972,110.70141489709562,100.41108464149708,110.70141489709562,100.41108464149708,108.02334808232303,101.75692258313602,111.20996477843472,106.81740266861034,0.6138299193540633,15,-0.09333925332930493,1293.0,1485.0,1289.625,1.0026170398371619,1.151497528351265,0.1111111111111111,-9.843289034220508,200,330,72.5304839509021,0.46875
2017,providence,2016-12-28,xavier,36,BE,114.93728422052487,33,98.11693503452238,70,0.8605188908047595,36,0.7390919963762105,0.6401087447872682,0.8058301996185194,0.7577496829721438,0.6401087447872682,0.8058301996185194,0.6353356250409959,0.7495188032196654,110.72362134573726,98.51403353255469,111.37112806690693,97.99788911480653,115.85410439482595,100.8814173830456,121.02427388015322,105.7264747697033,0.8254995996366825,17,0.023416448496099806,1340.0,1361.0,1235.2375,1.0848116252947309,1.101812404497111,0.5,1.5218264284604304,40,128,68.69018433580194,0.5
2017,providence,2017-01-01,butler,27,BE,117.74428152967297,18,97.176946922671,59,0.9009467916916283,27,0.7382453629797598,0.6335436273467299,0.8012535463003955,0.7441962759035796,0.6335436273467299,0.8012535463003955,0.6568350378367486,0.7478422480494847,110.3915382306041,98.69421044654908,110.608381493898,98.5219521617099,118.4973442066187,99.00358867882048,126.20593052644448,100.94685098204283,0.9287860115870569,16,0.07735249827579016,1367.0,1291.0,1215.5875,1.1245591123633634,1.0620379034828837,0.6666666666666666,5.438023791988696,20,27,66.98425748572475,0.5161290322580645
2017,providence,2017-01-04,georgetown,64,BE,107.81583116678856,95,96.24084547547069,48,0.7868535153561202,64,0.7126050138303587,0.5749363117184308,0.8140680634901126,0.7126050138303587,0.5749363117184308,0.8140680634901126,0.6689780716418136,0.7681955274801684,110.7056284627377,100.02764832642016,110.7056284627377,100.02764832642016,107.47434378286657,95.96584698288954,117.66936860793454,101.43790041896685,0.846442513489724,15,-0.0782140737904845,1273.0,1326.0,1263.45,1.0075586687245242,1.0495073014365428,0.2777777777777778,-4.646962645068506,101,316,70.31259826663296,0.46875
2017,providence,2017-01-07,creighton,26,BE,114.99548180699996,32,94.62474700518804,35,0.903975484277557,26,0.7020693950404252,0.5075120477241929,0.800908899321661,0.6864692915094416,0.46847265943771654,0.800908899321661,0.6953966848879742,0.8658348930681488,110.05159929604451,100.09416445204323,106.9048901065618,97.0612495025676,116.35258273695764,94.55296425908979,123.4203179013767,102.15486540751063,0.8979559730819416,14,0.0314568701988005,1408.0,1331.0,1289.85,1.0915997984261736,1.0319029344497423,0.5555555555555556,4.2013353835969784,23,107,72.63631539206521,0.42424242424242425
2017,providence,2017-01-10,depaul,162,BE,102.98709953036112,180,103.064205280582,162,0.49784832545449775,162,0.6660424477422417,0.4024310995103032,0.845624174628507,0.6660424477422417,0.4024310995103032,0.845624174628507,0.703724881921848,0.9002875176869074,108.8729934624721,100.29143665894686,108.8729934624721,100.29143665894686,104.28551255138248,102.6390752957029,102.7429584753017,102.83678734291871,0.49737566038051717,14,-0.07288374170715939,1193.0,1400.0,1234.4499999999998,0.9664222933290131,1.1341083073433516,0.1111111111111111,-10.906469089882581,220,315,69.117683302872,0.4375
2017,providence,2017-01-14,seton-hall,51,BE,109.19783346904362,71,95.50401421227161,43,0.823598258218504,51,0.6969973573973182,0.48872377572962117,0.8099740378486592,0.7008195618015847,0.48872377572962117,0.8099740378486592,0.6622117290926142,0.8111211308722152,109.6159882398032,99.18117695981282,109.79735659286928,99.24031189131277,109.47274072213001,96.11259102137127,118.81868943942148,102.31666377798926,0.8480709757588367,16,0.10327200613706422,1286.0,1300.0,1240.45,1.0367205449635213,1.0480067717360635,0.5555555555555556,2.5779418560285956,33,14,68.8173723109438,0.5
2017,providence,2017-01-16,georgetown,64,BE,107.81583116678856,95,96.24084547547069,48,0.7868535153561202,64,0.7126050138303587,0.5749363117184308,0.8140680634901126,0.7126050138303587,0.5749363117184308,0.8140680634901126,0.6689780716418136,0.7681955274801684,110.7056284627377,100.02764832642016,110.7056284627377,100.02764832642016,107.47434378286657,95.96584698288954,117.66936860793454,101.43790041896685,0.846442513489724,15,-0.0782140737904845,1273.0,1326.0,1263.45,1.0075586687245242,1.0495073014365428,0.2777777777777778,-4.646962645068506,101,316,70.31259826663296,0.46875
2017,providence,2017-01-21,villanova,2,BE,122.71065128165259,4,91.61863798678651,11,0.9664384316033607,2,0.72401824727448,0.6096742027192745,0.7937399323375675,0.7204918039030177,0.6096742027192745,0.7937399323375675,0.6783964408890855,0.7402795406169708,109.89372635806544,99.07516108071609,109.6574344416602,98.93123658143942,122.38061959878844,91.20385380384735,130.3426076029962,95.85466932058769,0.9716489993714791,15,0.06504683239259679,1373.0,1162.0,1186.05,1.1576240462037857,0.9797226086589942,0.8333333333333334,10.96832796110335,1,42,65.79223708665148,0.4411764705882353
2017,providence,2017-01-25,st-johns-ny,96,BE,108.67271426668188,79,101.94191591327137,135,0.6759632474103168,96,0.6951825420775477,0.4857488260735391,0.8262776223691094,0.6951825420775477,0.4857488260735391,0.8262776223691094,0.6653278091754886,0.8154071729724266,109.16209305425075,99.19628057312843,109.16209305425075,99.19628057312843,108.21585009064698,101.45555046429673,118.20485933891563,109.05717180015529,0.7163220060728751,16,0.002735892179348609,1369.0,1488.0,1347.9624999999999,1.015606888173818,1.103888275823697,0.3888888888888889,-5.19367764914345,109,171,74.55775521369908,0.48484848484848486
2017,providence,2017-01-28,marquette,29,BE,121.99570737402743,6,101.41786062643942,123,0.8932590150797163,29,0.6892281781781497,0.5086821112503935,0.8021272183499828,0.6951696458847348,0.5086821112503935,0.8021272183499828,0.6771721774466477,0.7915422567236893,108.77211282006924,99.24895601626682,108.66498557033185,98.91721378076191,123.8236271060526,102.17717052055018,136.24832165868514,113.06262569963937,0.8952173436074673,14,-0.05572269078143732,1451.0,1390.0,1256.5374999999997,1.1547606020512722,1.1062144981745474,0.5555555555555556,0.5353402551184834,47,290,71.51253415441244,0.45161290322580644
2017,providence,2017-02-01,villanova,2,BE,122.71065128165259,4,91.61863798678651,11,0.9664384316033607,2,0.72401824727448,0.6096742027192745,0.7937399323375675,0.7204918039030177,0.6096742027192745,0.7937399323375675,0.6783964408890855,0.7402795406169708,109.89372635806544,99.07516108071609,109.6574344416602,98.93123658143942,122.38061959878844,91.20385380384735,130.3426076029962,95.85466932058769,0.9716489993714791,15,0.06504683239259679,1373.0,1162.0,1186.05,1.1576240462037857,0.9797226086589942,0.8333333333333334,10.96832796110335,1,42,65.79223708665148,0.4411764705882353
2017,providence,2017-02-08,seton-hall,51,BE,109.19783346904362,71,95.50401421227161,43,0.823598258218504,51,0.6969973573973182,0.48872377572962117,0.8099740378486592,0.7008195618015847,0.48872377572962117,0.8099740378486592,0.6622117290926142,0.8111211308722152,109.6159882398032,99.18117695981282,109.79735659286928,99.24031189131277,109.47274072213001,96.11259102137127,118.81868943942148,102.31666377798926,0.8480709757588367,16,0.10327200613706422,1286.0,1300.0,1240.45,1.0367205449635213,1.0480067717360635,0.5555555555555556,2.5779418560285956,33,14,68.8173723109438,0.5
2017,providence,2017-02-11,butler,27,BE,117.74428152967297,18,97.176946922671,59,0.9009467916916283,27,0.7382453629797598,0.6335436273467299,0.8012535463003955,0.7441962759035796,0.6335436273467299,0.8012535463003955,0.6568350378367486,0.7478422480494847,110.3915382306041,98.69421044654908,110.608381493898,98.5219521617099,118.4973442066187,99.00358867882048,126.20593052644448,100.94685098204283,0.9287860115870569,16,0.07735249827579016,1367.0,1291.0,1215.5875,1.1245591123633634,1.0620379034828837,0.6666666666666666,5.438023791988696,20,27,66.98425748572475,0.5161290322580645
