Year,Round,A_Region,A_Seed,A_Team,A_Score,B_Region,B_Seed,B_Team,B_Score,OT,GameID,Date,EventName,Status,A_Team_Logo,B_Team_Logo,A_Pred_Score,B_Pred_Score,A_Team_Win,shared_key
2026,Round of 64,1,3,Michigan State,92,1,14,North Dakota St,67,0,7,,,,,,0,1,FALSE,11_3
2026,Round of 64,1,2,UConn,,1,15,Furman,,,6,,,,,,1,0,TRUE,11_4
2026,Round of 64,1,5,St. John's,,1,12,Northern Iowa,,,9,,,,,,1,0,TRUE,11_2
2026,Round of 64,1,6,Louisville,83,1,11,South Florida,79,0,10,,,,,,0,1,FALSE,11_3
2026,Round of 64,1,8,Ohio St,64,1,9,TCU,66,0,12,,,,,,0,1,FALSE,11_1
2026,Round of 64,1,1,Duke,71,1,16,Siena,65,0,5,,,,,,1,0,TRUE,11_1
2026,Round of 64,1,7,UCLA,,1,10,UCF,,,11,,,,,,0,1,FALSE,11_4
2026,Round of 64,1,4,Kansas,,1,13,California Baptist,,,8,,,,,,1,0,TRUE,11_2
2026,Round of 32,1,11,South Florida,,1,14,North Dakota St,,,7,,,,,,1,0,TRUE,21_2
2026,Round of 32,1,2,UConn,,1,10,UCF,,,6,,,,,,1,0,TRUE,21_2
2026,Round of 32,1,1,Duke,,1,9,TCU,,,5,,,,,,1,0,TRUE,21_1
2026,Round of 32,1,4,Kansas,,1,5,St. John's,,,8,,,,,,1,0,TRUE,21_1
2026,Sweet 16,1,2,UConn,,1,11,South Florida,,,6,,,,,,1,0,TRUE,31
2026,Sweet 16,1,1,Duke,,1,4,Kansas,,,5,,,,,,1,0,TRUE,31
2026,Elite 8,1,1,Duke,,1,2,UConn,,,5,,,,,,1,0,TRUE,412
2026,Final 4,1,1,Duke,,2,1,Florida,,,5,,,,,,1,0,TRUE,5
2026,Round of 64,2,8,Clemson,,2,9,Iowa,,,20,,,,,,1,0,TRUE,12_1
2026,Round of 64,2,4,Nebraska,76,2,13,Troy,47,0,16,,,,,,0,1,FALSE,12_2
2026,Round of 64,2,7,Saint Mary's,50,2,10,Texas A&M,63,0,19,,,,,,0,1,FALSE,12_4
2026,Round of 64,2,5,Vanderbilt,78,2,12,McNeese,68,0,17,,,,,,1,0,TRUE,12_2
2026,Round of 64,2,3,Illinois,105,2,14,Penn,70,0,15,,,,,,1,0,TRUE,12_3
